Unnamed: 0,NWE,SDG
First Downs,15,23
Rush-Yds-TDs,22-51-1,19-38-1
Cmp-Att-Yd-TD-INT,19-32-159-1-0,34-50-336-1-1
Sacked-Yards,4-31,2-11
Net Pass Yards,128,325
Total Yards,179,363
Fumbles-Lost,0-0,4-3
Turnovers,0,4
Penalties-Yards,7-51,6-69
Third Down Conv.,3-12,7-15
Fourth Down Conv.,1-2,1-1
Time of Possession,25:35,34:25
