Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",,
1,15:00,1,10,TAM 25,0,0,Leonard Fournette up the middle for 4 yards (tackle by Josh Sweat and Derek Barnett),,
1,14:22,2,6,TAM 29,0,0,Tom Brady pass complete short right to Antonio Brown for 9 yards (tackle by Anthony Harris),,
1,13:44,1,10,TAM 38,0,0,Tom Brady pass complete deep middle to Mike Evans for 22 yards (tackle by T.J. Edwards),,
1,13:00,1,10,PHI 40,0,0,Leonard Fournette left end for 6 yards (tackle by Anthony Harris and Fletcher Cox),,
1,12:16,2,4,PHI 34,0,0,Tom Brady pass complete short left to Chris Godwin for 16 yards (tackle by Steven Nelson),,
1,11:35,1,10,PHI 18,0,0,Tom Brady pass incomplete short left intended for Antonio Brown (defended by Steven Nelson),,
1,11:29,2,10,PHI 18,0,0,Leonard Fournette right tackle for 2 yards (tackle by Josh Sweat),,
1,10:51,3,8,PHI 16,0,0,Tom Brady pass complete short left to Chris Godwin for 10 yards (tackle by Anthony Harris and Steven Nelson),,
1,10:13,1,6,PHI 6,0,0,Leonard Fournette up the middle for 4 yards (tackle by Alex Singleton and Derek Barnett),,
1,9:32,2,2,PHI 2,6,0,"Tom Brady pass complete short left to O.J. Howard for 2 yards, touchdown",,
1,9:26,,,PHI 15,7,0,Ryan Succop kicks extra point good,,
1,9:26,,,TAM 35,7,0,"Bradley Pinion kicks off 65 yards, touchback.",,
1,9:26,1,10,PHI 25,7,0,Jalen Hurts right tackle for -2 yards (tackle by Mike Edwards and Kevin Minter),,
1,8:51,2,12,PHI 23,7,0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,,
1,8:45,3,12,PHI 23,7,0,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,8:45,3,7,PHI 28,7,0,Jalen Hurts scrambles left end for 11 yards (tackle by Ross Cockrell),,
1,8:16,1,10,PHI 39,7,0,Jalen Hurts sacked by and Jason Pierre-Paul for -2 yards and Vita Vea for -2 yards,,
1,7:36,2,12,PHI 37,7,0,Jalen Hurts pass incomplete short left intended for Jalen Reagor,,
1,7:32,3,12,PHI 37,7,0,Jalen Hurts pass complete deep right to Quez Watkins for 23 yards (tackle by Richard Sherman),,
1,7:06,1,10,TAM 40,7,0,"Penalty on Miles Sanders: Offensive Lowering the head to initiate contact, 15 yards (accepted) (no play)",,
1,6:39,1,25,PHI 45,7,0,"Penalty on William Gholston: Encroachment, 5 yards (accepted) (no play)",,
1,6:14,1,20,PHI 50,7,0,"Jalen Hurts pass incomplete deep left intended for Jalen Reagor. Penalty on Jamel Dean: Defensive Pass Interference, 45 yards (accepted) (no play)",,
1,6:05,1,5,TAM 5,7,6,"Jalen Hurts pass complete short right to Zach Ertz for 5 yards, touchdown",,
1,6:01,,,TAM 15,7,7,Jake Elliott kicks extra point good,,
1,6:01,,,PHI 35,7,7,"Jake Elliott kicks off 65 yards, touchback.",,
1,6:01,1,10,TAM 25,7,7,Leonard Fournette right end for no gain (tackle by Steven Nelson),,
1,5:21,2,10,TAM 25,7,7,Tom Brady pass complete short left to Leonard Fournette for 8 yards (tackle by Alex Singleton),,
1,4:38,3,2,TAM 33,7,7,Tom Brady pass complete short right to Chris Godwin for 8 yards (tackle by Darius Slay),,
1,4:04,1,10,TAM 41,7,7,Tom Brady pass complete short middle to Leonard Fournette for 11 yards (tackle by Alex Singleton),,
1,3:24,1,10,PHI 48,7,7,Tom Brady pass complete short right to Leonard Fournette for 3 yards (tackle by Rodney McLeod and Alex Singleton),,
1,2:45,2,7,PHI 45,7,7,Leonard Fournette left end for 9 yards (tackle by Davion Taylor),,
1,2:04,1,10,PHI 36,7,7,Ronald Jones up the middle for 4 yards (tackle by Hassan Ridgeway and Genard Avery),,
1,1:22,2,6,PHI 32,7,7,Tom Brady pass complete short right to Ronald Jones for 9 yards (tackle by Alex Singleton and Rodney McLeod),,
1,0:42,1,10,PHI 23,13,7,"Tom Brady pass complete deep left to Antonio Brown for 23 yards, touchdown",,
1,0:33,,,PHI 15,14,7,Ryan Succop kicks extra point good,,
1,0:33,,,TAM 35,14,7,"Bradley Pinion kicks off 65 yards, touchback.",,
1,0:33,1,10,PHI 25,14,7,Miles Sanders left guard for 1 yard (tackle by Devin White),,
Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,PHI 26,14,7,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Jordan Whitehead),,
2,14:23,3,3,PHI 32,14,7,Jalen Hurts pass incomplete short left intended for Jalen Reagor (defended by Jordan Whitehead),,
2,14:19,4,3,PHI 32,14,7,"Arryn Siposs punts 47 yards, returned by Jaydon Mickens for 12 yards (tackle by Shaun Bradley)",,
2,14:08,1,10,TAM 33,14,7,Ronald Jones up the middle for 3 yards (tackle by Josh Sweat),,
2,13:36,2,7,TAM 36,14,7,Tom Brady pass complete short left to Antonio Brown for -4 yards (tackle by Avonte Maddox),,
2,12:55,3,11,TAM 32,14,7,Tom Brady pass complete short left to Antonio Brown for 10 yards (tackle by Rodney McLeod),,
2,12:14,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,12:14,4,1,TAM 42,14,7,"Bradley Pinion punts 41 yards, fair catch by Jalen Reagor at PHI-17",,
2,12:07,1,10,PHI 17,14,7,Jalen Hurts pass complete short left to Miles Sanders for 4 yards (tackle by Kevin Minter),,
2,11:30,2,6,PHI 21,14,7,Jalen Hurts scrambles right end for 1 yard (tackle by Shaquil Barrett),,
2,10:45,3,5,PHI 22,14,7,Jalen Hurts pass incomplete deep right intended for Zach Ertz,,
2,10:41,4,5,PHI 22,14,7,Arryn Siposs punts 39 yards out of bounds,,
2,10:34,1,10,TAM 39,14,7,Leonard Fournette right tackle for 6 yards (tackle by T.J. Edwards),,
2,10:01,2,4,TAM 45,14,7,Leonard Fournette right tackle for no gain (tackle by Javon Hargrave),,
2,9:17,3,4,TAM 45,14,7,"Tom Brady pass short middle (defended by Alex Singleton) intended for Cameron Brate is intercepted by Marcus Epps at PHI-45 and returned for no gain (tackle by Ryan Jensen) Replay Assistant challenged the pass interception ruling, and the original play was overturned. Tom Brady pass incomplete short middle intended for Cameron Brate (defended by Alex Singleton)",,
