Unnamed: 0,TAM,PHI
First Downs,27,16
Rush-Yds-TDs,31-102-2,19-100-2
Cmp-Att-Yd-TD-INT,34-42-297-2-1,12-26-115-1-1
Sacked-Yards,0-0,2-2
Net Pass Yards,297,113
Total Yards,399,213
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,7-120,4-41
Third Down Conv.,7-13,3-10
Fourth Down Conv.,0-1,1-1
Time of Possession,39:56,20:04
