Quarter,Time,Tm,Detail,TAM,PHI
1.0,9:26,Buccaneers,O.J. Howard 2 yard pass from Tom Brady (Ryan Succop kick),7,0
,6:01,Eagles,Zach Ertz 5 yard pass from Jalen Hurts (Jake Elliott kick),7,7
,0:33,Buccaneers,Antonio Brown 23 yard pass from Tom Brady (Ryan Succop kick),14,7
2.0,1:56,Buccaneers,Leonard Fournette 2 yard rush (Ryan Succop kick),21,7
3.0,5:47,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),28,7
,2:15,Eagles,Jalen Hurts 6 yard rush (Jake Elliott kick),28,14
4.0,5:54,Eagles,Jalen Hurts 2 yard rush (Quez Watkins pass from Jalen Hurts),28,22
