#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,GNB 36,3,1:07,-10,Punt
2,1,11:04,GNB 8,4,2:09,33,Punt
3,1,6:52,BAL 15,4,1:29,6,Field Goal
4,1,3:17,GNB 11,10,5:42,42,Interception
5,2,4:09,GNB 18,5,2:18,31,Interception
6,2,0:23,GNB 28,3,0:23,29,End of Half
7,3,9:43,GNB 33,5,2:41,17,Punt
8,3,5:23,GNB 32,8,3:09,46,Downs
9,3,0:17,GNB 35,2,0:26,-10,Fumble
10,4,13:25,GNB 45,12,5:19,42,Interception
11,4,5:36,GNB 18,5,1:55,16,Punt
12,4,1:50,GNB 23,5,1:33,12,Fumble
13,4,0:17,GNB 38,1,0:17,3,End of Game
