Unnamed: 0,KAN,DEN
First Downs,13,18
Rush-Yds-TDs,32-106-1,16-69-1
Cmp-Att-Yd-TD-INT,17-31-204-1-0,19-44-181-1-5
Sacked-Yards,2-7,5-29
Net Pass Yards,197,152
Total Yards,303,221
Fumbles-Lost,0-0,1-0
Turnovers,0,5
Penalties-Yards,11-102,5-55
Third Down Conv.,4-16,3-14
Fourth Down Conv.,1-1,2-3
Time of Possession,33:27,26:33
