Unnamed: 0,DAL,SFO
First Downs,8,25
Rush-Yds-TDs,19-57-0,41-170-2
Cmp-Att-Yd-TD-INT,16-26-161-1-3,18-25-253-4-0
Sacked-Yards,4-21,1-2
Net Pass Yards,140,251
Total Yards,197,421
Fumbles-Lost,1-1,1-1
Turnovers,4,1
Penalties-Yards,6-60,6-45
Third Down Conv.,4-11,6-11
Fourth Down Conv.,0-1,0-1
Time of Possession,22:55,37:05
