Quarter,Time,Tm,Detail,DAL,SFO
1.0,11:10,49ers,George Kittle 19 yard pass from Brock Purdy (Jake Moody kick),0,7
2.0,13:16,49ers,George Kittle 38 yard pass from Brock Purdy (Jake Moody kick),0,14
,7:45,Cowboys,KaVontae Turpin 26 yard pass from Dak Prescott (Brandon Aubrey kick),7,14
,2:36,49ers,Christian McCaffrey 1 yard rush (Jake Moody kick),7,21
3.0,11:53,Cowboys,Brandon Aubrey 50 yard field goal,10,21
,7:20,49ers,George Kittle 10 yard pass from Brock Purdy (Jake Moody kick),10,28
4.0,14:19,49ers,Kyle Juszczyk 1 yard pass from Brock Purdy (Jake Moody kick),10,35
,13:59,49ers,Jordan Mason 26 yard rush (Jake Moody kick),10,42
