Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tony Pollard,DAL,8,29,0,1,19,2.4,10,1.3,0,
Rico Dowdle,DAL,5,15,0,1,7,1.4,8,1.6,1,5.0
Deuce Vaughn,DAL,3,7,0,,3,1.0,4,1.3,0,
Brandin Cooks,DAL,1,6,0,0,4,4.0,2,2.0,0,
Dak Prescott,DAL,1,2,0,1,2,2.0,0,0.0,0,
Cooper Rush,DAL,1,-2,0,,-2,-2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,SFO,19,51,1,5,38,2.0,13,0.7,0,
Jordan Mason,SFO,10,69,1,4,44,4.4,25,2.5,1,10.0
Tyrion Davis-Price,SFO,6,21,0,1,7,1.2,14,2.3,0,
Deebo Samuel,SFO,5,30,0,0,13,2.6,17,3.4,0,
Sam Darnold,SFO,1,-1,0,,-1,-1.0,0,0.0,0,
