Quarter,Time,Tm,Detail,MIN,GNB
1.0,11:08,Packers,Javon Walker 50 yard pass from Brett Favre (Ryan Longwell kick),0,7
,6:25,Vikings,Jermaine Wiggins 13 yard pass from Daunte Culpepper (Morten Andersen kick),7,7
2.0,14:09,Packers,Tony Fisher 2 yard pass from Brett Favre (Ryan Longwell kick),7,14
,8:47,Vikings,Morten Andersen 21 yard field goal,10,14
,7:27,Packers,Bubba Franks 17 yard pass from Brett Favre (Ryan Longwell kick),10,21
,0:00,Packers,Ryan Longwell 43 yard field goal,10,24
3.0,2:39,Vikings,Nate Burleson 8 yard pass from Daunte Culpepper (Morten Andersen kick),17,24
4.0,13:24,Packers,William Henderson 6 yard pass from Brett Favre (Ryan Longwell kick),17,31
,2:53,Vikings,Onterrio Smith 2 yard pass from Daunte Culpepper (Morten Andersen kick),24,31
,1:20,Vikings,Moe Williams 17 yard pass from Daunte Culpepper (Morten Andersen kick),31,31
,0:00,Packers,Ryan Longwell 33 yard field goal,31,34
