Unnamed: 0,MIN,GNB
First Downs,22,24
Rush-Yds-TDs,16-71-0,35-206-0
Cmp-Att-Yd-TD-INT,27-44-363-4-0,20-29-236-4-0
Sacked-Yards,4-18,0-0
Net Pass Yards,345,236
Total Yards,416,442
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,6-37,4-25
Third Down Conv.,7-14,7-11
Fourth Down Conv.,1-1,0-1
Time of Possession,29:49,30:11
