Unnamed: 0,DET,KAN
First Downs,19,17
Rush-Yds-TDs,34-118-1,23-90-0
Cmp-Att-Yd-TD-INT,22-35-253-1-0,21-39-226-2-1
Sacked-Yards,1-3,0-0
Net Pass Yards,250,226
Total Yards,368,316
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,4-63,3-25
Third Down Conv.,5-15,5-14
Fourth Down Conv.,1-3,0-1
Time of Possession,32:38,27:22
