Quarter,Time,Tm,Detail,OAK,SDG
1.0,11:13,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),0,7
2.0,13:40,Raiders,Justin Fargas 3 yard rush (Sebastian Janikowski kick),7,7
,6:09,Chargers,Vincent Jackson 8 yard pass from Philip Rivers (Nate Kaeding kick),7,14
,0:54,Chargers,LaDainian Tomlinson 10 yard rush (Nate Kaeding kick),7,21
,0:11,Raiders,Sebastian Janikowski 48 yard field goal,10,21
3.0,9:09,Raiders,Sebastian Janikowski 41 yard field goal,13,21
4.0,12:39,Raiders,Sebastian Janikowski 28 yard field goal,16,21
,4:43,Chargers,Nate Kaeding 28 yard field goal,16,24
