Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 66 yards, returned by Brandon Bolden for 18 yards (tackle by Ben Niemann and Anthony Sherman)",0.000,-0.060
1,14:53,1,10,NWE 17,0,0,Sony Michel up the middle for 1 yard (tackle by Chris Jones and Damien Wilson),-0.060,-0.420
1,14:33,2,9,NWE 18,0,0,Sony Michel up the middle for 2 yards (tackle by Tanoh Kpassagnon and Damien Wilson),-0.420,-0.870
1,13:58,3,7,NWE 20,0,0,"Tom Brady pass incomplete short right intended for Mohamed Sanu. Penalty on Bashaud Breeland: Defensive Pass Interference, 8 yards (no play)",-0.870,0.810
1,13:53,1,10,NWE 28,0,0,Tom Brady pass complete short right to Sony Michel for 1 yard (tackle by Reggie Ragland),0.810,0.400
1,13:30,2,9,NWE 29,0,0,Sony Michel left end for 3 yards (tackle by Damien Wilson),0.400,0.100
1,12:49,3,6,NWE 32,0,0,"Tom Brady pass incomplete deep left intended for Phillip Dorsett. Penalty on Charvarius Ward: Defensive Pass Interference, 31 yards (no play)",0.100,3.120
1,12:43,1,10,KAN 37,0,6,"Tom Brady pass complete deep right to Julian Edelman for 37 yards, touchdown",3.120,7.000
1,12:34,,,KAN 15,0,7,Nick Folk kicks extra point good,0.000,0.000
1,12:34,,,NWE 35,0,7,"Jake Bailey kicks off 66 yards, returned by Mecole Hardman for 31 yards (tackle by Chase Winovich)",0.000,0.940
1,12:28,1,10,KAN 30,0,7,LeSean McCoy left guard for 1 yard (tackle by Lawrence Guy),0.940,0.530
1,11:55,2,9,KAN 31,0,7,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,0.530,-0.160
1,11:49,3,9,KAN 31,0,7,Patrick Mahomes pass short right intended for Demarcus Robinson is intercepted by J.C. Jackson at KC-46 and returned for 6 yards,-0.160,-2.920
1,11:41,1,10,KAN 40,0,7,Sony Michel right guard for -1 yards (tackle by Derrick Nnadi),2.920,2.240
1,11:17,2,11,KAN 41,0,7,Tom Brady pass incomplete short middle intended for Ben Watson,2.240,1.550
1,11:13,3,11,KAN 41,0,7,Tom Brady pass incomplete short right intended for Rex Burkhead,1.550,0.530
1,11:09,4,11,KAN 41,0,7,"Jake Bailey punts 33 yards, returned by Mecole Hardman for 9 yards (tackle by Ja'Whaun Bentley)",0.530,0.060
1,10:58,1,10,KAN 17,0,7,Patrick Mahomes pass incomplete short left intended for LeSean McCoy,-0.060,-0.580
1,10:51,2,10,KAN 17,0,7,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,-0.580,-1.250
1,10:47,3,10,KAN 17,0,7,Patrick Mahomes pass complete deep right to Sammy Watkins for 23 yards (tackle by Terrence Brooks),-1.250,1.600
1,10:21,1,10,KAN 40,0,7,LeSean McCoy right tackle for 8 yards (tackle by Dont'a Hightower),1.600,2.130
1,9:43,2,2,KAN 48,0,7,Patrick Mahomes pass complete short left to Byron Pringle for 14 yards (tackle by Duron Harmon),2.130,3.050
1,9:07,1,10,NWE 38,0,7,"Patrick Mahomes pass complete deep left to Travis Kelce for 19 yards (tackle by Devin McCourty). Penalty on Mitchell Schwartz: Offensive Holding, 10 yards (no play)",3.050,2.390
1,8:40,1,20,NWE 48,0,7,Tyreek Hill right end for 5 yards (tackle by Stephon Gilmore),2.390,1.830
1,8:02,2,15,NWE 43,0,7,Patrick Mahomes pass complete short right to Travis Kelce for 13 yards (tackle by Jamie Collins),1.830,2.870
1,7:19,3,2,NWE 30,0,7,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,2.870,1.500
1,7:17,4,2,NWE 30,3,7,Harrison Butker 48 yard field goal good,1.500,3.000
1,7:12,,,KAN 35,3,7,"Harrison Butker kicks off 62 yards, returned by Brandon Bolden for 19 yards (tackle by Blake Bell and Dorian O'Daniel)",0.000,0.410
1,7:06,1,10,NWE 22,3,7,Rex Burkhead left tackle for 3 yards (tackle by Demone Harris),0.410,0.270
1,6:44,2,7,NWE 25,3,7,Tom Brady pass complete short left to Matt LaCosse for 6 yards (tackle by Juan Thornhill),0.270,0.370
1,6:08,3,1,NWE 31,3,7,Sony Michel up the middle for 3 yards (tackle by Tyrann Mathieu),0.370,1.200
1,5:31,1,10,NWE 34,3,7,Rex Burkhead left tackle for 1 yard (tackle by Demone Harris and Juan Thornhill),1.200,0.790
1,5:06,2,9,NWE 35,3,7,Tom Brady pass complete short middle to Mohamed Sanu for 13 yards (tackle by Anthony Hitchens). Penalty on Bashaud Breeland: Illegal Use of Hands (Declined),0.790,2.130
1,4:45,1,10,NWE 48,3,7,Tom Brady pass complete short middle to Julian Edelman for 10 yards (tackle by Juan Thornhill),2.130,2.790
1,4:20,1,10,KAN 42,3,7,Rex Burkhead left tackle for 4 yards (tackle by Khalen Saunders),2.790,2.780
1,3:55,2,6,KAN 38,3,7,Rex Burkhead up the middle for 5 yards (tackle by Reggie Ragland),2.780,2.740
1,3:31,3,1,KAN 33,3,7,Tom Brady up the middle for 3 yards (tackle by Damien Wilson),2.740,3.580
1,3:06,1,10,KAN 30,3,7,Rex Burkhead left tackle for -1 yards (tackle by Derrick Nnadi),3.580,2.900
1,2:40,2,11,KAN 31,3,7,Tom Brady pass complete short right to Matt LaCosse for 8 yards (tackle by Anthony Hitchens),2.900,3.270
1,2:12,3,3,KAN 23,3,7,Tom Brady pass incomplete short right intended for Ben Watson,3.270,2.030
1,2:06,4,3,KAN 23,3,7,"Nick Folk 41 yard field goal no good blocked by Tanoh Kpassagnon, recovered by Charvarius Ward (tackle by Jamie Collins)",2.030,-1.730
1,2:00,1,10,KAN 42,3,7,LeSean McCoy left end for 6 yards (tackle by John Simon),1.730,2.000
1,1:18,2,4,KAN 48,3,7,LeSean McCoy left guard for 2 yards (tackle by Kyle Van Noy),2.000,1.550
1,0:35,3,2,KAN 50,3,7,"Patrick Mahomes sacked by Adam Butler for no gain. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",1.550,2.590
1,0:15,1,10,NWE 45,3,7,LeSean McCoy up the middle for 3 yards (tackle by Ja'Whaun Bentley),2.590,2.450
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NWE 42,3,7,Patrick Mahomes sacked by Deatrich Wise for -12 yards,2.450,0.170
2,14:16,,,,,,Timeout #1 by Kansas City Chiefs,,
2,14:16,3,19,KAN 46,3,7,Patrick Mahomes pass complete deep middle to Tyreek Hill for 21 yards (tackle by Jonathan Jones),0.170,3.380
2,13:37,1,10,NWE 33,3,7,"Patrick Mahomes right end for 1 yard (tackle by J.C. Jackson). Penalty on Austin Reiter: Illegal Blindside Block, 15 yards (no play)",3.380,2.390
2,13:18,1,25,NWE 48,3,7,Patrick Mahomes pass incomplete short left intended for Darwin Thompson,2.390,0.810
2,13:14,2,25,NWE 48,9,7,"Patrick Mahomes pass complete deep left to Mecole Hardman for 48 yards, touchdown",0.810,7.000
2,13:04,,,NWE 15,10,7,Harrison Butker kicks extra point good,0.000,0.000
2,13:04,,,KAN 35,10,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,13:04,1,10,NWE 25,10,7,Tom Brady pass short right intended for Matt LaCosse is intercepted by Bashaud Breeland at NE-39 and returned for 4 yards,0.610,-3.250
2,12:53,1,10,NWE 35,10,7,"LeSean McCoy left end for 1 yard (tackle by Chase Winovich). Penalty on Lawrence Guy: Defensive Holding, 5 yards",3.250,3.640
2,12:26,,,,,,Timeout #2 by Kansas City Chiefs,,
2,12:26,1,10,NWE 29,10,7,Patrick Mahomes left end for 1 yard (tackle by John Simon),3.640,3.240
2,11:46,2,9,NWE 28,10,7,Patrick Mahomes pass complete short left to LeSean McCoy for 4 yards (tackle by Danny Shelton),3.240,3.070
2,11:04,3,5,NWE 24,10,7,Patrick Mahomes pass complete short middle to Travis Kelce for 20 yards (tackle by Devin McCourty),3.070,6.280
2,10:22,1,4,NWE 4,10,7,Patrick Mahomes pass incomplete short left intended for Tyreek Hill (defended by Jamie Collins),6.280,5.340
2,10:15,2,4,NWE 4,10,7,LeSean McCoy right end for no gain (tackle by Kyle Van Noy and Danny Shelton),5.340,4.490
2,9:37,3,4,NWE 4,16,7,"Travis Kelce up the middle for 4 yards, touchdown",4.490,7.000
2,9:33,,,NWE 15,17,7,Harrison Butker kicks extra point good,0.000,0.000
2,9:33,,,KAN 35,17,7,"Harrison Butker kicks off 55 yards, returned by James White for 21 yards (tackle by Ben Niemann and Jordan Lucas)",0.000,1.000
2,9:27,1,10,NWE 31,17,7,James White left guard for 19 yards (tackle by Charvarius Ward),1.000,2.260
2,9:04,1,10,NWE 50,17,7,James White left guard for 2 yards (tackle by Kendall Fuller and Daniel Sorensen),2.260,1.980
