Quarter,Time,Tm,Detail,KAN,NWE
1.0,12:34,Patriots,Julian Edelman 37 yard pass from Tom Brady (Nick Folk kick),0,7
,7:12,Chiefs,Harrison Butker 48 yard field goal,3,7
2.0,13:04,Chiefs,Mecole Hardman 48 yard pass from Patrick Mahomes (Harrison Butker kick),10,7
,9:33,Chiefs,Travis Kelce 4 yard rush (Harrison Butker kick),17,7
,0:59,Chiefs,Harrison Butker 31 yard field goal,20,7
3.0,8:46,Chiefs,Harrison Butker 41 yard field goal,23,7
,4:23,Patriots,Brandon Bolden 10 yard rush (run failed),23,13
4.0,11:42,Patriots,Nick Folk 29 yard field goal,23,16
