Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Isiah Pacheco up the middle for 5 yards (tackle by Luke Masterson and Tyler Hall),0.610,0.740
1,14:22,2,5,KAN 30,0,0,Patrick Mahomes pass complete deep left to Justin Watson for 67 yards (tackle by Amik Robertson),0.740,6.510
1,13:41,1,3,LVR 3,0,0,Patrick Mahomes pass complete short right to Travis Kelce for -1 yards (tackle by Amik Robertson and Maxx Crosby),6.510,5.340
1,13:03,2,4,LVR 4,0,0,Patrick Mahomes pass incomplete short right,5.340,4.490
1,12:58,3,4,LVR 4,0,0,"Penalty on LVR: Defensive Too Many Men on Field, 2 yards (accepted) (no play)",4.490,4.950
1,12:58,3,2,LVR 2,6,0,"Patrick Mahomes pass complete short left to Jerick McKinnon for 2 yards, touchdown",4.950,7.000
1,12:52,,,LVR 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,12:52,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,12:52,1,10,LVR 25,7,0,Jarrett Stidham pass complete short left to Foster Moreau for 10 yards (tackle by Leo Chenal and Nick Bolton),0.610,1.270
1,12:13,1,10,LVR 35,7,0,Josh Jacobs left guard for 4 yards (tackle by Willie Gay and Nick Bolton),1.270,1.260
1,11:30,2,6,LVR 39,7,0,Jarrett Stidham scrambles right end for 8 yards (tackle by George Karlaftis),1.260,2.060
1,10:54,1,10,LVR 47,7,0,Josh Jacobs up the middle for -2 yards (tackle by Juan Thornhill),2.060,1.250
1,10:17,2,12,LVR 45,7,0,Jarrett Stidham scrambles up the middle for 10 yards (tackle by Trent McDuffie),1.250,1.880
1,9:32,3,2,KAN 45,7,0,Jarrett Stidham pass complete short right to Davante Adams for 13 yards (tackle by Jaylen Watson),1.880,3.450
1,8:54,1,10,KAN 32,7,0,Jarrett Stidham pass incomplete deep left intended for Davante Adams,3.450,2.900
1,8:47,2,10,KAN 32,7,0,Jarrett Stidham pass complete short left to Hunter Renfrow for 4 yards (tackle by L'Jarius Sneed and Juan Thornhill),2.900,2.740
1,8:01,3,6,KAN 28,7,0,Jarrett Stidham sacked by Chris Jones for -7 yards,2.740,0.970
1,7:20,4,13,KAN 35,7,3,Daniel Carlson 54 yard field goal good,0.970,3.000
1,7:15,,,LVR 35,7,3,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,7:15,1,10,KAN 25,7,3,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by Harvey Langi),0.610,1.010
1,6:45,2,3,KAN 32,7,3,Ronald Jones up the middle for 2 yards (tackle by Luke Masterson and Bilal Nichols),1.010,0.560
1,6:05,3,1,KAN 34,7,3,Kadarius Toney right end for 1 yard (tackle by Harvey Langi),0.560,1.270
1,5:33,1,10,KAN 35,7,3,Ronald Jones right tackle for 1 yard (tackle by Luke Masterson and Bilal Nichols),1.270,0.860
1,4:57,2,9,KAN 36,7,3,Patrick Mahomes pass complete short middle to Noah Gray for 14 yards (tackle by Luke Masterson),0.860,2.260
1,4:20,1,10,KAN 50,7,3,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Trevon Moehrig),2.260,1.710
1,4:14,2,10,KAN 50,7,3,Isiah Pacheco right tackle for 8 yards (tackle by Luke Masterson),1.710,2.080
1,3:37,3,2,LVR 42,7,3,Patrick Mahomes pass incomplete short right intended for Travis Kelce,2.080,0.460
1,3:33,4,2,LVR 42,7,3,Tommy Townsend punts 37 yards downed by Chris Lammons,0.460,0.380
1,3:25,1,10,LVR 5,7,3,Josh Jacobs left tackle for 1 yard (tackle by Nick Bolton),-0.380,-0.710
1,2:51,2,9,LVR 6,7,3,Jarrett Stidham pass complete short middle to Mack Hollins for 12 yards (tackle by Juan Thornhill),-0.710,0.040
1,1:56,1,10,LVR 18,7,3,Jarrett Stidham sacked by Justin Reid for -8 yards,0.040,-1.360
1,1:11,2,18,LVR 10,7,3,Jarrett Stidham pass deep right intended for Mack Hollins is intercepted by Juan Thornhill at LV-44 and returned for no gain,-1.360,-2.650
1,1:04,1,10,LVR 44,7,3,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 28 yards (tackle by Duron Harmon),2.650,4.510
1,0:22,1,10,LVR 16,7,3,Kadarius Toney left tackle for 14 yards (tackle by Trevon Moehrig),4.510,6.740
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,2,LVR 2,13,3,"Ronald Jones left guard for 2 yards, touchdown",6.740,7.000
2,14:56,,,LVR 15,14,3,Harrison Butker kicks extra point good,0.000,0.000
2,14:56,,,KAN 35,14,3,"Harrison Butker kicks off 66 yards, returned by Ameer Abdullah for 25 yards (tackle by Leo Chenal and Jaylen Watson)",0.000,0.540
2,14:47,1,10,LVR 24,14,3,Josh Jacobs right end for -1 yards (tackle by Leo Chenal),0.540,-0.140
2,14:00,2,11,LVR 23,14,3,Jarrett Stidham pass complete short right to Darren Waller for 24 yards (tackle by Darius Harris and Juan Thornhill),-0.140,2.060
2,13:15,1,10,LVR 47,14,3,Jarrett Stidham scrambles left tackle for 10 yards (tackle by Nick Bolton),2.060,2.720
2,12:31,1,10,KAN 43,14,3,Josh Jacobs left guard for 3 yards (tackle by Nick Bolton and Justin Reid),2.720,2.580
2,11:48,2,7,KAN 40,14,3,Jarrett Stidham scrambles right end for 5 yards (tackle by Justin Reid),2.580,2.540
2,11:04,3,2,KAN 35,14,3,Jarrett Stidham pass complete short left to Davante Adams for 8 yards (tackle by Juan Thornhill),2.540,3.780
2,10:30,1,10,KAN 27,14,3,Josh Jacobs left tackle for 7 yards (tackle by Leo Chenal),3.780,4.110
2,9:55,2,4,KAN 20,14,3,Josh Jacobs up the middle for 2 yards (tackle by Frank Clark),4.110,3.840
2,9:12,3,1,KAN 18,14,3,Josh Jacobs left tackle for 1 yard (tackle by Nick Bolton),3.840,4.440
2,8:26,1,10,KAN 17,14,3,Jarrett Stidham pass complete short left to Ameer Abdullah for 10 yards (tackle by Justin Reid and Nick Bolton),4.440,5.600
2,7:44,1,7,KAN 7,14,3,Josh Jacobs left guard for 2 yards (tackle by Michael Danna and Nick Bolton),5.600,5.150
2,6:58,2,5,KAN 5,14,3,Josh Jacobs up the middle for 3 yards (tackle by Justin Reid and Willie Gay),5.150,4.950
2,6:15,3,2,KAN 2,14,3,Jarrett Stidham pass incomplete short left intended for Darren Waller,4.950,3.250
2,6:11,4,2,KAN 2,14,3,Jarrett Stidham pass incomplete short right intended for Davante Adams,3.250,0.380
2,6:06,1,10,KAN 2,14,3,Isiah Pacheco left guard for 3 yards (tackle by Andrew Billings and Maxx Crosby),-0.380,-0.560
2,5:32,2,7,KAN 5,14,3,Patrick Mahomes pass complete short left to Blake Bell for 3 yards (tackle by Nate Hobbs),-0.560,-0.720
