Quarter,Time,Tm,Detail,KAN,LVR
1.0,12:52,Chiefs,Jerick McKinnon 2 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,7:15,Raiders,Daniel Carlson 54 yard field goal,7,3
2.0,14:56,Chiefs,Ronald Jones II 2 yard rush (Harrison Butker kick),14,3
,0:47,Chiefs,Kadarius Toney 11 yard rush (Harrison Butker kick),21,3
,0:00,Chiefs,Harrison Butker 44 yard field goal,24,3
3.0,6:55,Raiders,Daniel Carlson 38 yard field goal,24,6
4.0,11:03,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),31,6
,6:37,Raiders,Hunter Renfrow 11 yard pass from Jarrett Stidham (Daniel Carlson kick),31,13
