Unnamed: 0,SDG,NWE
First Downs,29,28
Rush-Yds-TDs,24-98-1,25-94-1
Cmp-Att-Yd-TD-INT,29-40-378-2-2,31-40-423-3-0
Sacked-Yards,2-6,2-13
Net Pass Yards,372,410
Total Yards,470,504
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,6-44,8-80
Third Down Conv.,10-12,7-11
Fourth Down Conv.,0-1,0-1
Time of Possession,30:58,29:02
