Quarter,Time,Tm,Detail,SDG,NWE
1.0,6:16,Patriots,Aaron Hernandez 14 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,2:55,Chargers,Ryan Mathews 10 yard rush (Nick Novak kick),7,7
2.0,13:20,Patriots,Stephen Gostkowski 22 yard field goal,7,10
,2:49,Patriots,Rob Gronkowski 10 yard pass from Tom Brady (Stephen Gostkowski kick),7,17
,0:00,Patriots,Stephen Gostkowski 47 yard field goal,7,20
4.0,13:33,Chargers,Vincent Jackson 3 yard pass from Philip Rivers (Nick Novak kick),14,20
,8:40,Patriots,Rob Gronkowski 17 yard pass from Tom Brady (Danny Woodhead run),14,28
,5:40,Chargers,Vincent Jackson 26 yard pass from Philip Rivers (Nick Novak kick),21,28
,1:54,Patriots,BenJarvus Green-Ellis 16 yard rush (Stephen Gostkowski kick),21,35
