Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 69 yards, returned by Richard Goodman for 24 yards (tackle by Tracy White)",0.000,0.280
1,14:56,1,10,SDG 20,0,0,Ryan Mathews up the middle for 7 yards (tackle by Jerod Mayo),0.280,0.680
1,14:20,2,3,SDG 27,0,0,Ryan Mathews up the middle for 4 yards (tackle by Sergio Brown),0.680,1.000
1,13:47,1,10,SDG 31,0,0,"Penalty on Vincent Jackson: False Start, 5 yards (no play)",1.000,0.670
1,13:25,1,15,SDG 26,0,0,Philip Rivers pass complete deep middle to Vincent Jackson for 29 yards (tackle by Josh Barrett),0.670,2.590
1,12:58,1,10,NWE 45,0,0,Ryan Mathews left guard for 2 yards (tackle by Vince Wilfork and Patrick Chung),2.590,2.310
1,12:20,2,8,NWE 43,0,0,Philip Rivers pass incomplete short middle intended for Ryan Mathews,2.310,1.620
1,12:16,3,8,NWE 43,0,0,Philip Rivers pass incomplete deep right intended for Vincent Jackson,1.620,0.400
1,12:11,4,8,NWE 43,0,0,Mike Scifres punts 35 yards,0.400,0.380
1,12:03,1,10,NWE 8,0,0,Tom Brady pass complete short left to Deion Branch for 11 yards (tackle by Donald Butler),-0.380,0.150
1,11:16,1,10,NWE 19,0,0,BenJarvus Green-Ellis left end for 6 yards (tackle by Takeo Spikes and Donald Butler),0.150,0.480
1,10:43,2,4,NWE 25,0,0,Tom Brady sacked by Shaun Phillips for -6 yards,0.480,-1.070
1,10:10,3,10,NWE 19,0,0,Tom Brady pass complete short left to Wes Welker for 17 yards (tackle by Steve Gregory),-1.070,1.330
1,9:37,1,10,NWE 36,0,0,Tom Brady pass complete short left to Aaron Hernandez for 16 yards (tackle by Eric Weddle),1.330,2.390
1,9:10,1,10,SDG 48,0,0,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Shaun Phillips),2.390,2.250
1,8:31,2,7,SDG 45,0,0,Tom Brady pass complete short left to BenJarvus Green-Ellis for 5 yards (tackle by Travis LaBoy),2.250,2.210
1,7:58,,,,0,0,Timeout #1 by New England Patriots,0.000,2.210
1,7:58,3,2,SDG 40,0,0,BenJarvus Green-Ellis left end for 6 yards (tackle by Bob Sanders),2.210,3.310
1,7:30,1,10,SDG 34,0,0,Danny Woodhead left end for 5 yards (tackle by Takeo Spikes and Donald Butler),3.310,3.450
1,6:53,2,5,SDG 29,0,0,Tom Brady pass incomplete short middle intended for Wes Welker,3.450,2.740
1,6:48,3,5,SDG 29,0,0,Tom Brady pass complete short left to Chad Johnson for 15 yards (tackle by Antoine Cason). Penalty on Antoine Cason: Defensive Pass Interference (Declined),2.740,4.650
1,6:22,1,10,SDG 14,0,6,"Tom Brady pass complete short right to Aaron Hernandez for 14 yards, touchdown",4.650,7.000
1,,,,SDG 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 35,0,7,"Stephen Gostkowski kicks off 74 yards, touchback",0.000,0.280
1,6:16,1,10,SDG 20,0,7,Philip Rivers pass complete short right to Ryan Mathews for 5 yards (tackle by Patrick Chung),0.280,0.410
1,5:36,2,5,SDG 25,0,7,Philip Rivers pass incomplete short right intended for Ryan Mathews,0.410,-0.300
1,5:30,3,5,SDG 25,0,7,Philip Rivers pass complete deep middle to Malcom Floyd for 23 yards (tackle by Leigh Bodden),-0.300,2.130
1,4:49,1,10,SDG 48,0,7,Mike Tolbert up the middle for 5 yards (tackle by Shaun Ellis),2.130,2.260
1,4:13,2,5,NWE 47,0,7,Mike Tolbert right guard for 1 yard (tackle by Jerod Mayo and Sergio Brown),2.260,1.680
1,3:35,3,4,NWE 46,0,7,Philip Rivers pass complete deep right to Malcom Floyd for 36 yards (tackle by Josh Barrett),1.680,4.910
1,2:59,1,10,NWE 10,6,7,"Ryan Mathews left end for 10 yards, touchdown",4.910,7.000
1,,,,NWE 2,7,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,7,7,"Nick Novak kicks off 48 yards, returned by Julian Edelman for 20 yards (tackle by Dante Hughes)",0.000,1.400
1,2:50,1,10,NWE 37,7,7,BenJarvus Green-Ellis left tackle for 4 yards (tackle by Eric Weddle and Shaun Phillips),1.400,1.400
1,2:17,2,6,NWE 41,7,7,BenJarvus Green-Ellis left end for 3 yards (tackle by Antonio Garay and Antoine Cason),1.400,1.090
1,1:39,3,3,NWE 44,7,7,Tom Brady pass complete short left to Danny Woodhead for 9 yards (tackle by Takeo Spikes). Penalty on Antwan Barnes: Defensive Offside (Declined),1.090,2.460
1,1:32,1,10,SDG 47,7,7,"Danny Woodhead left end for 5 yards (tackle by Travis LaBoy and Antoine Cason). Penalty on Rob Gronkowski: Offensive Holding, 10 yards (no play)",2.460,1.800
1,1:18,1,20,NWE 43,7,7,Tom Brady pass complete short left to Danny Woodhead for 6 yards (tackle by Eric Weddle),1.800,1.370
1,0:48,2,14,NWE 49,7,7,Tom Brady pass complete short middle to Aaron Hernandez for 6 yards (tackle by Quentin Jammer),1.370,1.490
1,0:24,3,8,SDG 45,7,7,Tom Brady pass complete short middle to Deion Branch for 17 yards (tackle by Bob Sanders),1.490,3.710
1,0:07,1,10,SDG 28,7,7,Tom Brady pass complete short middle to Aaron Hernandez for 5 yards (tackle by Takeo Spikes and Jacques Cesaire),3.710,3.840
Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,SDG 23,7,7,Tom Brady pass complete short right to Wes Welker for 8 yards (tackle by Antoine Cason),3.840,4.580
2,14:49,1,10,SDG 15,7,7,Danny Woodhead left tackle for 3 yards (tackle by Antonio Garay),4.580,4.450
2,14:26,2,7,SDG 12,7,7,"Tom Brady up the middle for 4 yards (tackle by Travis LaBoy). Penalty on Takeo Spikes: Illegal Contact, 4 yards",4.450,6.280
2,14:08,1,4,SDG 4,7,7,Tom Brady pass incomplete short middle intended for Aaron Hernandez,6.280,5.340
2,14:04,2,4,SDG 4,7,7,Danny Woodhead up the middle for no gain (tackle by Takeo Spikes and Vaughn Martin),5.340,4.490
2,13:28,3,4,SDG 4,7,7,Tom Brady pass incomplete short middle intended for Deion Branch,4.490,3.030
2,13:23,4,4,SDG 4,7,10,Stephen Gostkowski 22 yard field goal good,3.030,3.000
2,,,,NWE 35,7,10,"Stephen Gostkowski kicks off 68 yards, returned by Richard Goodman for 27 yards (tackle by Kyle Arrington)",0.000,0.540
2,13:16,1,10,SDG 24,7,10,"Philip Rivers pass incomplete deep right intended for Vincent Jackson. Penalty on Tony Carter: Roughing the Passer, 15 yards (no play)",0.540,1.530
2,13:10,1,10,SDG 39,7,10,Ryan Mathews left guard for 5 yards (tackle by Rob Ninkovich and Jerod Mayo),1.530,1.660
2,12:32,2,5,SDG 44,7,10,Ryan Mathews left guard for 2 yards (tackle by Jerod Mayo),1.660,1.220
2,11:50,3,3,SDG 46,7,10,Philip Rivers pass complete short middle to Vincent Jackson for 28 yards (tackle by Kyle Arrington),1.220,3.840
2,11:04,1,10,NWE 26,7,10,Philip Rivers pass complete short right to Mike Tolbert for 21 yards (tackle by Brandon Spikes),3.840,6.060
2,10:16,1,5,NWE 5,7,10,Ryan Mathews right end for 3 yards (tackle by Josh Barrett),6.060,5.720
2,9:44,2,2,NWE 2,7,10,Mike Tolbert right guard for no gain (tackle by Kyle Love),5.720,4.950
2,9:01,,,,7,10,Timeout #1 by San Diego Chargers,0.000,4.950
2,9:01,3,2,NWE 2,7,10,Philip Rivers left guard for 1 yard (tackle by Jerod Mayo and Vince Wilfork),4.950,3.550
2,8:17,4,1,NWE 1,7,10,Mike Tolbert right tackle for no gain (tackle by Jerod Mayo),3.550,0.380
2,8:14,1,10,NWE 1,7,10,Tom Brady pass complete short middle to Wes Welker for 12 yards (tackle by Donald Butler),-0.380,-0.320
2,7:32,1,10,NWE 13,7,10,Tom Brady pass complete deep middle to Chad Johnson for 30 yards (tackle by Quentin Jammer),-0.320,1.800
2,6:46,1,10,NWE 43,7,10,Tom Brady sacked by Donald Butler for -7 yards,1.800,0.310
