Quarter,Time,Tm,Detail,SFO,SEA
1.0,6:16,49ers,Vernon Davis 33 yard pass from Alex Smith (Joe Nedney kick),7,0
,3:48,Seahawks,Deion Branch 7 yard pass from Matt Hasselbeck (Olindo Mare kick),7,7
2.0,10:06,Seahawks,Justin Forsett 8 yard pass from Matt Hasselbeck (Olindo Mare kick),7,14
,7:40,49ers,Josh Morgan 22 yard pass from Alex Smith (Joe Nedney kick),14,14
4.0,5:30,Seahawks,Olindo Mare 25 yard field goal,14,17
,2:57,49ers,Joe Nedney 34 yard field goal,17,17
,0:00,Seahawks,Olindo Mare 30 yard field goal,17,20
