Unnamed: 0,SFO,SEA
First Downs,14,17
Rush-Yds-TDs,12-53-0,29-107-0
Cmp-Att-Yd-TD-INT,27-45-310-2-0,26-35-205-2-0
Sacked-Yards,1-7,5-20
Net Pass Yards,303,185
Total Yards,356,292
Fumbles-Lost,2-2,3-1
Turnovers,2,1
Penalties-Yards,8-57,4-48
Third Down Conv.,1-13,4-16
Fourth Down Conv.,1-2,0-0
Time of Possession,28:49,31:11
