Player,Pos
Michael Schofield,G/T
Philip Rivers,QB
Melvin Gordon,RB
Keenan Allen,WR
Geremy Davis,WR
Mike Williams,WR
Hunter Henry,TE
Sam Tevi,T
Trenton Scott,T
Dan Feeney,G
Forrest Lamp,G
Joey Bosa,DE
Jerry Tillery,DT
Damion Square,NT
Denzel Perryman,LB
Uchenna Nwosu,LB
Thomas Davis,LB
Kyzir White,LB
Casey Hayward,CB
Michael Davis,CB
Rayshawn Jenkins,S
Roderic Teamer,S
