Quarter,Time,Tm,Detail,LAC,TEN
1.0,6:02,Titans,Cody Parkey 45 yard field goal,0,3
,0:02,Chargers,Chase McLaughlin 29 yard field goal,3,3
2.0,3:38,Chargers,Melvin Gordon 1 yard pass from Philip Rivers (Chase McLaughlin kick),10,3
,0:23,Titans,Corey Davis 8 yard pass from Ryan Tannehill (Cody Parkey kick),10,10
4.0,13:11,Titans,Tajae Sharpe 5 yard pass from Ryan Tannehill (Cody Parkey kick failed),10,16
,10:55,Chargers,Chase McLaughlin 50 yard field goal,13,16
,6:39,Titans,Derrick Henry 11 yard rush (Cody Parkey kick),13,23
,5:09,Chargers,Austin Ekeler 41 yard pass from Philip Rivers (Chase McLaughlin kick),20,23
