Unnamed: 0,LAC,TEN
First Downs,24,22
Rush-Yds-TDs,21-39-0,29-97-1
Cmp-Att-Yd-TD-INT,24-38-329-2-0,24-30-323-2-1
Sacked-Yards,1-3,2-17
Net Pass Yards,326,306
Total Yards,365,403
Fumbles-Lost,2-1,2-0
Turnovers,1,1
Penalties-Yards,4-29,7-54
Third Down Conv.,6-11,6-11
Fourth Down Conv.,0-1,1-2
Time of Possession,27:45,32:15
