Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA
1,8:58,3,10,LAC 45,0,0,Ryan Tannehill pass complete short left to Corey Davis for 2 yards (tackle by Jaylen Watkins),1.360,0.400
1,8:18,4,8,LAC 43,0,0,Brett Kern pass complete short left to Kevin Byard for 11 yards (tackle by Jatavis Brown),0.400,3.450
1,7:30,,,,,,Timeout #1 by Tennessee Titans,,
1,7:30,1,10,LAC 32,0,0,Derrick Henry left guard for 6 yards (tackle by Casey Hayward and Damion Square),3.450,3.710
1,6:51,2,4,LAC 26,0,0,Derrick Henry right end for -1 yards (tackle by Uchenna Nwosu),3.710,2.870
1,6:12,3,5,LAC 27,0,0,Ryan Tannehill pass incomplete short right intended for A.J. Brown (defended by Michael Davis),2.870,1.720
1,6:06,4,5,LAC 27,0,3,Cody Parkey 45 yard field goal good,1.720,3.000
1,6:02,,,TEN 35,0,3,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,6:02,1,10,LAC 25,0,3,Melvin Gordon left end for 6 yards (tackle by Malcolm Butler and Wesley Woodyard),0.610,0.870
1,5:29,2,4,LAC 31,0,3,"Melvin Gordon right tackle for 6 yards (tackle by Logan Ryan). Melvin Gordon fumbles (forced by Logan Ryan), recovered by Melvin Gordon at LAC-37",0.870,1.400
1,4:39,1,10,LAC 37,0,3,Philip Rivers pass incomplete short left intended for Mike Williams,1.400,0.860
1,4:35,2,10,LAC 37,0,3,Philip Rivers pass complete short right to Austin Ekeler for 13 yards (tackle by Adoree' Jackson and Wesley Woodyard),0.860,2.260
1,3:48,1,10,LAC 50,0,3,Philip Rivers pass complete short middle to Keenan Allen for 13 yards (tackle by Kevin Byard),2.260,3.120
1,3:08,1,10,TEN 37,0,3,"Philip Rivers pass incomplete deep left intended for Hunter Henry. Penalty on Malcolm Butler: Face Mask (15 Yards), 15 yards (no play)",3.120,4.110
1,3:02,1,10,TEN 22,0,3,Melvin Gordon right tackle for -1 yards (tackle by Jeffery Simmons and Harold Landry),4.110,3.430
1,2:20,2,11,TEN 23,0,3,Philip Rivers pass complete short middle to Melvin Gordon for -4 yards (tackle by David Long),3.430,2.210
1,1:34,3,15,TEN 27,0,3,Philip Rivers pass complete short middle to Keenan Allen for 16 yards (tackle by Logan Ryan),2.210,4.840
1,0:55,1,10,TEN 11,0,3,Austin Ekeler left end for no gain (tackle by Wesley Woodyard and Malcolm Butler),4.840,4.140
1,0:16,2,10,TEN 11,0,3,Philip Rivers pass incomplete short left intended for Mike Williams,4.140,3.130
1,0:12,3,10,TEN 11,0,3,Philip Rivers pass incomplete short left intended for Melvin Gordon (defended by Malcolm Butler),3.130,2.700
1,0:07,4,10,TEN 11,3,3,Chase McLaughlin 29 yard field goal good,2.700,3.000
1,0:02,,,LAC 35,3,3,"Chase McLaughlin kicks off 67 yards, returned by Darius Jennings for 23 yards (tackle by Derek Watt)",0.000,0.340
Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 21,3,3,Derrick Henry up the middle for 5 yards (tackle by Uchenna Nwosu),0.340,0.480
2,14:26,2,5,TEN 26,3,3,Ryan Tannehill pass complete short left to Corey Davis for 11 yards (tackle by Casey Hayward),0.480,1.400
2,13:57,1,10,TEN 37,3,3,Derrick Henry right end for 2 yards (tackle by Denzel Perryman),1.400,1.130
2,13:20,2,8,TEN 39,3,3,Ryan Tannehill pass complete deep left to Corey Davis for 16 yards (tackle by Michael Davis),1.130,2.590
2,12:50,1,10,LAC 45,3,3,Derrick Henry up the middle for 3 yards (tackle by Cortez Broughton and Michael Davis),2.590,2.450
2,12:10,2,7,LAC 42,3,3,Dion Lewis up the middle for 2 yards (tackle by Uchenna Nwosu),2.450,2.010
2,11:31,3,5,LAC 40,3,3,Ryan Tannehill pass incomplete short right,2.010,0.590
2,11:24,4,5,LAC 40,3,3,Brett Kern punts 34 yards downed by LeShaun Sims,0.590,0.380
2,11:15,1,10,LAC 6,3,3,Melvin Gordon right tackle for 6 yards (tackle by Jeffery Simmons),-0.380,-0.340
2,10:38,2,4,LAC 12,3,3,Melvin Gordon left guard for 1 yard (tackle by Harold Landry),-0.340,-0.600
2,9:58,3,3,LAC 13,3,3,Philip Rivers pass complete deep right to Keenan Allen for 17 yards,-0.600,0.940
2,9:37,1,10,LAC 30,3,3,Austin Ekeler right end for 1 yard (tackle by Logan Ryan and Reggie Gilbert),0.940,0.530
2,9:01,2,9,LAC 31,3,3,Philip Rivers pass complete deep right to Mike Williams for 21 yards,0.530,2.390
2,8:47,1,10,TEN 48,3,3,Philip Rivers pass complete short right to Austin Ekeler for 15 yards (tackle by Malcolm Butler and Wesley Woodyard),2.390,3.380
2,8:03,1,10,TEN 33,3,3,Austin Ekeler left end for 3 yards (tackle by Kenny Vaccaro),3.380,3.240
2,7:19,2,7,TEN 30,3,3,Philip Rivers pass complete short right to Austin Ekeler for 5 yards (tackle by Rashaan Evans),3.240,3.200
2,6:33,3,2,TEN 25,3,3,Philip Rivers pass complete short left to Hunter Henry for 7 yards (tackle by Rashaan Evans),3.200,4.370
2,5:48,1,10,TEN 18,3,3,Melvin Gordon right tackle for no gain (tackle by Kevin Byard and Reggie Gilbert),4.370,3.800
2,5:10,2,10,TEN 18,3,3,Philip Rivers pass complete short right to Keenan Allen for 15 yards,3.800,6.510
2,4:52,1,3,TEN 3,3,3,Melvin Gordon left guard for no gain (tackle by DaQuan Jones),6.510,5.530
2,4:12,2,3,TEN 3,3,3,Melvin Gordon up the middle for 2 yards (tackle by Rashaan Evans and Kevin Byard),5.530,5.170
2,3:43,3,1,TEN 1,9,3,"Philip Rivers pass complete short left to Melvin Gordon for 1 yard, touchdown",5.170,7.000
2,3:38,,,TEN 15,10,3,Chase McLaughlin kicks extra point good,0.000,0.000
2,3:38,,,LAC 35,10,3,"Chase McLaughlin kicks off 65 yards, returned by Darius Jennings for 24 yards (tackle by Derek Watt and Jason Moore). Penalty on Daren Bates: Offensive Holding, 10 yards",0.000,-0.280
2,3:32,1,10,TEN 14,10,3,Ryan Tannehill pass complete short right to A.J. Brown for 16 yards (tackle by Rayshawn Jenkins),-0.280,0.940
2,2:54,1,10,TEN 30,10,3,Derrick Henry right tackle for 2 yards (tackle by Michael Davis and Joey Bosa),0.940,0.660
2,2:18,2,8,TEN 32,10,3,Ryan Tannehill pass complete short middle to A.J. Brown for 15 yards (tackle by Thomas Davis),0.660,2.060
2,2:00,1,10,TEN 47,10,3,Ryan Tannehill pass complete short left to Derrick Henry for 18 yards (tackle by Joey Bosa),2.060,3.250
2,1:34,1,10,LAC 35,10,3,Derrick Henry up the middle for 12 yards (tackle by Roderic Teamer and Rayshawn Jenkins),3.250,4.040
2,1:13,1,10,LAC 23,10,3,Derrick Henry right tackle for 4 yards (tackle by Thomas Davis and Uchenna Nwosu),4.040,4.050
2,0:51,2,6,LAC 19,10,3,Ryan Tannehill pass complete short left to A.J. Brown for 11 yards (tackle by Michael Davis),4.050,5.370
2,0:27,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:27,1,8,LAC 8,10,9,"Ryan Tannehill pass complete short middle to Corey Davis for 8 yards, touchdown. Penalty on Denzel Perryman: Unnecessary Roughness, 15 yards",5.370,7.000
2,0:23,,,LAC 15,10,10,Cody Parkey kicks extra point good,0.000,0.000
2,0:23,,,TEN 50,10,10,"Cody Parkey kicks off 39 yards, returned by Desmond King for 8 yards (tackle by Kenny Vaccaro and Tye Smith)",0.000,0.150
2,0:15,1,10,LAC 19,10,10,Melvin Gordon up the middle for 3 yards (tackle by DaQuan Jones and Reggie Gilbert),0.150,0.070
Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,10,10,"Chase McLaughlin kicks off 70 yards, returned by Darius Jennings for 22 yards (tackle by Emeke Egbule)",0.000,-0.060
3,14:53,1,10,TEN 17,10,10,Derrick Henry left guard for 2 yards (tackle by Roderic Teamer),-0.060,-0.250
3,14:09,2,8,TEN 19,10,10,"Ryan Tannehill sacked by Joey Bosa for -6 yards. Ryan Tannehill fumbles (forced by Joey Bosa), recovered by Rodger Saffold at TEN-13 (tackle by Uchenna Nwosu)",-0.250,-1.860
3,13:21,3,14,TEN 13,10,10,Ryan Tannehill pass complete short middle to Jonnu Smith for 35 yards (tackle by Desmond King and Michael Davis),-1.860,2.130
3,12:34,1,10,TEN 48,10,10,"Penalty on Jerry Tillery: Neutral Zone Infraction, 5 yards (no play)",2.130,2.860
3,12:20,1,5,LAC 47,10,10,Ryan Tannehill pass incomplete short left intended for Tajae Sharpe,2.860,2.260
3,12:15,2,5,LAC 47,10,10,"Derrick Henry left guard for 3 yards (tackle by T.Y. McGill). Penalty on Jonnu Smith: Offensive Holding, 10 yards (no play)",2.260,0.910
3,11:54,2,15,TEN 43,10,10,Ryan Tannehill pass complete short right to Adam Humphries for 9 yards (tackle by Desmond King),0.910,1.420
3,11:11,3,6,LAC 48,10,10,Ryan Tannehill sacked by Joey Bosa for -11 yards,1.420,-0.650
3,10:27,4,17,TEN 41,10,10,"Brett Kern punts 50 yards, fair catch by Troymaine Pope at LAC-9",-0.650,0.380
3,10:17,1,10,LAC 9,10,10,Philip Rivers sacked by Jeffery Simmons for -3 yards,-0.380,-1.000
3,9:36,2,13,LAC 6,10,10,Austin Ekeler right tackle for 1 yard (tackle by Rashaan Evans and Kamalei Correa),-1.000,-1.650
3,8:50,3,12,LAC 7,10,10,Philip Rivers pass incomplete deep right intended for Keenan Allen,-1.650,-2.490
3,8:44,4,12,LAC 7,10,10,"Ty Long punts 58 yards, returned by Adam Humphries for 14 yards (tackle by Geremy Davis)",-2.490,-2.190
3,8:32,1,10,TEN 49,10,10,Derrick Henry left tackle for 6 yards (tackle by Thomas Davis and Isaac Rochell),2.190,2.460
3,7:59,2,4,LAC 45,10,10,Derrick Henry right guard for 5 yards (tackle by Thomas Davis),2.460,2.920
3,7:17,1,10,LAC 40,10,10,Ryan Tannehill pass short left (defended by Uchenna Nwosu) intended for A.J. Brown is intercepted by Roderic Teamer at LAC-38 and returned for 3 yards,2.920,-1.660
3,7:10,1,10,LAC 41,10,10,Melvin Gordon right end for 2 yards (tackle by Adoree' Jackson),1.660,1.390
3,6:33,2,8,LAC 43,10,10,Philip Rivers pass incomplete short right,1.390,0.700
3,6:28,3,8,LAC 43,10,10,"Philip Rivers pass incomplete short right intended for Hunter Henry. Penalty on Adoree' Jackson: Defensive Holding, 5 yards (no play)",0.700,2.130
3,6:23,1,10,LAC 48,10,10,Melvin Gordon up the middle for 2 yards (tackle by Rashaan Evans and Kamalei Correa),2.130,1.850
3,5:44,2,8,LAC 50,10,10,Philip Rivers pass incomplete short left intended for Keenan Allen,1.850,1.160
3,5:38,3,8,LAC 50,10,10,Philip Rivers pass incomplete deep left intended for Keenan Allen,1.160,-0.060
3,5:32,4,8,LAC 50,10,10,Ty Long punts 35 yards downed by Troymaine Pope,-0.060,0.220
3,5:20,1,10,TEN 15,10,10,Ryan Tannehill pass incomplete short right intended for Dion Lewis (defended by Damion Square),-0.220,-0.710
3,5:12,2,10,TEN 15,10,10,Ryan Tannehill pass complete short left to Tajae Sharpe for 14 yards (tackle by Michael Davis),-0.710,0.870
3,4:46,1,10,TEN 29,10,10,Derrick Henry left tackle for 1 yard (tackle by Uchenna Nwosu),0.870,0.460
3,4:10,2,9,TEN 30,10,10,Ryan Tannehill pass complete short right to Adam Humphries for 11 yards (tackle by Roderic Teamer and Desmond King),0.460,1.660
3,3:28,1,10,TEN 41,10,10,Derrick Henry up the middle for 6 yards (tackle by Cortez Broughton and Rayshawn Jenkins),1.660,1.930
3,2:47,2,4,TEN 47,10,10,Derrick Henry left tackle for 2 yards (tackle by Cortez Broughton and Denzel Perryman),1.930,1.490
3,2:03,3,2,TEN 49,10,10,Ryan Tannehill up the middle for 2 yards (tackle by Cortez Broughton and Isaac Rochell),1.490,2.320
3,1:26,1,10,LAC 49,10,10,Ryan Tannehill pass complete short right to Anthony Firkser for 27 yards (tackle by Emeke Egbule),2.320,4.110
3,0:41,1,10,LAC 22,10,10,Derrick Henry right end for 4 yards (tackle by Emeke Egbule),4.110,4.130
Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,LAC 18,10,10,"Penalty on Dennis Kelly: False Start, 5 yards (no play)",4.130,3.430
4,14:59,2,11,LAC 23,10,10,Ryan Tannehill pass incomplete short middle intended for Corey Davis,3.430,2.740
4,14:55,3,11,LAC 23,10,10,Ryan Tannehill pass complete short middle to Adam Humphries for 14 yards (tackle by Drue Tranquill and Michael Davis),2.740,5.140
4,14:20,1,9,LAC 9,10,10,Derrick Henry right guard for -1 yards (tackle by Denzel Perryman and Isaac Rochell),5.140,4.190
4,13:45,2,10,LAC 10,10,10,Ryan Tannehill pass complete short right to Jonnu Smith for 5 yards (tackle by Casey Hayward),4.190,4.260
4,13:16,3,5,LAC 5,10,16,"Ryan Tannehill pass complete short middle to Tajae Sharpe for 5 yards, touchdown",4.260,7.000
4,13:11,,,LAC 15,10,16,Cody Parkey kicks extra point no good hit right upright,0.000,-1.000
4,13:11,,,TEN 35,10,16,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
4,13:11,1,10,LAC 25,10,16,Philip Rivers pass complete deep left to Hunter Henry for 23 yards (tackle by Kenny Vaccaro),0.610,2.130
4,12:32,1,10,LAC 48,10,16,Philip Rivers pass complete short right to Hunter Henry for 23 yards (tackle by Kevin Byard and Kenny Vaccaro),2.130,3.640
4,11:49,1,10,TEN 29,10,16,Austin Ekeler left tackle for 2 yards (tackle by Harold Landry),3.640,3.370
4,11:12,2,8,TEN 27,10,16,Philip Rivers pass incomplete deep right intended for Keenan Allen,3.370,2.680
4,11:05,3,8,TEN 27,10,16,Philip Rivers pass incomplete deep left intended for Hunter Henry,2.680,1.670
4,11:00,4,8,TEN 27,10,16,"Penalty on Trey Pipkins: False Start, 5 yards (no play)",1.670,1.240
4,10:59,4,13,TEN 32,13,16,Chase McLaughlin 50 yard field goal good,1.240,3.000
4,10:55,,,LAC 35,13,16,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
4,10:55,1,10,TEN 25,13,16,Derrick Henry up the middle for 4 yards (tackle by Roderic Teamer),0.610,0.600
4,10:19,2,6,TEN 29,13,16,Ryan Tannehill pass complete short right to Corey Davis for 5 yards (tackle by Casey Hayward),0.600,0.560
4,9:35,3,1,TEN 34,13,16,Ryan Tannehill pass complete short middle to Corey Davis for 38 yards (tackle by Rayshawn Jenkins),0.560,3.710
4,8:46,1,10,LAC 28,13,16,Ryan Tannehill right guard for 6 yards (tackle by Denzel Perryman),3.710,3.980
4,8:01,2,4,LAC 22,13,16,Derrick Henry right guard for 8 yards (tackle by Rayshawn Jenkins and T.Y. McGill),3.980,4.650
4,7:23,1,10,LAC 14,13,16,Derrick Henry right guard for 3 yards (tackle by Damion Square and Denzel Perryman),4.650,4.520
4,6:45,2,7,LAC 11,13,22,"Derrick Henry left end for 11 yards, touchdown",4.520,7.000
4,6:39,,,LAC 15,13,23,Cody Parkey kicks extra point good,0.000,0.000
4,6:39,,,TEN 35,13,23,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
4,6:39,1,10,LAC 25,13,23,Philip Rivers pass complete short left to Mike Williams for 10 yards (tackle by Logan Ryan and Malcolm Butler),0.610,1.270
4,6:09,1,10,LAC 35,13,23,Philip Rivers pass complete short middle to Hunter Henry for 11 yards (tackle by Rashaan Evans),1.270,1.990
4,5:39,1,10,LAC 46,13,23,Philip Rivers pass complete short right to Hunter Henry for 13 yards (tackle by Rashaan Evans),1.990,2.850
4,5:16,1,10,TEN 41,19,23,"Philip Rivers pass complete deep right to Austin Ekeler for 41 yards, touchdown",2.850,7.000
4,5:09,,,TEN 15,20,23,Chase McLaughlin kicks extra point good,0.000,0.000
4,5:09,,,LAC 35,20,23,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
4,5:09,1,10,TEN 25,20,23,Ryan Tannehill pass complete short middle to A.J. Brown for 5 yards (tackle by Denzel Perryman),0.610,0.740
4,4:23,2,5,TEN 30,20,23,Derrick Henry up the middle for 1 yard (tackle by Denzel Perryman),0.740,0.170
4,3:39,3,4,TEN 31,20,23,Ryan Tannehill pass complete short left to A.J. Brown for 11 yards (tackle by Roderic Teamer),0.170,1.730
4,3:32,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:32,1,10,TEN 42,20,23,Derrick Henry up the middle for 5 yards (tackle by Kyzir White and Joey Bosa),1.730,1.860
4,3:27,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:27,2,5,TEN 47,20,23,A.J. Brown right end for -2 yards (tackle by Thomas Davis),1.860,0.890
4,3:22,,,,,,Timeout #3 by Los Angeles Chargers,,
4,3:22,3,7,TEN 45,20,23,Ryan Tannehill pass complete short middle to A.J. Brown for 6 yards (tackle by Casey Hayward),0.890,0.000
4,2:39,4,1,LAC 49,20,23,Ryan Tannehill up the middle for no gain (tackle by Joey Bosa),0.000,-2.190
4,2:35,1,10,LAC 49,20,23,Philip Rivers pass incomplete short right intended for Austin Ekeler,2.190,1.650
4,2:30,2,10,LAC 49,20,23,Philip Rivers pass complete short middle to Mike Williams for 6 yards (tackle by Logan Ryan),1.650,1.750
4,2:00,3,4,TEN 45,20,23,Philip Rivers pass complete short right to Mike Williams for 10 yards (tackle by Malcolm Butler),1.750,3.250
4,1:24,1,10,TEN 35,20,23,Philip Rivers pass complete short left to Austin Ekeler for 19 yards (tackle by Kevin Byard),3.250,4.510
4,0:49,1,10,TEN 16,20,23,Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Logan Ryan),4.510,3.900
4,0:44,2,10,TEN 16,20,23,Philip Rivers pass complete short middle to Austin Ekeler for 15 yards (tackle by Kenny Vaccaro and Logan Ryan),3.900,6.970
4,0:39,,,,,,Timeout #1 by Tennessee Titans,,
4,0:39,1,1,TEN 1,20,23,"Penalty on Dan Feeney: False Start, 4 yards (no play)",6.970,6.060
4,0:39,1,5,TEN 5,20,23,"Philip Rivers pass incomplete short left intended for Mike Williams (defended by Malcolm Butler). Penalty on Malcolm Butler: Defensive Pass Interference, 4 yards (no play)",6.060,6.970
4,0:34,1,1,TEN 1,20,23,Melvin Gordon right tackle for no gain (tackle by Jeffery Simmons and Rashaan Evans),6.970,5.910
4,0:19,2,1,TEN 1,20,23,"Melvin Gordon right guard for no gain (tackle by Wesley Woodyard). Melvin Gordon fumbles (forced by Wesley Woodyard), recovered by Jurrell Casey at TEN-0",5.910,-0.280
4,0:15,1,10,TEN 20,20,23,Ryan Tannehill kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
