Unnamed: 0,SDG,NYJ
First Downs,15,18
Rush-Yds-TDs,30-87-0,23-69-2
Cmp-Att-Yd-TD-INT,11-22-165-2-0,15-25-227-0-1
Sacked-Yards,4-29,11-71
Net Pass Yards,136,156
Total Yards,223,225
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-53,6-40
Third Down Conv.,2-12,2-11
Fourth Down Conv.,1-1,0-1
Time of Possession,30:09,29:51
