Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cole Beasley,BUF,12,7,108,0,5,70,10.0,38,5.4,9.0,0,,0,0.0,0,88.2
Isaiah McKenzie,BUF,2,2,11,0,,-1,-0.5,12,6.0,-0.5,0,,0,0.0,0,89.6
John Brown,BUF,4,1,53,1,1,33,33.0,20,20.0,28.0,0,,0,0.0,0,118.7
Devin Singletary,BUF,1,1,2,0,0,1,1.0,1,1.0,1.0,0,,0,0.0,0,79.2
Dion Dawkins,BUF,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
Dawson Knox,BUF,4,1,33,0,1,32,32.0,1,1.0,14.0,0,,1,25.0,0,61.5
Tyler Kroft,BUF,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
Robert Foster,BUF,1,0,0,0,,0,,0,,39.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Julian Edelman,NWE,6,5,72,0,3,52,10.4,20,4.0,9.5,1,5.0,1,16.7,0,116.7
Rex Burkhead,NWE,4,4,77,0,3,6,1.5,71,17.8,1.5,1,4.0,0,0.0,0,118.7
James White,NWE,5,4,24,0,0,12,3.0,12,3.0,3.4,0,,0,0.0,0,86.7
Jakobi Meyers,NWE,3,3,25,0,1,19,6.3,6,2.0,6.3,0,,0,0.0,0,101.4
Mohamed Sanu,NWE,5,3,24,0,1,22,7.3,2,0.7,7.2,0,,0,0.0,0,72.1
Ben Watson,NWE,3,3,15,0,1,11,3.7,4,1.3,3.7,0,,0,0.0,0,87.5
N'Keal Harry,NWE,3,2,21,0,1,6,3.0,15,7.5,8.7,1,2.0,0,0.0,0,86.8
Matt LaCosse,NWE,1,1,8,1,1,7,7.0,1,1.0,7.0,0,,0,0.0,0,139.6
Sony Michel,NWE,2,1,5,0,0,-2,-2.0,7,7.0,-1.5,1,1.0,0,0.0,0,56.2
