Quarter,Time,Tm,Detail,BUF,NWE
1.0,9:16,Bills,Stephen Hauschka 35 yard field goal,3,0
,1:50,Patriots,Matt LaCosse 8 yard pass from Tom Brady (Nick Folk kick),3,7
2.0,5:04,Patriots,Nick Folk 36 yard field goal,3,10
,0:01,Bills,Dion Dawkins 1 yard pass from Josh Allen (Stephen Hauschka kick),10,10
3.0,9:54,Patriots,Nick Folk 51 yard field goal,10,13
,7:25,Bills,John Brown 53 yard pass from Josh Allen (Stephen Hauschka kick),17,13
4.0,10:45,Patriots,Nick Folk 20 yard field goal,17,16
,5:06,Patriots,Rex Burkhead 1 yard rush (Julian Edelman pass from Tom Brady),17,24
