Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
1,3:02,3,7,LAR 31,7,0,Matthew Stafford pass complete short left to Van Jefferson for 4 yards (tackle by Chidobe Awuzie),,
1,2:23,4,3,LAR 35,7,0,"Johnny Hekker punts 55 yards, returned by Trent Taylor for 20 yards (tackle by Buddy Howell)",,
1,2:09,1,10,CIN 30,7,0,Joe Mixon left tackle for 13 yards (tackle by Darious Williams and Eric Weddle),,
1,1:32,1,10,CIN 43,7,0,Joe Burrow pass complete deep right to Ja'Marr Chase for 46 yards (tackle by Jalen Ramsey),,
1,0:42,1,10,LAR 11,7,0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Von Miller),,
1,0:38,2,10,LAR 11,7,0,Joe Burrow pass incomplete short right intended for Joe Mixon,,
1,0:36,3,10,LAR 11,7,0,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Jalen Ramsey),,
1,0:31,4,10,LAR 11,7,3,Evan McPherson 29 yard field goal good,,
1,0:28,,,CIN 35,7,3,"Evan McPherson kicks off 65 yards, touchback.",,
1,0:28,1,10,LAR 25,7,3,Cam Akers up the middle for -1 yards (tackle by Vonn Bell),,
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,LAR 24,7,3,Matthew Stafford pass incomplete deep middle intended for Cooper Kupp,,
2,14:55,3,11,LAR 24,7,3,Matthew Stafford pass complete short right to Odell Beckham for 35 yards (tackle by Eli Apple),,
2,14:16,1,10,CIN 41,7,3,Matthew Stafford pass complete short left to Darrell Henderson for 25 yards (tackle by Chidobe Awuzie),,
2,13:38,1,10,CIN 16,7,3,Darrell Henderson left guard for 5 yards (tackle by Khalid Kareem),,
2,12:56,,,,,,Timeout #1 by Los Angeles Rams,,
2,12:56,2,5,CIN 11,13,3,"Matthew Stafford pass complete short right to Cooper Kupp for 11 yards, touchdown",,
2,12:51,,,CIN 2,13,3,Two Point Attempt: Johnny Hekker pass incomplete intended for. Interception by Germaine Pratt,,
2,12:51,,,LAR 35,13,3,"Matt Gay kicks off 65 yards, touchback.",,
2,12:51,1,10,CIN 25,13,3,Joe Burrow pass complete short middle to Tyler Boyd for 11 yards (tackle by David Long),,
2,12:17,1,10,CIN 36,13,3,Joe Mixon right tackle for 3 yards (tackle by A'Shawn Robinson and Darious Williams),,
2,11:37,2,7,CIN 39,13,3,Joe Burrow pass complete short middle to Ja'Marr Chase for 10 yards (tackle by Eric Weddle),,
2,11:05,1,10,CIN 49,13,3,Joe Mixon right guard for 14 yards (tackle by Ernest Jones),,
2,10:22,1,10,LAR 37,13,3,Joe Mixon left tackle for 4 yards (tackle by Ernest Jones),,
2,9:47,2,6,LAR 33,13,3,Joe Burrow pass complete short right to Joe Mixon for no gain (tackle by David Long),,
2,9:01,3,6,LAR 33,13,3,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by Darious Williams and Taylor Rapp),,
2,8:19,1,10,LAR 19,13,3,Joe Mixon right end for 4 yards (tackle by Darious Williams),,
2,7:37,2,6,LAR 15,13,3,Joe Burrow pass complete short right to Joe Mixon for 4 yards (tackle by Leonard Floyd),,
2,7:03,3,2,LAR 11,13,3,Ja'Marr Chase left end for 4 yards (tackle by Nick Scott),,
2,6:24,1,7,LAR 7,13,3,Joe Mixon left guard for 1 yard (tackle by Troy Reeder),,
2,5:52,2,6,LAR 6,13,9,"Joe Mixon pass complete short right to Tee Higgins for 6 yards, touchdown",,
2,5:47,,,LAR 15,13,10,Evan McPherson kicks extra point good,,
2,5:47,,,CIN 35,13,10,"Evan McPherson kicks off 65 yards, touchback.",,
2,5:47,1,10,LAR 25,13,10,Cam Akers right tackle for 6 yards (tackle by Logan Wilson),,
2,5:24,2,4,LAR 31,13,10,Matthew Stafford pass complete short left to Van Jefferson for 13 yards (tackle by Logan Wilson),,
2,4:39,1,10,LAR 44,13,10,Cam Akers up the middle for 1 yard (tackle by Jessie Bates),,
2,3:55,2,9,LAR 45,13,10,Matthew Stafford pass incomplete short right intended for Odell Beckham,,
2,3:50,3,9,LAR 45,13,10,Matthew Stafford pass complete short middle to Brycen Hopkins for 16 yards (tackle by Mike Hilton and Jessie Bates),,
2,3:06,1,10,CIN 39,13,10,"Penalty on Kendall Blanton: False Start, 5 yards (accepted) (no play)",,
2,2:46,1,15,CIN 44,13,10,Matthew Stafford pass incomplete short right,,
2,2:40,2,15,CIN 44,13,10,Cam Akers left end for 1 yard (tackle by Germaine Pratt and Vonn Bell),,
2,2:10,3,14,CIN 43,13,10,Matthew Stafford pass deep left intended for Van Jefferson is intercepted by Jessie Bates in end zone and returned for no gain,,
2,2:00,1,10,CIN 10,13,10,Joe Burrow pass complete short right to Tee Higgins for 5 yards (tackle by Jalen Ramsey),,
2,1:29,2,5,CIN 15,13,10,Joe Burrow pass complete short right to C.J. Uzomah for 6 yards (tackle by Taylor Rapp),,
2,1:01,1,10,CIN 21,13,10,Joe Burrow pass incomplete short right,,
2,0:55,2,10,CIN 21,13,10,Joe Burrow pass complete short left to Tyler Boyd for 4 yards (tackle by David Long),,
2,0:48,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:48,3,6,CIN 25,13,10,Joe Burrow sacked by Leonard Floyd for -8 yards,,
2,0:42,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:42,4,14,CIN 17,13,10,"Kevin Huber punts 51 yards, returned by Brandon Powell for 9 yards (tackle by Michael Thomas)",,
2,0:30,1,10,LAR 41,13,10,Matthew Stafford pass incomplete deep left intended for Darrell Henderson,,
2,0:26,2,10,LAR 41,13,10,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Tre Flowers and Eli Apple),,
2,0:18,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:18,3,1,LAR 50,13,10,Matthew Stafford pass incomplete deep left intended for Van Jefferson,,
2,0:12,4,1,LAR 50,13,10,"Johnny Hekker punts 50 yards, touchback.",,
2,0:04,1,10,CIN 20,13,10,Joe Burrow kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,13,10,"Matt Gay kicks off 65 yards, touchback.",,
3,15:00,1,10,CIN 25,13,16,"Joe Burrow pass complete deep left to Tee Higgins for 75 yards, touchdown",,
3,14:48,,,LAR 15,13,17,Evan McPherson kicks extra point good,,
3,14:48,,,CIN 35,13,17,"Evan McPherson kicks off 65 yards, returned by Brandon Powell for 17 yards (tackle by Markus Bailey)",,
3,14:44,1,10,LAR 17,13,17,Matthew Stafford pass short middle intended for Ben Skowronek is intercepted by Chidobe Awuzie at LA-32 and returned for 1 yard (tackle by Ben Skowronek),,
3,14:38,1,10,LAR 31,13,17,Joe Burrow pass complete short left to Joe Mixon for no gain (tackle by Leonard Floyd),,
3,14:18,2,10,LAR 31,13,17,Joe Burrow sacked by Aaron Donald for -1 yards,,
3,13:47,3,11,LAR 32,13,17,Joe Burrow pass complete short right to Ja'Marr Chase for 10 yards (tackle by Darious Williams and Taylor Rapp),,
3,13:06,4,1,LAR 22,13,17,Joe Burrow scrambles up the middle for 4 yards (tackle by Taylor Rapp),,
3,12:29,1,10,LAR 18,13,17,Joe Mixon left tackle for 2 yards (tackle by Ogbonnia Okoronkwo and A'Shawn Robinson),,
3,11:46,2,8,LAR 16,13,17,Joe Burrow pass complete short right to C.J. Uzomah for 5 yards (tackle by Darious Williams and Taylor Rapp),,
3,11:06,3,3,LAR 11,13,17,Joe Burrow sacked by Aaron Donald for -9 yards,,
3,10:19,4,12,LAR 20,13,20,Evan McPherson 38 yard field goal good,,
3,10:15,,,CIN 35,13,20,"Evan McPherson kicks off 65 yards, touchback.",,
3,10:15,1,10,LAR 25,13,20,Cam Akers right guard for 2 yards (tackle by Sam Hubbard and B.J. Hill),,
3,9:53,2,8,LAR 27,13,20,Matthew Stafford pass incomplete short right intended for Cooper Kupp,,
3,9:49,3,8,LAR 27,13,20,Matthew Stafford pass complete short right to Darrell Henderson for 15 yards (tackle by Logan Wilson),,
3,9:08,1,10,LAR 42,13,20,Darrell Henderson up the middle for 1 yard (tackle by Germaine Pratt),,
3,8:40,2,9,LAR 43,13,20,Matthew Stafford pass complete short left to Cooper Kupp for 13 yards (tackle by Jessie Bates),,
3,8:06,1,10,CIN 44,13,20,Matthew Stafford pass complete short left to Brycen Hopkins for 16 yards (tackle by Logan Wilson and Jessie Bates),,
3,7:22,1,10,CIN 28,13,20,Matthew Stafford pass complete short right to Ben Skowronek for 7 yards (tackle by Eli Apple),,
3,6:56,2,3,CIN 21,13,20,Cam Akers left guard for -2 yards (tackle by Sam Hubbard),,
3,6:13,3,5,CIN 23,13,20,Cooper Kupp pass incomplete short right intended for Matthew Stafford,,
3,6:02,4,5,CIN 23,16,20,Matt Gay 41 yard field goal good,,
3,5:58,,,LAR 35,16,20,"Matt Gay kicks off 65 yards, touchback.",,
3,5:58,1,10,CIN 25,16,20,Joe Mixon right end for 4 yards (tackle by Aaron Donald and Ernest Jones),,
3,5:25,2,6,CIN 29,16,20,Joe Burrow sacked by Ernest Jones for -7 yards,,
3,4:44,3,13,CIN 22,16,20,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,,
3,4:37,4,13,CIN 22,16,20,"Kevin Huber punts 43 yards, returned by Brandon Powell for 12 yards (tackle by Clay Johnston)",,
3,4:28,1,10,LAR 47,16,20,Matthew Stafford pass complete short right to Van Jefferson for -1 yards (tackle by Logan Wilson),,
3,3:53,2,11,LAR 46,16,20,Matthew Stafford pass complete short middle to Cam Akers for 4 yards (tackle by Logan Wilson),,
3,3:35,3,7,LAR 50,16,20,Matthew Stafford sacked by D.J. Reader for -6 yards,,
3,2:55,4,13,LAR 44,16,20,Johnny Hekker punts 40 yards out of bounds,,
3,2:47,1,10,CIN 16,16,20,Joe Burrow sacked by A'Shawn Robinson for -2 yards,,
3,2:10,2,12,CIN 14,16,20,Joe Burrow sacked by Von Miller for -10 yards,,
3,1:25,3,22,CIN 4,16,20,Joe Burrow pass complete short right to Mike Thomas for 17 yards (tackle by Eric Weddle and Jalen Ramsey),,
3,0:46,4,5,CIN 21,16,20,"Kevin Huber punts 32 yards, returned by Brandon Powell for 1 yard (tackle by Mike Thomas)",,
3,0:36,1,10,LAR 48,16,20,Cam Akers left end for 5 yards (tackle by Vonn Bell),,
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,CIN 47,16,20,Cam Akers left tackle for -2 yards (tackle by Sam Hubbard),,
4,14:17,3,7,CIN 49,16,20,Matthew Stafford pass incomplete deep right intended for Van Jefferson (defended by Eli Apple),,
4,14:11,4,7,CIN 49,16,20,"Johnny Hekker punts 33 yards, fair catch by Trent Taylor at CIN-16",,
4,14:05,1,10,CIN 16,16,20,Joe Mixon left tackle for 1 yard (tackle by Eric Weddle),,
4,13:16,2,9,CIN 17,16,20,Joe Burrow pass complete short right to Tyler Boyd for 16 yards (tackle by Taylor Rapp),,
4,12:40,1,10,CIN 33,16,20,Joe Mixon up the middle for 1 yard (tackle by A'Shawn Robinson),,
4,12:01,2,9,CIN 34,16,20,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Darious Williams),,
4,11:55,3,9,CIN 34,16,20,"Joe Burrow sacked by Von Miller for -6 yards. Penalty on Isaiah Prince: Unnecessary Roughness / Offense, 14 yards (accepted)",,
4,11:37,4,29,CIN 14,16,20,"Kevin Huber punts 54 yards, returned by Brandon Powell for 3 yards (tackle by Tre Flowers and Mike Thomas)",,
4,11:29,1,10,LAR 35,16,20,Matthew Stafford pass complete short left to Van Jefferson for 7 yards (tackle by Mike Hilton),,
4,10:54,2,3,LAR 42,16,20,Sony Michel right tackle for -1 yards (tackle by Logan Wilson and Mike Hilton),,
4,10:10,3,4,LAR 41,16,20,Matthew Stafford pass incomplete short left intended for Ben Skowronek,,
4,10:04,4,4,LAR 41,16,20,Johnny Hekker punts 43 yards out of bounds,,
4,9:58,1,10,CIN 16,16,20,Joe Mixon up the middle for 12 yards (tackle by Leonard Floyd and Darious Williams),,
4,9:15,1,10,CIN 28,16,20,Joe Mixon left guard for 8 yards (tackle by Ernest Jones and Leonard Floyd),,
4,8:42,2,2,CIN 36,16,20,Joe Mixon left guard for no gain (tackle by Justin Hollins),,
4,8:01,3,2,CIN 36,16,20,Joe Burrow pass complete short left to Chris Evans for 3 yards (tackle by Ernest Jones),,
4,7:30,1,10,CIN 39,16,20,Joe Burrow pass complete short right to Joe Mixon for -3 yards (tackle by Ernest Jones),,
4,6:55,2,13,CIN 36,16,20,Joe Mixon right end for 4 yards (tackle by Darious Williams),,
4,6:22,3,9,CIN 40,16,20,Joe Burrow pass incomplete short left intended for Tyler Boyd,,
4,6:20,4,9,CIN 40,16,20,"Kevin Huber punts 39 yards, fair catch by Brandon Powell at LA-21",,
4,6:13,1,10,LAR 21,16,20,Matthew Stafford pass complete short right to Brycen Hopkins for 9 yards (tackle by Sam Hubbard),,
4,5:49,2,1,LAR 30,16,20,Matthew Stafford pass incomplete short right intended for Ben Skowronek,,
4,5:44,3,1,LAR 30,16,20,Cam Akers left guard for no gain (tackle by Germaine Pratt),,
4,4:54,4,1,LAR 30,16,20,Cooper Kupp right end for 7 yards (tackle by Eli Apple and Jessie Bates),,
4,4:37,1,10,LAR 37,16,20,Matthew Stafford pass incomplete short middle intended for Cam Akers (defended by Logan Wilson),,
4,4:31,2,10,LAR 37,16,20,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Vonn Bell),,
4,4:06,3,2,LAR 45,16,20,Matthew Stafford pass complete short right to Brycen Hopkins for 6 yards (tackle by Vonn Bell),,
4,3:41,1,10,CIN 49,16,20,Matthew Stafford pass complete short right to Cam Akers for 3 yards (tackle by Vonn Bell and Sam Hubbard),,
4,3:07,2,7,CIN 46,16,20,Matthew Stafford pass complete short middle to Cooper Kupp for 22 yards (tackle by Jessie Bates),,
4,2:35,1,10,CIN 24,16,20,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Logan Wilson),,
4,2:02,2,2,CIN 16,16,20,Cam Akers up the middle for 8 yards (tackle by Vonn Bell and Germaine Pratt),,
4,1:55,1,8,CIN 8,16,20,Matthew Stafford pass incomplete short right intended for Van Jefferson,,
4,1:51,2,8,CIN 8,16,20,Matthew Stafford pass incomplete short right intended for Darrell Henderson,,
4,1:47,3,8,CIN 8,16,20,"Matthew Stafford pass incomplete short middle intended for Cooper Kupp. Penalty on Logan Wilson: Defensive Holding, 4 yards (accepted) (no play)",,
4,1:44,1,4,CIN 4,16,20,"Matthew Stafford pass complete short right to Cooper Kupp for no gain, touchdown. Penalty on Rob Havenstein: Offensive Holding, 10 yards (offset) . Penalty on Vonn Bell: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",,
4,1:38,1,1,CIN 4,16,20,"Matthew Stafford pass incomplete intended for Cooper Kupp. Penalty on Eli Apple: Defensive Pass Interference, 3 yards (accepted) (no play)",,
4,1:35,1,1,CIN 1,16,20,Matthew Stafford up the middle for no gain (tackle by Germaine Pratt and Sam Hubbard),,
4,1:29,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:29,2,1,CIN 1,22,20,"Matthew Stafford pass complete short right to Cooper Kupp for 1 yard, touchdown",,
4,1:25,,,CIN 15,23,20,Matt Gay kicks extra point good,,
4,1:25,,,LAR 35,23,20,"Matt Gay kicks off 65 yards, touchback.",,
4,1:25,1,10,CIN 25,23,20,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Nick Scott),,
4,1:19,1,10,CIN 42,23,20,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Eric Weddle),,
4,0:52,2,1,LAR 49,23,20,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,,
4,0:48,3,1,LAR 49,23,20,Samaje Perine right tackle for no gain (tackle by Aaron Donald and Greg Gaines),,
4,0:43,,,,,,Timeout #2 by Cincinnati Bengals,,
4,0:43,4,1,LAR 49,23,20,Joe Burrow pass incomplete short right intended for Samaje Perine,,
4,0:39,1,10,LAR 49,23,20,Matthew Stafford kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
