Unnamed: 0,LAR,CIN
First Downs,17,15
Rush-Yds-TDs,23-43-0,20-79-0
Cmp-Att-Yd-TD-INT,26-41-283-3-2,23-34-269-2-0
Sacked-Yards,2-13,7-43
Net Pass Yards,270,226
Total Yards,313,305
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,2-10,4-31
Third Down Conv.,6-15,3-14
Fourth Down Conv.,1-1,1-3
Time of Possession,30:47,29:13
