Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 67 yards, returned by Chris Carr for 10 yards (tackle by Montell Owens)",0.000,-0.320
1,14:55,1,10,OAK 13,0,0,Dominic Rhodes left end for 1 yard (tackle by Justin Durant and Brian Williams),-0.320,-0.680
1,14:11,2,9,OAK 14,0,0,Josh McCown pass complete short right to Justin Griffith for 8 yards (tackle by Rashean Mathis),-0.680,-0.350
1,13:29,3,1,OAK 22,0,0,Dominic Rhodes up the middle for -1 yards (tackle by Rob Meier),-0.350,-1.960
1,12:55,4,2,OAK 21,0,0,"Shane Lechler punts 46 yards, fair catch by Dennis Northcutt",-1.960,-1.140
1,12:47,1,10,JAX 33,0,0,"Fred Taylor up the middle for 5 yards (tackle by Ricky Brown). Penalty on OAK: Defensive 12 On-field, 5 yards (no play)",1.140,1.870
1,12:16,1,5,JAX 38,0,6,"Fred Taylor up the middle for 62 yards, touchdown",1.870,7.000
1,,,,OAK 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,7,"Josh Scobee kicks off 65 yards, returned by Chris Carr for 10 yards (tackle by Scott Starks)",0.000,-0.220
1,11:57,1,10,OAK 15,0,7,Josh McCown pass complete short left to Jerry Porter for 9 yards (tackle by Sammy Knight),-0.220,0.620
1,11:20,2,1,OAK 24,0,7,Dominic Rhodes right end for 2 yards (tackle by Daryl Smith),0.620,0.670
1,10:50,1,10,OAK 26,0,7,Dominic Rhodes up the middle for 9 yards (tackle by Reggie Nelson and Sammy Knight),0.670,1.350
1,10:17,2,1,OAK 35,0,7,Dominic Rhodes up the middle for 7 yards (tackle by Clint Ingram),1.350,1.730
1,9:35,1,10,OAK 42,0,7,Johnnie Lee Higgins left end for -5 yards (tackle by Rashean Mathis),1.730,0.510
1,9:35,2,15,OAK 37,0,7,"Penalty on Robert Gallery: False Start, 5 yards (no play)",0.510,-0.160
1,8:31,2,20,OAK 32,0,7,Josh McCown pass complete short left to Ronald Curry for 7 yards (tackle by Brian Williams),-0.160,0.100
1,7:50,3,13,OAK 39,0,7,Josh McCown pass complete short right to Dominic Rhodes for 3 yards (tackle by Terry Cousin),0.100,-0.590
1,7:15,4,10,OAK 42,0,7,"Shane Lechler punts 44 yards, returned by Dennis Northcutt for 2 yards (tackle by Chris Johnson)",-0.590,0.140
1,7:03,1,10,JAX 16,0,7,David Garrard pass complete short right to Reggie Williams for 12 yards (tackle by Thomas Howard),-0.140,0.810
1,6:28,1,10,JAX 28,0,7,David Garrard sacked by Derrick Burgess for -8 yards,0.810,-0.820
1,5:51,2,18,JAX 20,0,7,Fred Taylor up the middle for 12 yards (tackle by Hiram Eugene),-0.820,0.100
1,5:09,3,6,JAX 32,0,7,David Garrard pass complete short middle to Maurice Jones-Drew for 43 yards (tackle by Chris Carr),0.100,3.910
1,4:48,1,10,OAK 25,0,7,David Garrard right end for 9 yards (tackle by Fabian Washington),3.910,4.750
1,4:11,2,1,OAK 16,0,7,Maurice Jones-Drew up the middle for 2 yards (tackle by Chris Clemons and Robert W. Thomas),4.750,4.650
1,3:28,1,10,OAK 14,0,13,"Maurice Jones-Drew up the middle for 14 yards, touchdown",4.650,7.000
1,,,,OAK 2,0,14,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,14,"Josh Scobee kicks off 63 yards, returned by Chris Carr for 29 yards (tackle by Lamont Thompson)",0.000,1.330
1,3:15,1,10,OAK 36,0,14,"JaMarcus Russell pass incomplete deep middle intended for Ronald Curry. Penalty on Robert Gallery: Offensive Holding, 10 yards (no play)",1.330,0.670
1,3:09,1,20,OAK 26,0,14,JaMarcus Russell pass complete short right to Johnnie Lee Higgins for 13 yards (tackle by Rashean Mathis),0.670,1.200
1,2:33,2,7,OAK 39,0,14,Dominic Rhodes up the middle for 5 yards (tackle by Brent Hawkins),1.200,1.160
1,1:56,3,2,OAK 44,0,14,JaMarcus Russell pass complete short right to Zach Miller for 14 yards (tackle by Sammy Knight),1.160,2.790
1,1:12,1,10,JAX 42,0,14,"JaMarcus Russell pass incomplete short right intended for Justin Griffith. Penalty on Paul McQuistan: Offensive Holding, 10 yards (no play)",2.790,2.130
1,1:03,1,20,OAK 48,0,14,"JaMarcus Russell pass complete short middle to Zach Miller for 6 yards (tackle by Daryl Smith). Penalty on Derek Landri: Defensive Offside, 5 yards (no play)",2.130,2.460
