Unnamed: 0,OAK,JAX
First Downs,13,26
Rush-Yds-TDs,30-110-0,28-201-3
Cmp-Att-Yd-TD-INT,13-31-129-1-3,16-26-253-4-1
Sacked-Yards,4-24,2-17
Net Pass Yards,105,236
Total Yards,215,437
Fumbles-Lost,3-1,2-1
Turnovers,4,2
Penalties-Yards,11-88,6-42
Third Down Conv.,3-15,7-11
Fourth Down Conv.,1-2,0-0
Time of Possession,32:48,27:12
