Unnamed: 0,NWE,ARI
First Downs,18,19
Rush-Yds-TDs,21-103-2,22-113-1
Cmp-Att-Yd-TD-INT,24-35-235-0-1,28-41-255-0-1
Sacked-Yards,1-10,6-45
Net Pass Yards,225,210
Total Yards,328,323
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,8-80,8-48
Third Down Conv.,3-11,4-14
Fourth Down Conv.,0-0,1-5
Time of Possession,26:29,33:31
