Quarter,Time,Tm,Detail,NWE,ARI
2.0,14:52,Cardinals,Matt Prater 33 yard field goal,0,3
,11:25,Patriots,Kevin Harris 14 yard rush (Nick Folk kick),7,3
,9:35,Cardinals,Matt Prater 32 yard field goal,7,6
,2:59,Cardinals,James Conner 10 yard rush (Matt Prater kick),7,13
,0:00,Patriots,Nick Folk 51 yard field goal,10,13
3.0,10:15,Patriots,Nick Folk 23 yard field goal,13,13
,5:32,Patriots,Raekwon McMillan 23 yard fumble return (Nick Folk kick),20,13
4.0,14:09,Patriots,Pierre Strong 3 yard rush (Nick Folk kick),27,13
