Quarter,Time,Tm,Detail,KAN,SDG
1.0,8:19,Chargers,Nate Kaeding 24 yard field goal,0,3
,3:56,Chargers,LaDainian Tomlinson 5 yard rush (Nate Kaeding kick),0,10
2.0,11:10,Chiefs,Dave Rayner 21 yard field goal,3,10
,6:55,Chargers,Nate Kaeding 51 yard field goal,3,13
,1:20,Chiefs,Dave Rayner 25 yard field goal,6,13
,0:00,Chargers,Nate Kaeding 38 yard field goal,6,16
3.0,5:28,Chiefs,Dave Rayner 41 yard field goal,9,16
,1:50,Chiefs,Tony Gonzalez 22 yard pass from Damon Huard (Dave Rayner kick),16,16
4.0,11:46,Chiefs,Dwayne Bowe 51 yard pass from Damon Huard (Dave Rayner kick),23,16
,7:24,Chiefs,Tyron Brackenridge 50 yard defensive fumble return (Dave Rayner kick),30,16
