Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Dave Rayner kicks off 68 yards, returned by Darren Sproles for 26 yards (tackle by Turk McBride)",0.000,0.810
1,14:55,1,10,SDG 28,0,0,LaDainian Tomlinson left end for 7 yards (tackle by Bernard Pollard),0.810,1.210
1,14:14,2,3,SDG 35,0,0,LaDainian Tomlinson left end for 12 yards (tackle by Jarrad Page),1.210,2.060
1,13:39,1,10,SDG 47,0,0,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",2.060,1.730
1,13:14,1,15,SDG 42,0,0,Philip Rivers pass complete deep left to Antonio Gates for 27 yards (tackle by Donnie Edwards),1.730,3.510
1,12:38,1,10,KAN 31,0,0,LaDainian Tomlinson middle for 2 yards (tackle by Napoleon Harris),3.510,3.240
1,12:00,2,8,KAN 29,0,0,Philip Rivers pass complete short left to Vincent Jackson for 5 yards (tackle by Patrick Surtain),3.240,3.200
1,11:24,3,3,KAN 24,0,0,Philip Rivers pass complete short right to Antonio Gates for 4 yards (tackle by Napoleon Harris),3.200,4.240
1,10:48,1,10,KAN 20,0,0,LaDainian Tomlinson left end for 6 yards (tackle by Patrick Surtain),4.240,4.640
1,10:11,2,4,KAN 14,0,0,LaDainian Tomlinson left tackle for 5 yards (tackle by Alfonso Boone and Napoleon Harris),4.640,5.140
1,9:39,1,9,KAN 9,0,0,LaDainian Tomlinson middle for 5 yards (tackle by Napoleon Harris and Jarrad Page),5.140,5.340
1,9:03,2,4,KAN 4,0,0,LaDainian Tomlinson left end for -2 yards (tackle by Bernard Pollard),5.340,4.040
1,8:28,3,6,KAN 6,0,0,Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Jared Allen),4.040,2.990
1,8:21,4,6,KAN 6,0,3,Nate Kaeding 24 yard field goal good,2.990,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 70 yards, touchback",0.000,0.280
1,8:19,1,10,KAN 20,0,3,Damon Huard pass incomplete short middle intended for Tony Gonzalez (defended by Carlos Polk),0.280,-0.270
1,8:15,2,10,KAN 20,0,3,Larry Johnson right tackle for 1 yard (tackle by Luis Castillo),-0.270,-0.820
1,7:34,3,9,KAN 21,0,3,"Penalty on Kyle Turley: False Start, 5 yards (no play)",-0.820,-1.690
1,7:13,3,14,KAN 16,0,3,Damon Huard pass incomplete short left intended for Jeff Webb (defended by Cletis Gordon),-1.690,-2.390
1,7:09,4,14,KAN 16,0,3,"Dustin Colquitt punts 47 yards, returned by Darren Sproles for 8 yards (tackle by Napoleon Harris)",-2.390,-1.930
1,6:58,1,10,SDG 45,0,3,Philip Rivers pass complete short left to Lorenzo Neal for -1 yards (tackle by Donnie Edwards),1.930,1.250
1,6:12,2,11,SDG 44,0,3,Philip Rivers pass complete short left to Vincent Jackson for 39 yards (tackle by Napoleon Harris),1.250,4.440
1,5:23,1,10,KAN 17,0,3,Philip Rivers pass complete short right to Craig Davis for 8 yards (tackle by Jarrad Page),4.440,5.290
1,4:44,2,2,KAN 9,0,3,LaDainian Tomlinson left end for 4 yards (tackle by Jarrad Page),5.290,6.060
1,4:00,1,5,KAN 5,0,9,"LaDainian Tomlinson left tackle for 5 yards, touchdown",6.060,7.000
1,,,,KAN 2,0,10,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,10,"Nate Kaeding kicks off 69 yards, returned by Eddie Drummond for 17 yards (tackle by Eric Weddle)",0.000,0.040
1,3:52,1,10,KAN 18,0,10,Damon Huard pass complete short middle to Dwayne Bowe for 22 yards (tackle by Drayton Florence),0.040,1.600
1,3:14,1,10,KAN 40,0,10,Larry Johnson middle for 5 yards (tackle by Carlos Polk and Stephen Cooper),1.600,1.730
1,2:33,2,5,KAN 45,0,10,"Penalty on Tony Gonzalez: False Start, 5 yards (no play)",1.730,1.050
1,2:09,2,10,KAN 40,0,10,"Damon Huard sacked by Shaun Phillips for -12 yards. Damon Huard fumbles (forced by Shaun Phillips), recovered by Kyle Turley at KAN-28",1.050,-1.220
1,1:23,3,22,KAN 28,0,10,Damon Huard pass complete short right to Tony Gonzalez for 11 yards (tackle by Eric Weddle and Stephen Cooper),-1.220,-0.780
1,0:47,4,11,KAN 39,0,10,"Dustin Colquitt punts 48 yards, returned by Darren Sproles for 17 yards (tackle by Jarrad Page). Penalty on Tim Dobbins: Offensive Holding, 6 yards",-0.780,0.380
1,0:31,1,10,SDG 7,0,10,Philip Rivers pass incomplete short left intended for Antonio Gates,-0.380,-0.780
1,0:27,2,10,SDG 7,0,10,LaDainian Tomlinson left tackle for 15 yards (tackle by Greg Wesley),-0.780,0.410
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 22,0,10,"Michael Turner middle for no gain (tackle by Jarrad Page). Michael Turner fumbles (forced by Jarrad Page), recovered by Jarrad Page at SDG-22",0.410,-4.110
2,14:51,1,10,SDG 22,0,10,Larry Johnson middle for 4 yards (tackle by Luis Castillo and Jamal Williams),4.110,4.130
2,14:15,2,6,SDG 18,0,10,Larry Johnson middle for 4 yards (tackle by Stephen Cooper),4.130,4.150
2,13:39,3,2,SDG 14,0,10,Larry Johnson left tackle for 8 yards (tackle by Stephen Cooper and Marlon McCree),4.150,5.830
2,13:01,1,6,SDG 6,0,10,Larry Johnson middle for 2 yards (tackle by Igor Olshansky),5.830,5.340
2,12:25,2,4,SDG 4,0,10,Larry Johnson right end for 3 yards (tackle by Marlon McCree and Luis Castillo),5.340,5.170
2,11:50,3,1,SDG 1,0,10,Larry Johnson right tackle for -2 yards (tackle by Brandon Siler and Shawne Merriman),5.170,3.040
2,11:11,4,3,SDG 3,3,10,Dave Rayner 21 yard field goal good,3.040,3.000
2,,,,KAN 30,3,10,"Dave Rayner kicks off 70 yards, touchback",0.000,0.280
2,11:10,1,10,SDG 20,3,10,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson (defended by Jared Allen),0.280,-0.270
2,11:06,2,10,SDG 20,3,10,LaDainian Tomlinson middle for 11 yards (tackle by Greg Wesley),-0.270,1.000
2,10:25,1,10,SDG 31,3,10,Craig Davis left end for 4 yards (tackle by Derrick Johnson and Napoleon Harris),1.000,1.000
2,9:43,2,6,SDG 35,3,10,Philip Rivers pass incomplete,1.000,0.300
2,9:35,3,6,SDG 35,3,10,Philip Rivers pass incomplete (defended by Alfonso Boone),0.300,-1.040
2,9:22,4,6,SDG 35,3,10,Mike Scifres punts 42 yards,-1.040,-0.480
2,9:22,1,10,KAN 23,3,10,Damon Huard pass incomplete short middle intended for Kris Wilson is intercepted by Marlon McCree at KAN-35 and returned for -1 yards. Penalty on Chris Terry: Illegal Formation (Declined),0.480,-3.180
2,9:15,1,10,KAN 36,3,10,LaDainian Tomlinson middle for 5 yards (tackle by Alfonso Boone and Bernard Pollard),3.180,3.310
2,8:35,2,5,KAN 31,3,10,LaDainian Tomlinson left end for 4 yards (tackle by Jared Allen and Napoleon Harris),3.310,3.140
2,7:59,3,1,KAN 27,3,10,Lorenzo Neal middle for -1 yards (tackle by Ron Edwards),3.140,1.700
2,7:15,4,2,KAN 28,3,10,"Penalty on Carlos Polk: False Start, 5 yards (no play)",1.700,1.150
2,7:00,4,7,KAN 33,3,13,Nate Kaeding 51 yard field goal good,1.150,3.000
2,,,,SDG 30,3,13,"Nate Kaeding kicks off 72 yards, returned by Eddie Drummond for 17 yards (tackle by Steve Gregory)",0.000,-0.220
2,6:52,1,10,KAN 15,3,13,Larry Johnson right end for 6 yards (tackle by Stephen Cooper),-0.220,0.210
2,6:09,2,4,KAN 21,3,13,Larry Johnson middle for 7 yards (tackle by Carlos Polk and Ryon Bingham),0.210,0.810
2,5:30,1,10,KAN 28,3,13,Damon Huard pass complete short left to Kris Wilson for 24 yards (tackle by Marlon McCree and Shaun Phillips),0.810,2.390
2,4:53,1,10,SDG 48,3,13,Damon Huard pass incomplete short left intended for Tony Gonzalez,2.390,1.850
2,4:46,2,10,SDG 48,3,13,Damon Huard pass incomplete short right intended for Kris Wilson,1.850,1.160
