Unnamed: 0,KAN,SDG
First Downs,17,19
Rush-Yds-TDs,28-126-0,24-133-1
Cmp-Att-Yd-TD-INT,17-29-284-2-2,21-42-211-0-2
Sacked-Yards,2-20,1-11
Net Pass Yards,264,200
Total Yards,390,333
Fumbles-Lost,1-0,2-2
Turnovers,2,4
Penalties-Yards,4-28,4-21
Third Down Conv.,4-11,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,30:05,29:55
