Unnamed: 0,IND,HOU
First Downs,26,9
Rush-Yds-TDs,48-238-3,19-84-0
Cmp-Att-Yd-TD-INT,16-22-158-1-0,11-27-94-0-1
Sacked-Yards,1-7,4-37
Net Pass Yards,151,57
Total Yards,389,141
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,5-25,4-25
Third Down Conv.,7-13,3-12
Fourth Down Conv.,1-1,0-3
Time of Possession,41:35,18:25
