Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Shaun Suisham kicks off 62 yards, returned by Rock Cartwright for 14 yards (tackle by Sam Hurd)",0.000,-0.410
1,14:56,1,10,WAS 22,0,0,Mark Brunell pass complete short right to Ladell Betts for 6 yards (tackle by Greg Ellis),0.410,0.680
1,14:28,2,4,WAS 28,0,0,Ladell Betts left end for no gain (tackle by DeMarcus Ware),0.680,-0.030
1,13:46,3,4,WAS 28,0,0,Mark Brunell pass incomplete intended for Ladell Betts,-0.030,-1.500
1,13:42,4,4,WAS 28,0,0,"Derrick Frost punts 50 yards, returned by Patrick Crayton for 11 yards (tackle by Adam Archuleta)",-1.500,-1.140
1,13:31,1,10,DAL 33,0,0,"Drew Bledsoe pass complete short left to Terry Glenn for 3 yards (tackle by Carlos Rogers and Adam Archuleta). Penalty on Terrell Owens: Illegal Crackback, 15 yards",1.140,0.340
1,13:10,1,22,DAL 21,0,0,Drew Bledsoe pass complete short right to Anthony Fasano for 13 yards (tackle by Marcus Washington),0.340,0.730
1,12:48,2,9,DAL 34,0,0,Drew Bledsoe pass incomplete short right intended for Terrell Owens,0.730,0.040
1,12:44,3,9,DAL 34,0,0,"Drew Bledsoe pass incomplete short middle intended for Terry Glenn. Penalty on Mike Rumph: Defensive Holding, 5 yards (no play)",0.040,1.530
1,12:38,1,10,DAL 39,0,0,"Tyson Thompson left end for no gain (tackle by Adam Archuleta). Penalty on Marc Colombo: Tripping, 5 yards",1.530,1.200
1,12:13,1,15,DAL 34,0,0,Drew Bledsoe pass incomplete short middle intended for Anthony Fasano,1.200,0.310
1,12:10,2,15,DAL 34,0,0,Drew Bledsoe pass complete short right to Terry Glenn for 8 yards (tackle by Warrick Holdman),0.310,0.700
1,11:28,3,7,DAL 42,0,0,Drew Bledsoe pass complete short middle to Anthony Fasano for 12 yards (tackle by Andre Carter). Penalty on Andre Carter: Defensive Holding (Declined),0.700,2.520
1,11:01,1,10,WAS 46,0,0,Julius Jones right end for 9 yards (tackle by Lemar Marshall),2.520,3.190
1,10:35,2,1,WAS 37,0,0,Julius Jones left tackle for 7 yards (tackle by Marcus Washington and Sean Taylor),3.190,3.580
1,9:53,1,10,WAS 30,0,0,"Drew Bledsoe pass complete short middle to Terrell Owens for 12 yards (tackle by Adam Archuleta). Penalty on Cornelius Griffin: Unnecessary Roughness, 9 yards",3.580,5.140
1,9:29,1,9,WAS 9,0,0,Julius Jones middle for 3 yards (tackle by Marcus Washington),5.140,4.950
1,8:47,2,6,WAS 6,0,0,Drew Bledsoe pass complete short left to Terrell Owens for -2 yards (tackle by Carlos Rogers),4.950,3.580
1,8:09,3,8,WAS 8,0,0,Drew Bledsoe pass incomplete short middle intended for Terrell Owens (defended by Mike Rumph),3.580,2.950
1,7:59,4,8,WAS 8,0,3,Mike Vanderjagt 26 yard field goal good,2.950,3.000
1,,,,DAL 30,0,3,"Shaun Suisham kicks off 68 yards, returned by Rock Cartwright for 19 yards (tackle by Roy Williams). Penalty on James Thrash: Offensive Holding, 10 yards",0.000,0.370
1,7:51,1,10,WAS 11,0,3,Ladell Betts right tackle for 6 yards (tackle by Marcus Spears),-0.370,-0.160
