Unnamed: 0,WAS,DAL
First Downs,16,22
Rush-Yds-TDs,20-93-0,31-138-1
Cmp-Att-Yd-TD-INT,18-32-197-0-1,19-38-237-2-0
Sacked-Yards,6-45,1-8
Net Pass Yards,152,229
Total Yards,245,367
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,11-117,9-90
Third Down Conv.,2-14,6-16
Fourth Down Conv.,0-1,1-1
Time of Possession,28:05,31:55
