Quarter,Time,Tm,Detail,IND,CIN
1.0,9:19,Bengals,A.J. Green 11 yard pass from Andy Dalton (Mike Nugent kick),0,7
2.0,11:14,Colts,Donald Brown 18 yard rush (Adam Vinatieri kick),7,7
,0:00,Bengals,Mike Nugent 20 yard field goal,7,10
3.0,10:27,Bengals,Cedric Benson 1 yard rush (Mike Nugent kick),7,17
,2:20,Bengals,Mike Nugent 43 yard field goal,7,20
4.0,14:56,Colts,Adam Vinatieri 46 yard field goal,10,20
,9:33,Colts,Dallas Clark 1 yard pass from Curtis Painter (Adam Vinatieri kick),17,20
,2:22,Bengals,Carlos Dunlap 35 yard defensive fumble return (Mike Nugent kick),17,27
