Unnamed: 0,IND,CIN
First Downs,18,17
Rush-Yds-TDs,23-94-1,31-94-1
Cmp-Att-Yd-TD-INT,23-34-188-1-1,25-32-264-1-0
Sacked-Yards,1-9,0-0
Net Pass Yards,179,264
Total Yards,273,358
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,2-11,11-111
Third Down Conv.,6-12,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:24,33:36
