Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 68 yards, returned by Brandon Tate for 24 yards (tackle by Terrence Johnson)",0.000,0.340
1,14:56,1,10,CIN 21,0,0,Cedric Benson left guard for 4 yards (tackle by Antoine Bethea and Fili Moala),0.340,0.340
1,14:18,2,6,CIN 25,0,0,Cedric Benson right tackle for 5 yards (tackle by Pat Angerer),0.340,0.300
1,13:38,3,1,CIN 30,0,0,Cedric Benson right tackle for -1 yards (tackle by Kavell Conner and Pat Angerer),0.300,-1.440
1,13:02,4,2,CIN 29,0,0,Kevin Huber punts 48 yards,-1.440,-0.480
1,12:53,1,10,IND 23,0,0,Delone Carter right end for 9 yards (tackle by Chris Crocker),0.480,1.150
1,12:16,2,1,IND 32,0,0,Delone Carter right guard for 3 yards (tackle by Dan Skuta and Robert Geathers),1.150,1.270
1,11:42,1,10,IND 35,0,0,"Curtis Painter pass complete short right to Dallas Clark for 6 yards (tackle by Nate Clements). Dallas Clark fumbles (forced by Nate Clements), recovered by Micah Johnson at IND-44 (tackle by Joe Reitz)",1.270,-2.650
1,11:35,1,10,IND 44,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 13 yards (tackle by Philip Wheeler),2.650,3.510
1,10:52,1,10,IND 31,0,0,Andy Dalton pass incomplete short left intended for Jerome Simpson (defended by Jerraud Powers),3.510,2.970
1,10:47,2,10,IND 31,0,0,Andy Dalton pass complete short left to Andre Caldwell for 14 yards (tackle by Pat Angerer),2.970,4.440
1,10:09,1,10,IND 17,0,0,Andy Dalton pass complete short left to Jerome Simpson for 6 yards (tackle by Kavell Conner),4.440,4.890
1,9:29,2,4,IND 11,0,0,Andy Dalton pass incomplete short right intended for Jermaine Gresham,4.890,4.100
1,9:25,3,4,IND 11,0,6,"Andy Dalton pass complete short right to A.J. Green for 11 yards, touchdown",4.100,7.000
1,,,,,0,6,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",0.000,0.000
1,,,,IND 2,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,,,,CIN 35,0,7,"Mike Nugent kicks off 64 yards, returned by Joe Lefeged for 6 yards (tackle by Cedric Peerman)",0.000,-0.380
1,9:14,1,10,IND 7,0,7,Delone Carter right tackle for 4 yards (tackle by Frostee Rucker and Robert Geathers),-0.380,-0.490
1,8:41,2,6,IND 11,0,7,Delone Carter left guard for 5 yards (tackle by Thomas Howard and Gibril Wilson),-0.490,-0.370
1,7:58,3,1,IND 16,0,7,Delone Carter left guard for 5 yards (tackle by Nate Clements),-0.370,0.340
1,7:14,1,10,IND 21,0,7,Curtis Painter pass complete short left to Reggie Wayne for 9 yards (tackle by Leon Hall),0.340,1.020
1,6:32,2,1,IND 30,0,7,Delone Carter left guard for 4 yards (tackle by Dan Skuta and Pat Sims),1.020,1.200
1,6:01,1,10,IND 34,0,7,Curtis Painter pass complete short left to Reggie Wayne for 5 yards (tackle by Leon Hall),1.200,1.330
1,5:40,2,5,IND 39,0,7,Curtis Painter pass incomplete short left intended for Dallas Clark (defended by Manny Lawson),1.330,0.630
1,5:35,3,5,IND 39,0,7,Curtis Painter up the middle for 12 yards (tackle by Leon Hall),0.630,2.320
1,4:54,1,10,CIN 49,0,7,Delone Carter up the middle for -4 yards (tackle by Geno Atkins),2.320,1.240
1,4:11,2,14,IND 47,0,7,Delone Carter right end for no gain (tackle by Jonathan Fanene),1.240,0.560
1,3:30,3,14,IND 47,0,7,Curtis Painter pass complete short left to Donald Brown for 8 yards (tackle by Reggie Nelson and Thomas Howard),0.560,0.270
1,2:46,4,6,CIN 45,0,7,"Pat McAfee punts 33 yards, fair catch by Nate Clements",0.270,0.350
1,2:39,1,10,CIN 12,0,7,Bernard Scott right guard for 2 yards (tackle by Philip Wheeler),-0.350,-0.610
1,2:02,2,8,CIN 14,0,7,Bernard Scott left guard for 1 yard (tackle by Antoine Bethea and Daniel Muir),-0.610,-1.070
1,1:20,3,7,CIN 15,0,7,"Andy Dalton pass complete short middle to Andre Caldwell for 16 yards (tackle by Joe Lefeged and Terrence Johnson). Penalty on Andre Caldwell: Offensive Pass Interference, 7 yards (no play)",-1.070,-1.890
1,0:56,3,14,CIN 8,0,7,Andy Dalton pass complete short middle to Andrew Hawkins for 7 yards (tackle by Antoine Bethea),-1.890,-2.440
1,0:33,4,7,CIN 15,0,7,"Kevin Huber punts 53 yards, returned by Joe Lefeged for 2 yards (tackle by Vincent Rey)",-2.440,-1.200
1,0:22,1,10,IND 34,0,7,Curtis Painter pass complete short right to Dallas Clark for 8 yards (tackle by Nate Clements),1.200,1.740
Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,IND 42,0,7,Donald Brown left end for 1 yard (tackle by Gibril Wilson),1.740,1.160
2,14:34,3,1,IND 43,0,7,Delone Carter left guard for 3 yards (tackle by Pat Sims and Domata Peko),1.160,1.990
2,13:53,1,10,IND 46,0,7,Curtis Painter pass complete short middle to Pierre Garcon for 11 yards (tackle by Nate Clements),1.990,2.720
2,13:16,1,10,CIN 43,0,7,Curtis Painter pass complete short right to Pierre Garcon for 9 yards (tackle by Nate Clements),2.720,3.390
2,12:43,2,1,CIN 34,0,7,Curtis Painter pass complete short right to Pierre Garcon for 7 yards (tackle by Manny Lawson),3.390,3.780
2,12:05,1,10,CIN 27,0,7,Donald Brown right guard for 9 yards (tackle by Pat Sims),3.780,4.530
2,11:22,2,1,CIN 18,6,7,"Donald Brown right guard for 18 yards, touchdown",4.530,7.000
2,,,,CIN 2,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 35,7,7,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
2,11:14,1,10,CIN 20,7,7,Andy Dalton pass incomplete short middle intended for Jermaine Gresham,0.280,-0.270
2,11:10,2,10,CIN 20,7,7,Andy Dalton pass complete short middle to Jerome Simpson for 8 yards (tackle by Ernie Sims and Kavell Conner),-0.270,0.100
2,10:33,3,2,CIN 28,7,7,Brian Leonard right tackle for 6 yards (tackle by Ernie Sims),0.100,1.200
2,9:59,1,10,CIN 34,7,7,Cedric Benson left guard for 9 yards (tackle by Daniel Muir),1.200,1.870
2,9:27,2,1,CIN 43,7,7,Cedric Benson left guard for 3 yards (tackle by Jamaal Anderson),1.870,1.990
2,8:55,1,10,CIN 46,7,7,Andy Dalton pass complete short right to Donald Lee for 2 yards (tackle by Pat Angerer),1.990,1.720
2,8:16,2,8,CIN 48,7,7,Andy Dalton pass incomplete short middle intended for Jerome Simpson,1.720,1.030
2,8:10,3,8,CIN 48,7,7,Andy Dalton pass complete short middle to Andre Caldwell for 7 yards (tackle by Terrence Johnson),1.030,0.270
2,7:34,4,1,IND 45,7,7,"Kevin Huber punts 28 yards, fair catch by Blair White",0.270,0.060
2,7:27,1,10,IND 17,7,7,Delone Carter right guard for 5 yards (tackle by Robert Geathers),-0.060,0.210
2,6:43,2,5,IND 22,7,7,Curtis Painter pass incomplete short left intended for Reggie Wayne (defended by Leon Hall),0.210,-0.620
2,6:39,,,,7,7,Timeout #1 by Cincinnati Bengals,0.000,-0.620
2,6:39,3,5,IND 22,7,7,Curtis Painter pass complete short right to Pierre Garcon for -2 yards (tackle by Reggie Nelson),-0.620,-2.030
2,6:11,4,7,IND 20,7,7,Pat McAfee punts 54 yards,-2.030,-0.670
2,5:56,1,10,CIN 26,7,7,Andy Dalton pass complete short middle to Jerome Simpson for 18 yards (tackle by Jacob Lacey),0.670,1.860
2,5:21,1,10,CIN 44,7,7,Andy Dalton pass complete short right to Jermaine Gresham for 2 yards (tackle by Jacob Lacey),1.860,1.590
2,4:47,2,8,CIN 46,7,7,Cedric Benson left end for 4 yards (tackle by Ricardo Mathews),1.590,1.420
2,4:08,3,4,,7,7,Andy Dalton pass complete short right to A.J. Green for 10 yards (tackle by Antoine Bethea and Jacob Lacey),1.420,2.920
2,3:42,1,10,IND 40,7,7,Cedric Benson left guard for no gain (tackle by Pat Angerer),2.920,2.370
2,3:04,2,10,IND 40,7,7,Andy Dalton pass complete short left to Jermaine Gresham for 3 yards (tackle by Jerraud Powers),2.370,2.080
2,2:19,3,7,IND 37,7,7,Andy Dalton pass complete short left to Jerome Simpson for 9 yards (tackle by Jerraud Powers). Penalty on Robert Mathis: Defensive Offside (Declined),2.080,3.710
2,2:00,1,10,IND 28,7,7,"Cedric Benson right tackle for 11 yards (tackle by Antoine Bethea). Penalty on A.J. Green: Offensive Holding, 10 yards (no play)",3.710,3.050
2,1:54,1,20,IND 38,7,7,Andy Dalton pass complete short left to Jerome Simpson for 28 yards (tackle by Jerraud Powers),3.050,4.910
2,1:15,1,10,IND 10,7,7,Andy Dalton pass complete short left to A.J. Green for 4 yards (tackle by David Caldwell),4.910,4.950
2,0:38,2,6,IND 6,7,7,Cedric Benson left tackle for 4 yards (tackle by Jerraud Powers and Antoine Bethea),4.950,4.950
2,0:14,,,,7,7,Timeout #2 by Cincinnati Bengals,0.000,4.950
2,0:14,3,2,IND 2,7,7,Cedric Benson left tackle for no gain (tackle by Joe Lefeged),4.950,3.250
2,0:03,,,,7,7,Timeout #3 by Cincinnati Bengals,0.000,3.250
2,0:03,4,2,IND 2,7,10,Mike Nugent 20 yard field goal good,3.250,3.000
Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,7,10,"Mike Nugent kicks off 71 yards, touchback",0.000,0.280
3,15:00,1,10,IND 20,7,10,Delone Carter left guard for 5 yards (tackle by Leon Hall),0.280,0.410
3,14:26,2,5,IND 25,7,10,Delone Carter left guard for 1 yard (tackle by Dan Skuta and Chris Crocker),0.410,-0.160
3,13:43,3,4,IND 26,7,10,Curtis Painter pass incomplete short middle intended for Austin Collie (defended by Nate Clements),-0.160,-1.630
3,13:38,4,4,IND 26,7,10,"Pat McAfee punts 59 yards, returned by Brandon Tate for 33 yards (tackle by Pat McAfee)",-1.630,-2.130
3,13:26,1,10,CIN 48,7,10,Cedric Benson right end for 5 yards (tackle by Pat Angerer),2.130,2.260
3,12:56,2,5,IND 47,7,10,Andy Dalton pass complete deep right to Jerome Simpson for 32 yards (tackle by Jacob Lacey),2.260,4.580
3,12:28,1,10,IND 15,7,10,Andy Dalton pass complete short right to Cedric Benson for 5 yards (tackle by Kavell Conner),4.580,4.840
3,11:56,2,5,IND 10,7,10,Cedric Benson left guard for no gain (tackle by Daniel Muir),4.840,4.000
