Quarter,Time,Tm,Detail,CIN,NWE
1.0,12:24,Bengals,Tee Higgins 9 yard pass from Joe Burrow (Evan McPherson kick failed),6,0
,5:16,Bengals,Trenton Irwin 23 yard pass from Joe Burrow (run failed),12,0
2.0,14:51,Bengals,Evan McPherson 28 yard field goal,15,0
,0:14,Bengals,Trenton Irwin 4 yard pass from Joe Burrow (Evan McPherson kick),22,0
3.0,3:51,Patriots,Marcus Jones 69 yard interception return (Nick Folk kick failed),22,6
4.0,12:58,Patriots,Kendrick Bourne 5 yard pass from Mac Jones (pass failed),22,12
,6:02,Patriots,Jakobi Meyers 48 yard pass from Mac Jones (Nick Folk kick failed),22,18
