Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
1,7:22,3,5,MIA 34,0,7,Jake Delhomme pass incomplete intended for Ricky Proehl,2.410,1.070
1,7:16,4,5,MIA 34,3,7,John Kasay 52 yard field goal good,1.070,3.000
1,,,,CAR 30,3,7,"Jason Baker kicks off 70 yards, returned by Wes Welker for 27 yards (tackle by Thomas Davis)",0.000,0.740
1,7:05,1,10,MIA 27,3,7,Gus Frerotte pass complete to Marty Booker for 3 yards (tackle by Dan Morgan),0.740,0.600
1,6:42,2,7,MIA 30,3,7,"Ronnie Brown right end for 1 yard (tackle by Ricky Manning). Penalty on Seth McKinney: Offensive Holding, 10 yards (no play)",0.600,-0.750
1,6:25,2,17,MIA 20,3,7,Gus Frerotte pass complete to Ronnie Brown for 1 yard (tackle by Jordan Carstens and Julius Peppers),-0.750,-1.290
1,5:45,3,16,MIA 21,3,7,Gus Frerotte pass complete to Sammy Morris for 18 yards (tackle by Kindal Moorehead),-1.290,1.530
1,5:09,1,10,MIA 39,3,7,Gus Frerotte pass incomplete intended for Marty Booker,1.530,0.990
1,5:01,2,10,MIA 39,3,7,"Ronnie Brown left guard for 6 yards (tackle by Brandon Short). Penalty on Al Wallace: Defensive Offside, 5 yards (no play)",0.990,1.660
1,4:47,2,5,MIA 44,3,7,Gus Frerotte pass complete to Chris Chambers for 7 yards (tackle by Chris Gamble),1.660,2.320
1,4:27,1,10,CAR 49,3,7,Ronnie Brown up the middle for no gain (tackle by Vinny Ciurciu and Chris Draft),2.320,1.780
1,3:45,2,10,CAR 49,3,7,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Ricky Manning),1.780,1.090
1,3:41,3,10,CAR 49,3,7,Gus Frerotte pass incomplete intended for Randy McMichael,1.090,0.000
1,3:36,4,10,CAR 49,3,7,"Donnie Jones punts 31 yards, fair catch by Steve Smith",0.000,-0.040
1,3:27,1,10,CAR 18,3,7,Stephen Davis right guard for 3 yards (tackle by Zach Thomas),0.040,0.010
1,2:48,2,7,CAR 21,3,7,Stephen Davis left guard for 3 yards (tackle by Jason Taylor),0.010,-0.400
1,2:04,3,4,CAR 24,3,7,Jake Delhomme pass incomplete intended for Kris Mangum (defended by Zach Thomas),-0.400,-1.770
1,1:58,4,4,CAR 24,3,7,"Jason Baker punts 39 yards, fair catch by Wes Welker",-1.770,-1.400
1,1:50,1,10,MIA 37,3,7,Ronnie Brown right tackle for -2 yards (tackle by Dan Morgan),1.400,0.590
1,1:18,2,12,MIA 35,3,7,Gus Frerotte pass incomplete intended for Marty Booker (defended by Mike Minter),0.590,-0.100
1,1:11,3,12,MIA 35,3,7,Gus Frerotte pass incomplete intended for Wes Welker,-0.100,-1.040
1,1:06,4,12,MIA 35,3,7,"Donnie Jones punts 41 yards, muffed catch by Steve Smith, recovered by Travares Tillman and returned for no gain",-1.040,4.510
1,0:55,1,10,CAR 16,3,7,"Penalty on Seth McKinney: False Start, 5 yards (no play)",4.510,4.170
1,0:55,1,15,CAR 21,3,7,Ronnie Brown right end for 3 yards (tackle by Brandon Short and Marlon McCree),4.170,3.640
1,0:17,2,12,CAR 18,3,13,"Gus Frerotte pass complete to Randy McMichael for 18 yards, touchdown",3.640,7.000
1,,,,CAR 2,3,14,Olindo Mare kicks extra point good,0.000,0.000
1,,,,MIA 30,3,14,"Olindo Mare kicks off 65 yards, returned by Rod Smart for 18 yards (tackle by Yeremiah Bell)",0.000,0.480
1,0:04,1,10,CAR 23,3,14,Jake Delhomme pass complete to Steve Smith for 17 yards (tackle by Lance Schulters),0.480,1.600
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 40,3,14,"Jake Delhomme sacked by Jason Taylor for -5 yards. Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",1.600,2.330
2,15:00,1,5,CAR 45,3,14,DeShaun Foster up the middle for 1 yard (tackle by Jason Taylor),2.330,1.860
2,14:22,2,4,CAR 46,3,14,Steve Smith for 6 yards,1.860,2.390
2,13:55,1,10,MIA 48,3,14,Jake Delhomme pass complete to Steve Smith for 6 yards (tackle by Travis Daniels),2.390,2.660
2,13:15,2,4,MIA 42,3,14,Jake Delhomme sacked by Kevin Carter for -7 yards,2.660,1.030
2,12:37,3,11,MIA 49,3,14,Jake Delhomme pass incomplete intended for Steve Smith,1.030,0.000
2,12:32,4,11,MIA 49,3,14,"Jason Baker punts 41 yards, fair catch by Wes Welker",0.000,0.380
2,12:23,1,10,MIA 8,3,14,"Penalty on Rex Hadnot: False Start, 4 yards (no play)",-0.380,-0.530
2,12:23,1,14,MIA 4,3,14,"Ronnie Brown up the middle for 6 yards (tackle by Vinny Ciurciu). Penalty on Brentson Buckner: Defensive Offside, 5 yards (no play)",-0.530,-0.340
2,12:07,1,9,MIA 9,3,14,Gus Frerotte pass incomplete intended for Ronnie Brown,-0.340,-0.710
2,12:01,2,9,MIA 9,3,14,Ronnie Brown left tackle for 2 yards (tackle by Julius Peppers). Penalty on Wes Welker: Illegal Crackback (Declined),-0.710,-1.070
2,11:40,3,7,MIA 11,3,14,Gus Frerotte pass incomplete intended for Chris Chambers,-1.070,-2.490
2,11:33,4,7,MIA 11,3,14,Donnie Jones punts 45 yards,-2.490,-1.860
2,11:24,1,10,CAR 44,3,14,"Stephen Davis right end for no gain (tackle by Zach Thomas and Vonnie Holliday). Stephen Davis fumbles (forced by Zach Thomas), recovered by Brad Hoover at CAR-44",1.860,1.320
2,10:37,2,10,CAR 44,3,14,Jake Delhomme pass complete to Ricky Proehl for 19 yards (tackle by Reggie Howard),1.320,3.120
2,9:55,1,10,MIA 37,3,14,"Jake Delhomme pass incomplete intended for Keary Colbert. Penalty on Sam Madison: Defensive Holding, 5 yards (no play)",3.120,3.450
2,9:49,1,10,MIA 32,3,14,DeShaun Foster right guard for 2 yards (tackle by Junior Seau),3.450,3.170
2,9:03,2,8,MIA 30,3,14,"DeShaun Foster left end for no gain (tackle by Junior Seau). Penalty on Steve Smith: Offensive Holding, 10 yards (no play)",3.170,1.820
2,8:39,2,18,MIA 40,3,14,Jake Delhomme pass complete to DeShaun Foster for 33 yards (tackle by Tebucky Jones),1.820,5.600
2,8:07,1,7,MIA 7,3,14,Jake Delhomme pass complete to Stephen Davis for 5 yards (tackle by Travis Daniels),5.600,5.720
2,7:36,2,2,MIA 2,3,14,"Jake Delhomme sacked by Tebucky Jones for -15 yards. Penalty on Tebucky Jones: Face Mask (15 Yards), 15 yards",5.720,6.740
2,7:18,1,2,MIA 2,3,14,Stephen Davis right tackle for 1 yard (tackle by Junior Seau and Jason Taylor),6.740,5.910
2,6:35,2,1,MIA 1,3,14,Stephen Davis up the middle for no gain (tackle by Zach Thomas),5.910,5.170
2,5:51,3,1,MIA 1,9,14,"Jake Delhomme pass complete to Steve Smith for 1 yard, touchdown",5.170,7.000
2,,,,MIA 2,10,14,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,10,14,Jason Baker kicks off 69 yards,0.000,1.600
2,5:44,1,10,MIA 40,10,14,Wes Welker left end for 5 yards (tackle by Dante Wesley),1.600,1.730
2,5:32,2,5,MIA 45,10,14,Gus Frerotte pass incomplete intended for Marty Booker,1.730,1.030
2,5:26,3,5,MIA 45,10,14,Gus Frerotte pass complete to Marty Booker for 12 yards (tackle by Marlon McCree),1.030,2.720
2,4:51,1,10,CAR 43,10,14,Ronnie Brown up the middle for 1 yard,2.720,2.310
2,4:22,2,9,CAR 42,10,20,"Gus Frerotte pass complete to Chris Chambers for 42 yards, touchdown",2.310,7.000
,,,,,,,"MIA challenged the ruling, and the original play was overturned.",,
2,3:39,,,,10,20,Timeout #1 by Miami Dolphins,0.000,0.000
2,,,,CAR 2,10,21,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,10,21,"Olindo Mare kicks off 73 yards, touchback",0.000,0.280
2,3:39,1,10,CAR 20,10,21,Jake Delhomme pass incomplete intended for Stephen Davis (defended by Jason Taylor),0.280,-0.270
2,3:34,2,10,CAR 20,10,21,Jake Delhomme pass complete to DeShaun Foster for 18 yards,-0.270,1.470
2,3:04,1,10,CAR 38,10,21,Jake Delhomme pass incomplete intended for Steve Smith,1.470,0.920
2,2:58,2,10,CAR 38,10,21,Jake Delhomme pass complete to Steve Smith for 18 yards (tackle by Travares Tillman),0.920,2.650
2,2:15,1,10,MIA 44,10,21,Jake Delhomme pass complete to Kris Mangum for 23 yards (tackle by Sam Madison),2.650,4.170
2,2:00,1,10,MIA 21,10,21,Jake Delhomme pass incomplete intended for Stephen Davis,4.170,3.630
2,1:55,2,10,MIA 21,10,21,Jake Delhomme pass complete to DeShaun Foster for -3 yards (tackle by Travis Daniels),3.630,2.540
2,1:07,3,13,MIA 24,10,21,Jake Delhomme pass complete to Steve Smith for 21 yards (tackle by Reggie Howard),2.540,6.510
2,0:58,,,,10,21,Timeout #1 by Carolina Panthers,0.000,6.510
2,0:58,1,3,MIA 3,16,21,"Jake Delhomme pass complete to Steve Smith for 3 yards, touchdown",6.510,7.000
2,,,,MIA 2,17,21,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,17,21,"Jason Baker kicks off 66 yards, returned by Wes Welker for 16 yards (tackle by Marlon McCree)",0.000,0.280
2,0:49,1,10,MIA 20,17,21,Ronnie Brown up the middle for 1 yard (tackle by Mike Rucker and Ricky Manning),0.280,-0.130
2,0:11,2,9,MIA 21,17,21,Ronnie Brown right tackle for 1 yard (tackle by Dan Morgan),-0.130,-0.690
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,17,21,"Olindo Mare kicks off 69 yards, returned by Rod Smart for 25 yards (tackle by David Bowens)",0.000,0.670
3,14:53,1,10,CAR 26,17,21,Jake Delhomme pass incomplete intended for Keary Colbert,0.670,0.130
3,14:48,2,10,CAR 26,17,21,DeShaun Foster left guard for 7 yards (tackle by Zach Thomas and Junior Seau),0.130,0.370
3,14:08,3,3,CAR 33,17,21,Stephen Davis up the middle for 4 yards (tackle by Junior Seau and Zach Thomas),0.370,1.400
3,13:30,1,10,CAR 37,17,21,Stephen Davis left tackle for 5 yards (tackle by Zach Thomas),1.400,1.530
3,12:51,2,5,CAR 42,17,21,Stephen Davis up the middle for 1 yard (tackle by Keith Traylor),1.530,0.960
3,12:09,3,4,CAR 43,17,21,Jake Delhomme pass complete to Steve Smith for 15 yards (tackle by Zach Thomas),0.960,2.790
3,11:25,1,10,MIA 42,17,21,Steve Smith for -8 yards (tackle by Zach Thomas),2.790,1.160
3,10:41,,,,17,21,Timeout #1 by Carolina Panthers,0.000,1.160
3,10:41,2,18,MIA 50,17,21,Jake Delhomme pass incomplete intended for Keary Colbert,1.160,0.500
3,10:35,3,18,MIA 50,17,21,Jake Delhomme pass incomplete intended for Ricky Proehl,0.500,-0.060
3,10:29,4,18,MIA 50,17,21,"Jason Baker punts 50 yards, touchback",-0.060,-0.280
3,10:19,1,10,MIA 20,17,21,Gus Frerotte pass incomplete intended for Chris Chambers,0.280,-0.270
3,10:15,2,10,MIA 20,17,21,Ronnie Brown left end for 9 yards (tackle by Jordan Carstens),-0.270,0.230
3,9:34,3,1,MIA 29,17,21,Ronnie Brown up the middle for 3 yards (tackle by Dan Morgan),0.230,1.070
3,8:59,1,10,MIA 32,17,21,Gus Frerotte pass incomplete intended for Marty Booker,1.070,0.530
3,8:53,2,10,MIA 32,17,21,Ronnie Brown left guard for 2 yards (tackle by Julius Peppers),0.530,0.100
3,8:12,3,8,MIA 34,17,21,Gus Frerotte pass incomplete intended for Chris Chambers,0.100,-1.110
3,8:04,4,8,MIA 34,17,21,Donnie Jones punts 41 yards,-1.110,-0.610
3,7:52,1,10,CAR 25,17,21,DeShaun Foster up the middle for -1 yards (tackle by Jeff Zgonina),0.610,-0.070
3,7:11,2,11,CAR 24,17,21,DeShaun Foster left tackle for 1 yard (tackle by Vonnie Holliday and Zach Thomas),-0.070,-0.620
3,6:26,3,10,CAR 25,17,21,Jake Delhomme pass incomplete intended for DeShaun Foster,-0.620,-1.700
3,6:21,4,10,CAR 25,17,21,"Jason Baker punts 52 yards, returned by Wes Welker for 4 yards (tackle by Adam Seward)",-1.700,-0.740
3,6:11,1,10,MIA 27,17,21,Sammy Morris left end for 1 yard (tackle by Mike Minter),0.740,0.330
3,5:27,2,9,MIA 28,17,21,Gus Frerotte pass complete to Chris Chambers for 11 yards (tackle by Vinny Ciurciu),0.330,1.530
3,4:51,1,10,MIA 39,17,21,Gus Frerotte pass incomplete intended for Randy McMichael (defended by Vinny Ciurciu),1.530,0.990
3,4:44,2,10,MIA 39,17,21,Sammy Morris right guard for 6 yards (tackle by Brandon Short),0.990,1.090
3,4:05,3,4,MIA 45,17,21,"Gus Frerotte pass complete to Sammy Morris for 9 yards (tackle by Dante Wesley). Penalty on Stockar McDougle: Offensive Holding, 10 yards (no play)",1.090,-0.230
3,3:38,3,14,MIA 35,17,21,Gus Frerotte pass incomplete intended for David Boston,-0.230,-1.040
3,3:30,4,14,MIA 35,17,21,"Donnie Jones punts 47 yards, returned by Chris Gamble for 11 yards (tackle by Jason Glenn)",-1.040,-0.870
3,3:18,1,10,CAR 29,17,21,DeShaun Foster right end for 9 yards (tackle by Keith Traylor),0.870,1.540
3,2:38,2,1,CAR 38,17,21,DeShaun Foster left guard for 2 yards (tackle by Travares Tillman),1.540,1.600
3,1:58,1,10,CAR 40,17,21,Jake Delhomme sacked by Zach Thomas for -6 yards,1.600,0.240
3,1:19,2,16,CAR 34,17,21,Jake Delhomme pass complete to Kris Mangum for 9 yards (tackle by Zach Thomas),0.240,0.760
3,0:37,3,7,CAR 43,17,21,"Jake Delhomme sacked by Lance Schulters for -14 yards. Jake Delhomme fumbles (forced by Lance Schulters), recovered by Vonnie Holliday at CAR-24 and returned for 12 yards (tackle by Tutan Reyes). Penalty on Sam Madison: Personal Foul, 15 yards",0.760,-3.780
3,0:26,1,10,CAR 27,17,21,Ronnie Brown left tackle for 6 yards (tackle by Dan Morgan),3.780,4.040
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,CAR 21,17,21,Gus Frerotte pass incomplete intended for Chris Chambers is intercepted by Chris Gamble at CAR-0,4.040,-0.280
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
4,14:53,1,10,CAR 20,17,21,Stephen Davis right end for no gain (tackle by Keith Traylor and Zach Thomas),0.280,-0.270
4,14:08,2,10,CAR 20,17,21,Jake Delhomme pass incomplete intended for Steve Smith (defended by Jeff Zgonina),-0.270,-0.960
4,14:02,3,10,CAR 20,17,21,"Jake Delhomme sacked by Jason Taylor for -8 yards. Penalty on Junior Seau: Defensive Holding, 6 yards (no play)",-0.960,0.670
4,13:38,1,10,CAR 26,17,21,"Jake Delhomme pass complete to Steve Smith for 6 yards (tackle by Sam Madison). Penalty on Sam Madison: Personal Foul, 15 yards",0.670,2.060
4,13:22,1,10,CAR 47,17,21,Jake Delhomme pass incomplete intended for Kris Mangum (defended by Jeff Zgonina),2.060,1.520
4,13:18,2,10,CAR 47,17,21,Jake Delhomme pass complete to Steve Smith for 4 yards (tackle by Zach Thomas),1.520,1.360
4,12:37,3,6,MIA 49,17,21,Jake Delhomme pass incomplete intended for Keary Colbert (defended by Eddie Jackson),1.360,0.000
4,12:32,4,6,MIA 49,17,21,Jason Baker punts 45 yards,0.000,0.380
4,12:21,1,10,MIA 4,17,21,Ronnie Brown for 58 yards (tackle by Chris Gamble),-0.380,3.050
4,11:50,1,10,CAR 38,17,21,Sammy Morris up the middle for 1 yard (tackle by Dan Morgan and Brentson Buckner),3.050,2.640
4,11:15,2,9,CAR 37,17,21,Gus Frerotte pass complete to Ronnie Brown for 10 yards (tackle by Mike Minter),2.640,3.780
4,10:34,1,10,CAR 27,17,21,Ronnie Brown left end for 6 yards (tackle by Kindal Moorehead),3.780,4.040
4,9:51,2,4,CAR 21,17,21,Sammy Morris left end for 1 yard (tackle by Mike Minter and Dan Morgan),4.040,3.470
4,9:16,3,3,CAR 20,17,21,Gus Frerotte pass complete to Chris Chambers for 6 yards (tackle by Chris Gamble),3.470,4.650
4,8:54,1,10,CAR 14,17,21,Sammy Morris right tackle for 1 yard (tackle by Chris Gamble),4.650,4.160
4,8:21,2,9,CAR 13,17,21,Ronnie Brown right guard for 4 yards (tackle by Brandon Short),4.160,4.050
4,7:41,3,5,CAR 9,17,21,Gus Frerotte pass incomplete intended for Randy McMichael,4.050,2.880
4,7:35,4,5,CAR 9,17,24,Olindo Mare 27 yard field goal good,2.880,3.000
4,,,,MIA 30,17,24,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
4,7:32,1,10,CAR 20,17,24,Jake Delhomme pass incomplete intended for Ricky Proehl,0.280,-0.270
4,7:28,2,10,CAR 20,17,24,"Jake Delhomme pass incomplete intended for Keary Colbert. Penalty on Reggie Howard: Defensive Pass Interfere, 27 yards (no play)",-0.270,2.060
4,7:21,1,10,CAR 47,23,24,"Jake Delhomme pass complete to Steve Smith for 53 yards, touchdown",2.060,7.000
4,,,,MIA 2,24,24,John Kasay kicks extra point good,0.000,0.000
4,,,,CAR 30,24,24,"Jason Baker kicks off 59 yards, returned by Wes Welker for 24 yards (tackle by Kemp Rasmussen)",0.000,1.270
4,7:06,1,10,MIA 35,24,24,Ronnie Brown left tackle for 1 yard (tackle by Mike Rucker),1.270,0.860
4,6:30,2,9,MIA 36,24,24,Gus Frerotte pass incomplete intended for Ronnie Brown (defended by Julius Peppers),0.860,0.170
4,6:23,3,9,MIA 36,24,24,Gus Frerotte pass incomplete intended for Sammy Morris,0.170,-0.980
4,6:18,4,9,MIA 36,24,24,"Donnie Jones punts 55 yards, returned by Chris Gamble for 6 yards (tackle by Bryan Gilmore)",-0.980,0.220
4,6:07,1,10,CAR 15,24,24,Stephen Davis right tackle for 2 yards (tackle by Kevin Carter),-0.220,-0.440
4,5:30,2,8,CAR 17,24,24,Jake Delhomme pass complete to Stephen Davis for 11 yards (tackle by Zach Thomas and Junior Seau),-0.440,0.810
4,4:42,1,10,CAR 28,24,24,Stephen Davis right tackle for 3 yards (tackle by Zach Thomas),0.810,0.670
4,4:00,2,7,CAR 31,24,24,DeShaun Foster right tackle for 6 yards (tackle by Lance Schulters and David Bowens),0.670,0.760
4,3:14,,,,24,24,Timeout #2 by Carolina Panthers,0.000,0.760
4,3:14,3,1,CAR 37,24,24,Stephen Davis right guard for 3 yards (tackle by Channing Crowder and Zach Thomas),0.760,1.600
4,2:32,1,10,CAR 40,24,24,"Jake Delhomme pass incomplete intended for Keary Colbert. Penalty on Travis Daniels: Defensive Pass Interfere, 16 yards (no play)",1.600,2.650
4,2:26,1,10,MIA 44,24,24,Stephen Davis left guard for 1 yard (tackle by Channing Crowder and Jason Taylor),2.650,2.250
4,2:00,2,9,MIA 43,24,24,Jake Delhomme pass incomplete intended for Keary Colbert is intercepted by Lance Schulters at MIA-38 and returned for 37 yards,2.250,-3.910
4,1:51,1,10,CAR 25,24,24,Ronnie Brown right tackle for 9 yards (tackle by Jordan Carstens and Dan Morgan),3.910,4.750
4,1:06,2,1,CAR 16,24,24,Ronnie Brown up the middle for 2 yards (tackle by Brentson Buckner),4.750,4.650
4,0:59,,,,24,24,Timeout #3 by Carolina Panthers,0.000,4.650
4,0:59,1,10,CAR 14,24,24,Ronnie Brown left guard for 3 yards (tackle by Brentson Buckner and Dan Morgan),4.650,4.520
4,0:20,2,7,CAR 11,24,24,Gus Frerotte kneels for -3 yards (tackle by Chris Draft),4.520,3.110
4,0:07,,,,24,24,Timeout #2 by Miami Dolphins,0.000,3.110
4,0:07,3,10,CAR 14,24,27,Olindo Mare 32 yard field goal good,3.110,3.000
4,,,,MIA 30,24,27,"Olindo Mare kicks off 47 yards. Penalty on Travis Daniels: Offside on Free Kick, 5 yards (no play)",0.000,0.000
4,,,,MIA 25,24,27,"Olindo Mare kicks off 43 yards, returned by Steve Smith for 12 yards (tackle by Jason Glenn)",0.000,0.610
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
