Quarter,Time,Tm,Detail,DEN,WAS
1.0,2:06,Broncos,Brandon McManus 31 yard field goal,3,0
2.0,6:15,Redskins,Dustin Hopkins 26 yard field goal,3,3
,2:07,Redskins,Jamison Crowder 15 yard pass from Kirk Cousins (Dustin Hopkins kick),3,10
3.0,3:30,Redskins,Dustin Hopkins 29 yard field goal,3,13
4.0,12:07,Redskins,Josh Doctson 48 yard pass from Kirk Cousins (Dustin Hopkins kick),3,20
,4:21,Redskins,Vernon Davis 31 yard pass from Kirk Cousins (Dustin Hopkins kick),3,27
,1:18,Broncos,C.J. Anderson 5 yard rush (C.J. Anderson pass from Brock Osweiler),11,27
