Unnamed: 0,DEN,WAS
First Downs,18,19
Rush-Yds-TDs,29-159-1,29-87-0
Cmp-Att-Yd-TD-INT,22-38-193-0-1,19-37-299-3-1
Sacked-Yards,4-22,0-0
Net Pass Yards,171,299
Total Yards,330,386
Fumbles-Lost,3-2,2-1
Turnovers,3,2
Penalties-Yards,3-30,6-35
Third Down Conv.,5-17,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,30:27,29:33
