Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
1,9:52,2,6,WAS 41,0,0,C.J. Anderson left tackle for 1 yard (tackle by Martrell Spaight and Evander Hood),2.580,2.010
1,9:13,3,5,WAS 40,0,0,Brock Osweiler pass incomplete short right intended for Jeff Heuerman,2.010,0.590
1,9:09,4,5,WAS 40,0,0,"Riley Dixon punts 37 yards. Penalty on Quinton Dunbar: Unnecessary Roughness, 1 yards",0.590,0.380
1,8:56,1,10,WAS 2,0,0,Samaje Perine right tackle for -1 yards (tackle by Todd Davis and Darian Stewart),-0.380,-0.850
1,8:20,2,11,WAS 1,0,0,Kirk Cousins pass incomplete deep left intended for Josh Doctson,-0.850,-1.540
1,8:15,3,11,WAS 1,0,0,Kirk Cousins pass incomplete short right intended for Niles Paul,-1.540,-2.490
1,8:11,4,11,WAS 1,0,0,"Tress Way punts 52 yards, returned by Jordan Taylor for 7 yards (tackle by Deshazor Everett)",-2.490,-2.520
1,8:01,1,10,WAS 46,0,0,C.J. Anderson middle for 5 yards (tackle by A.J. Francis),2.520,2.650
1,7:23,2,5,WAS 41,0,0,C.J. Anderson right end for 3 yards (tackle by Deshazor Everett and Ryan Kerrigan),2.650,2.350
1,6:47,3,2,WAS 38,0,0,Devontae Booker middle for 4 yards (tackle by D.J. Swearinger),2.350,3.310
1,6:09,1,10,WAS 34,0,0,Brock Osweiler right end for 2 yards (tackle by Preston Smith),3.310,3.040
1,5:28,2,8,WAS 32,0,0,Devontae Booker right tackle for 6 yards (tackle by Zach Vigil),3.040,3.140
1,4:52,3,2,WAS 26,0,0,Devontae Booker left tackle for 5 yards (tackle by Zach Vigil),3.140,4.170
1,4:15,1,10,WAS 21,0,0,Brock Osweiler pass complete short middle to C.J. Anderson for 4 yards (tackle by Zach Vigil and A.J. Francis),4.170,4.200
1,3:35,2,6,WAS 17,0,0,Brock Osweiler left end for 2 yards (tackle by Junior Galette),4.200,3.810
1,2:54,3,4,WAS 15,0,0,Brock Osweiler pass complete short right to Devontae Booker for 2 yards (tackle by Zach Vigil and D.J. Swearinger),3.810,2.690
1,2:10,4,2,WAS 13,3,0,Brandon McManus 31 yard field goal good,2.690,3.000
1,2:06,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,2:06,1,10,WAS 25,3,0,Kirk Cousins pass incomplete short middle intended for Kapri Bibbs,0.610,0.060
1,2:02,2,10,WAS 25,3,0,Kirk Cousins pass complete short left to Jamison Crowder for 6 yards (tackle by Bradley Roby),0.060,0.170
1,1:19,3,4,WAS 31,3,0,Kirk Cousins right tackle for 7 yards (tackle by Aqib Talib),0.170,1.470
1,0:40,1,10,WAS 38,3,0,Samaje Perine right guard for 3 yards (tackle by Brandon Marshall and Todd Davis),1.470,1.330
1,0:01,2,7,WAS 41,3,0,Kirk Cousins pass incomplete deep middle intended for Josh Doctson (defended by Marcus Rios),1.330,0.630
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,WAS 41,3,0,"Penalty on Arie Kouandjio: False Start, 5 yards (no play)",0.630,-0.030
2,15:00,3,12,WAS 36,3,0,Kirk Cousins pass incomplete short middle intended for Kapri Bibbs (defended by Brandon Marshall),-0.030,-0.980
2,14:55,4,12,WAS 36,3,0,"Tress Way punts 48 yards, returned by Jordan Taylor for 5 yards (tackle by Quinton Dunbar)",-0.980,-0.340
2,14:45,1,10,DEN 21,3,0,C.J. Anderson left guard for 5 yards (tackle by Zach Vigil),0.340,0.480
2,14:08,2,5,DEN 26,3,0,C.J. Anderson right tackle for 21 yards (tackle by Josh Norman),0.480,2.060
2,13:23,1,10,DEN 47,3,0,C.J. Anderson left end for no gain (tackle by Ryan Kerrigan and Martrell Spaight),2.060,1.520
2,12:46,2,10,DEN 47,3,0,Brock Osweiler pass complete short right to Andy Janovich for 16 yards (tackle by Martrell Spaight and Josh Norman),1.520,3.120
2,12:17,1,10,WAS 37,3,0,Devontae Booker left end for 2 yards (tackle by Bashaud Breeland and Junior Galette),3.120,2.840
2,11:50,2,8,WAS 35,3,0,Brock Osweiler pass incomplete short left intended for C.J. Anderson,2.840,2.150
2,11:43,3,8,WAS 35,3,0,Brock Osweiler pass incomplete short middle intended for Isaiah McKenzie,2.150,0.970
2,11:39,4,8,WAS 35,3,0,Brandon McManus punts 26 yards,0.970,0.380
2,11:32,1,10,WAS 9,3,0,Kirk Cousins pass complete short middle to Samaje Perine for 9 yards (tackle by Todd Davis),-0.380,0.140
2,11:09,2,1,WAS 18,3,0,Samaje Perine right end for 9 yards (tackle by Todd Davis),0.140,0.740
2,10:27,1,10,WAS 27,3,0,Kirk Cousins pass complete short right to Ryan Grant for 13 yards (tackle by Aqib Talib),0.740,1.600
2,9:42,1,10,WAS 40,3,0,Kirk Cousins pass complete deep middle to Ryan Grant for 32 yards (tackle by Darian Stewart),1.600,3.710
2,8:55,1,10,DEN 28,3,0,Samaje Perine right end for 2 yards (tackle by Shaquil Barrett),3.710,3.440
2,8:26,2,8,DEN 26,3,0,Samaje Perine right tackle for 5 yards (tackle by Shelby Harris and Dymonte Thomas),3.440,3.400
2,7:50,3,3,DEN 21,3,0,Kirk Cousins pass complete short left to Vernon Davis for 11 yards (tackle by Will Parks and Dymonte Thomas),3.400,4.910
2,7:10,1,10,DEN 10,3,0,Samaje Perine right guard for 2 yards (tackle by Zach Kerr and Kyle Peko),4.910,4.570
2,6:31,2,8,DEN 8,3,0,Kirk Cousins pass incomplete short left intended for Josh Doctson (defended by Bradley Roby),4.570,3.580
2,6:28,3,8,DEN 8,3,0,Kirk Cousins pass incomplete short right intended for Ryan Grant,3.580,2.950
2,6:19,4,8,DEN 8,3,3,Dustin Hopkins 26 yard field goal good,2.950,3.000
2,6:15,,,WAS 35,3,3,"Dustin Hopkins kicks off 66 yards, returned by Devontae Booker for 16 yards (tackle by Niles Paul)",0.000,0.220
2,6:09,1,10,DEN 15,3,3,C.J. Anderson left guard for 21 yards (tackle by D.J. Swearinger),-0.220,1.330
2,5:28,1,10,DEN 36,3,3,Brock Osweiler pass complete short right to Andy Janovich for 5 yards (tackle by Martrell Spaight),1.330,1.470
2,4:48,2,5,DEN 41,3,3,Brock Osweiler pass incomplete short middle intended for Austin Traylor,1.470,0.760
2,4:41,3,5,DEN 41,3,3,"Brock Osweiler sacked by Preston Smith for -7 yards. Brock Osweiler fumbles (forced by Preston Smith), recovered by Zach Vigil at DEN-38 (tackle by Matt Paradis)",0.760,-3.050
2,4:33,1,10,DEN 38,3,3,Kapri Bibbs left tackle for 13 yards (tackle by Darian Stewart),3.050,3.910
2,3:45,1,10,DEN 25,3,3,Kirk Cousins pass complete short middle to Kapri Bibbs for 7 yards (tackle by Brandon Marshall),3.910,4.370
2,3:01,2,3,DEN 18,3,3,Kirk Cousins right end for 3 yards (tackle by Shaquil Barrett and Zach Kerr),4.370,4.580
2,2:17,1,10,DEN 15,3,3,Kirk Cousins pass incomplete short right intended for Vernon Davis,4.580,3.950
2,2:13,2,10,DEN 15,3,9,"Kirk Cousins pass complete short middle to Jamison Crowder for 15 yards, touchdown",3.950,7.000
2,2:07,,,DEN 15,3,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,2:07,,,WAS 35,3,10,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,2:07,1,10,DEN 25,3,10,C.J. Anderson right guard for 1 yard (tackle by Martrell Spaight),0.610,0.200
2,2:00,2,9,DEN 26,3,10,Brock Osweiler pass complete short middle to Devontae Booker for 19 yards (tackle by Zach Vigil),0.200,0.000
2,1:50,,,,,,Timeout #1 by Denver Broncos,0.000,-1.930
2,1:50,1,10,DEN 45,3,10,"Devontae Booker middle for 8 yards (tackle by Anthony Lanier and Josh Harvey-Clemons). Penalty on Josh Harvey-Clemons: Delay of Game, 5 yards",1.930,2.790
2,1:36,1,10,WAS 42,3,10,Brock Osweiler pass incomplete short middle intended for Demaryius Thomas is intercepted by D.J. Swearinger at WAS-28,2.790,-0.810
2,1:30,1,10,WAS 28,3,10,Kirk Cousins pass complete short left to Ryan Grant for 4 yards (tackle by Chris Harris),0.810,0.800
2,1:09,2,6,WAS 32,3,10,Kirk Cousins pass incomplete deep middle intended for Josh Doctson,0.800,0.000
2,1:05,,,,,,Timeout #2 by Denver Broncos,0.000,-0.100
2,1:05,3,6,WAS 32,3,10,"Kirk Cousins for -7 yards. Kirk Cousins fumbles, recovered by Kirk Cousins at WAS-22",0.100,0.000
2,1:00,,,,,,Timeout #3 by Denver Broncos,0.000,2.030
2,1:00,4,18,WAS 20,3,10,"Tress Way punts 37 yards, out of bounds",-2.030,-1.800
2,0:52,1,10,DEN 43,3,10,Brock Osweiler pass incomplete deep middle intended for Bennie Fowler (defended by Kendall Fuller),1.800,1.250
2,0:46,2,10,DEN 43,3,10,Brock Osweiler pass complete short left to C.J. Anderson for 4 yards (tackle by Bashaud Breeland),1.250,1.090
2,0:40,3,6,DEN 47,3,10,Brock Osweiler pass complete short middle to Jordan Taylor for 22 yards (tackle by Fabian Moreau),1.090,3.510
2,0:24,1,10,WAS 31,3,10,Brock Osweiler spiked the ball,3.510,2.970
2,0:22,2,10,WAS 31,3,10,Brock Osweiler pass incomplete deep left intended for Bennie Fowler,2.970,2.280
2,0:16,3,10,WAS 31,3,10,Brock Osweiler pass complete short left to Isaiah McKenzie for 8 yards (tackle by Zach Vigil),2.280,2.050
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,3,10,"Brandon McManus kicks off 66 yards, returned by Niles Paul for 24 yards (tackle by Jordan Taylor)",0.000,-0.480
3,14:55,1,10,WAS 23,3,10,Samaje Perine left tackle for 2 yards (tackle by Von Miller),0.480,0.200
3,14:19,2,8,WAS 25,3,10,Kirk Cousins pass complete short middle to Jamison Crowder for 14 yards (tackle by Bradley Roby),0.200,1.530
3,13:41,1,10,WAS 39,3,10,Kirk Cousins pass complete short left to Samaje Perine for 8 yards (tackle by Brandon Marshall),1.530,2.070
3,12:59,2,2,WAS 47,3,10,Samaje Perine left end for -4 yards (tackle by Will Parks),2.070,0.830
3,12:12,3,6,WAS 43,3,10,Kirk Cousins pass complete short middle to Ryan Grant for 36 yards (tackle by Jamal Carter),0.830,4.170
3,11:41,1,10,DEN 21,3,10,Kapri Bibbs left tackle for 2 yards (tackle by Deiontrez Mount and Jamal Carter),4.170,3.900
3,11:03,2,8,DEN 19,3,10,Kirk Cousins pass incomplete short right intended for Josh Doctson,3.900,3.180
3,10:57,3,8,DEN 19,3,10,Kirk Cousins pass complete short left to Brian Quick for 9 yards (tackle by Bradley Roby and Brandon Marshall),3.180,4.910
3,10:17,1,10,DEN 10,3,10,Samaje Perine middle for 1 yard (tackle by Zach Kerr),4.910,4.380
3,9:36,2,9,DEN 9,3,10,Kirk Cousins pass incomplete deep middle intended for Josh Doctson is intercepted by Will Parks at DEN--8,4.380,-0.280
3,9:27,1,10,DEN 20,3,10,Brock Osweiler sacked by Ryan Kerrigan for -10 yards,0.280,-1.510
3,8:47,2,20,DEN 10,3,10,Brock Osweiler pass incomplete short middle intended for Devontae Booker (defended by Anthony Lanier),-1.510,-2.590
3,8:43,3,20,DEN 10,3,10,Devontae Booker left guard for 8 yards (tackle by D.J. Swearinger),-2.590,-2.240
3,8:05,4,12,DEN 18,3,10,"Riley Dixon punts 48 yards, fair catch by Jamison Crowder",-2.240,-1.200
3,7:56,1,10,WAS 34,3,10,Kirk Cousins pass complete short right to Samaje Perine for 4 yards (tackle by Shaquil Barrett),1.200,1.200
3,7:11,2,6,WAS 38,3,10,Kirk Cousins pass complete short right to Kapri Bibbs for 21 yards (tackle by Aqib Talib and Brandon Marshall),1.200,2.850
3,6:34,1,10,DEN 41,3,10,Kapri Bibbs right guard for -1 yards (tackle by Todd Davis and Von Miller),2.850,2.170
3,5:54,2,11,DEN 42,3,10,Kirk Cousins pass complete short middle to Josh Doctson for 13 yards (tackle by Aqib Talib),2.170,3.640
3,5:12,1,10,DEN 29,3,10,Kirk Cousins pass complete short left to Jamison Crowder for 12 yards (tackle by Brandon Marshall),3.640,4.440
3,4:28,1,10,DEN 17,3,10,Kirk Cousins pass incomplete deep right intended for Niles Paul,4.440,3.850
3,4:22,2,10,DEN 17,3,10,Kapri Bibbs left tackle for 6 yards (tackle by Brandon Marshall),3.850,4.100
3,3:40,3,4,DEN 11,3,10,Kirk Cousins pass incomplete short middle intended for Josh Doctson,4.100,2.770
3,3:35,4,4,DEN 11,3,13,Dustin Hopkins 29 yard field goal good,2.770,3.000
3,3:30,,,WAS 35,3,13,"Dustin Hopkins kicks off 58 yards, returned by Devontae Booker for 10 yards (tackle by Otha Peters)",0.000,0.060
3,3:26,1,10,DEN 17,3,13,C.J. Anderson right guard for 3 yards (tackle by Junior Galette),-0.060,-0.060
3,2:51,2,7,DEN 20,3,13,Brock Osweiler right guard for 5 yards (tackle by Preston Smith),-0.060,-0.240
3,2:05,3,2,DEN 25,3,13,Devontae Booker middle for 3 yards (tackle by Josh Harvey-Clemons),-0.240,0.810
3,1:33,1,10,DEN 28,3,13,C.J. Anderson middle for -1 yards (tackle by Martrell Spaight),0.810,0.130
3,0:57,2,11,DEN 27,3,13,Brock Osweiler sacked by Ryan Kerrigan for -7 yards,0.130,-1.480
3,0:14,3,18,DEN 20,3,13,Brock Osweiler pass complete short left to De'Angelo Henderson for 7 yards (tackle by Kendall Fuller),-1.480,-1.570
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,11,DEN 27,3,13,"Riley Dixon punts 53 yards, returned by Jamison Crowder for 3 yards (tackle by Joseph Jones)",-1.570,-0.480
4,14:48,1,10,WAS 23,3,13,Samaje Perine left end for 11 yards (tackle by Darian Stewart),0.480,1.200
4,14:07,1,10,WAS 34,3,13,Kirk Cousins pass complete short left to Jeremy Sprinkle for 6 yards (tackle by Brandon Marshall),1.200,1.470
4,13:31,2,4,WAS 40,3,13,Samaje Perine right end for 8 yards (tackle by Todd Davis),1.470,2.130
4,12:57,1,10,WAS 48,3,13,Samaje Perine right end for 4 yards (tackle by Shaquil Barrett),2.130,2.120
4,12:15,2,6,DEN 48,3,19,"Kirk Cousins pass complete deep right to Josh Doctson for 48 yards, touchdown",2.120,7.000
4,12:07,,,DEN 15,3,20,Dustin Hopkins kicks extra point good,0.000,0.000
4,12:07,,,WAS 35,3,20,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,12:07,1,10,DEN 25,3,20,"Brock Osweiler pass incomplete short left intended for Demaryius Thomas. Penalty on Bashaud Breeland: Defensive Holding, 5 yards (no play)",0.610,0.940
4,12:03,1,10,DEN 30,3,20,Brock Osweiler pass complete short right to C.J. Anderson for 2 yards (tackle by Zach Vigil),0.940,0.660
4,11:29,2,8,DEN 32,3,20,C.J. Anderson left tackle for 11 yards (tackle by Kendall Fuller),0.660,1.800
4,11:01,1,10,DEN 43,3,20,"C.J. Anderson left end for 7 yards (tackle by Bashaud Breeland). Penalty on Garett Bolles: Offensive Holding, 10 yards (no play)",1.800,1.140
4,10:40,1,20,DEN 33,3,20,Brock Osweiler pass complete short left to Devontae Booker for 3 yards (tackle by Pete Robertson),1.140,0.310
4,10:01,2,17,DEN 36,3,20,Brock Osweiler pass complete short middle to Devontae Booker for -4 yards (tackle by Zach Vigil),0.310,-0.890
4,9:20,3,21,DEN 32,3,20,Brock Osweiler pass complete short right to C.J. Anderson for 8 yards (tackle by Josh Harvey-Clemons),-0.890,-0.720
4,9:00,4,13,DEN 40,3,20,"Riley Dixon punts 49 yards, out of bounds",-0.720,0.370
4,8:53,1,10,WAS 11,3,20,Samaje Perine right tackle for 2 yards (tackle by Domata Peko),-0.370,-0.630
4,8:16,2,8,WAS 13,3,20,"Kirk Cousins pass complete short left to Ryan Grant for 6 yards (tackle by Aqib Talib). Penalty on Von Miller: Defensive Offside, 5 yards (no play)",-0.630,0.000
4,7:51,2,3,WAS 18,3,20,"Samaje Perine left end for 10 yards (tackle by Darian Stewart and Domata Peko). Penalty on Arie Kouandjio: Unnecessary Roughness, 14 yards",0.000,-0.280
4,7:26,1,10,WAS 14,3,20,Kapri Bibbs right tackle for 2 yards (tackle by Todd Davis and Aqib Talib),-0.280,-0.510
4,6:53,2,8,WAS 16,3,20,Kirk Cousins pass incomplete short left intended for Josh Doctson,-0.510,-1.160
4,6:49,3,8,WAS 16,3,20,Kirk Cousins pass incomplete deep left intended for Ryan Grant,-1.160,-2.390
4,6:43,4,8,WAS 16,3,20,"Tress Way punts 46 yards, fair catch by Jordan Taylor",-2.390,-1.470
4,6:36,1,10,DEN 38,3,20,Brock Osweiler pass incomplete short left intended for Devontae Booker (defended by Bashaud Breeland),1.470,0.920
4,6:28,2,10,DEN 38,3,20,Brock Osweiler sacked by Preston Smith for -2 yards,0.920,-0.030
4,5:55,3,12,DEN 36,3,20,Brock Osweiler pass complete short middle to Demaryius Thomas for 10 yards (tackle by Zach Vigil),-0.030,-0.320
4,5:20,4,2,DEN 46,3,20,Brock Osweiler pass incomplete short right intended for Bennie Fowler. Penalty on DEN: Illegal Formation (Declined),-0.320,-2.520
4,5:16,1,10,DEN 46,3,20,Samaje Perine left end for no gain (tackle by Brandon Marshall),2.520,0.000
4,5:09,,,,,,Timeout #1 by Denver Broncos,0.000,-1.980
4,5:09,2,10,DEN 46,3,20,Kirk Cousins pass incomplete short right intended for Josh Doctson,1.980,1.290
4,5:02,3,10,DEN 46,3,20,"Samaje Perine right end for no gain (tackle by Von Miller). Samaje Perine fumbles (forced by Von Miller), recovered by Von Miller at DEN-46",1.290,-1.990
4,4:56,1,10,DEN 46,3,20,Brock Osweiler pass incomplete short middle intended for C.J. Anderson,1.990,1.450
4,4:52,2,10,DEN 46,3,20,Brock Osweiler pass incomplete short left intended for Demaryius Thomas,1.450,0.760
4,4:47,3,10,DEN 46,3,20,"Brock Osweiler pass complete short middle to Devontae Booker for 6 yards (tackle by Deshazor Everett). Devontae Booker fumbles (forced by Deshazor Everett). Penalty on Connor McGovern: Unsportsmanlike Conduct, 15 yards",0.760,-3.250
,,,,,,,"WAS challenged the incomplete pass ruling, and the original play was overturned.",,
4,4:41,1,10,DEN 35,3,20,Kapri Bibbs left end for no gain (tackle by Todd Davis),3.250,0.000
4,4:35,,,,,,Timeout #2 by Denver Broncos,0.000,-2.700
4,4:35,2,10,DEN 35,3,20,Kapri Bibbs left end for 4 yards (tackle by Darian Stewart),2.700,0.000
4,4:29,,,,,,Timeout #3 by Denver Broncos,0.000,-2.540
4,4:29,3,6,DEN 31,3,26,"Kirk Cousins pass complete deep left to Vernon Davis for 31 yards, touchdown",2.540,7.000
4,4:21,,,DEN 15,3,27,Dustin Hopkins kicks extra point good,0.000,0.000
4,4:21,,,WAS 35,3,27,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,4:21,1,10,DEN 25,3,27,De'Angelo Henderson middle for -3 yards (tackle by Preston Smith),0.610,-0.340
4,3:55,2,13,DEN 22,3,27,Brock Osweiler pass incomplete short middle intended for Jeff Heuerman (defended by Martrell Spaight),-0.340,-1.020
4,3:50,3,13,DEN 22,3,27,Brock Osweiler pass complete short left to Demaryius Thomas for 8 yards (tackle by Bashaud Breeland),-1.020,-1.370
4,3:21,4,5,DEN 30,3,27,Brock Osweiler right end for 18 yards (tackle by Josh Norman),-1.370,2.130
4,2:55,1,10,DEN 48,3,27,Devontae Booker middle for 11 yards (tackle by Josh Norman),2.130,2.850
4,2:25,1,10,WAS 41,3,27,Brock Osweiler pass incomplete short right intended for Jordan Taylor,2.850,2.310
4,2:17,2,10,WAS 41,3,27,Brock Osweiler pass incomplete short left intended for Devontae Booker,2.310,1.620
4,2:12,3,10,WAS 41,3,27,Brock Osweiler pass complete short middle to C.J. Anderson for 14 yards (tackle by Zach Vigil),1.620,3.780
4,2:00,1,10,WAS 27,3,27,Brock Osweiler pass complete short left to C.J. Anderson for 8 yards (tackle by Quinton Dunbar),3.780,4.350
4,1:53,2,2,WAS 19,3,27,Brock Osweiler pass complete short right to Austin Traylor for 14 yards (tackle by Zach Vigil),4.350,6.060
4,1:22,1,5,WAS 5,9,27,"C.J. Anderson right guard for 5 yards, touchdown",6.060,7.000
4,1:18,,,WAS 2,11,27,"Two Point Attempt: Brock Osweiler pass complete to C.J. Anderson, conversion succeeds",0.000,1.000
4,1:18,,,DEN 35,11,27,"Brandon McManus kicks onside 14 yards, recovered by Niles Paul and returned for 5 yards",0.000,-2.650
4,1:15,1,10,DEN 44,11,27,Kirk Cousins kneels for -1 yards,2.650,1.980
4,0:37,2,11,DEN 45,11,27,Kirk Cousins kneels for -1 yards,1.980,1.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
