Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
2,12:28,1,10,BUF 46,7,0,Marshawn Lynch right end for 4 yards (tackle by Ronald Fields),1.990,1.990
2,11:36,2,6,,7,0,Trent Edwards pass complete short middle to Lee Evans for 9 yards (tackle by Takeo Spikes),1.990,2.850
2,10:59,1,10,SFO 41,7,0,Trent Edwards pass complete deep left to Lee Evans for 22 yards (tackle by Walt Harris),2.850,4.310
2,10:19,1,10,SFO 19,7,0,Marshawn Lynch left guard for no gain (tackle by Ray McDonald),4.310,3.750
2,10:19,2,10,SFO 19,7,0,Roscoe Parrish right end for 9 yards (tackle by Nate Clements),3.750,4.690
2,9:05,3,1,SFO 10,7,0,Trent Edwards up the middle for 3 yards (tackle by Ronald Fields),4.690,5.600
2,8:23,1,7,SFO 7,7,0,Fred Jackson left guard for 5 yards (tackle by Michael Lewis and Patrick Willis),5.600,5.720
2,7:38,2,2,SFO 2,7,0,Trent Edwards pass incomplete short middle intended for Derek Fine (defended by Kentwan Balmer),5.720,4.950
2,7:32,3,2,SFO 2,7,0,Trent Edwards pass incomplete short right intended for Josh Reed,4.950,3.250
2,7:26,4,2,SFO 2,7,0,Rian Lindell 20 yard field goal no good,3.250,-0.280
2,7:23,1,10,SFO 20,7,0,Frank Gore up the middle for 6 yards (tackle by Bryan Scott and Ryan Denney),0.280,0.540
2,6:50,2,4,SFO 26,7,0,Frank Gore up the middle for 2 yards (tackle by Ryan Denney),0.540,0.100
2,6:09,3,2,SFO 28,7,0,Shaun Hill pass complete short middle to Jason Hill for 20 yards (tackle by Ko Simpson),0.100,2.130
2,5:35,1,10,SFO 48,7,0,Frank Gore right tackle for 2 yards (tackle by Bryan Scott and Paul Posluszny),2.130,1.850
2,4:57,2,8,,7,0,Shaun Hill pass incomplete short right intended for Sean Ryan,1.850,1.160
2,4:52,,,,7,0,Timeout #1 by San Francisco 49ers,0.000,1.160
2,4:52,3,8,,7,0,Shaun Hill sacked by Ryan Denney for -7 yards,1.160,-0.520
2,4:33,4,15,SFO 43,7,0,"Andy Lee punts 56 yards, returned by Roscoe Parrish for 6 yards (tackle by Michael Robinson)",-0.520,0.380
2,4:22,1,10,BUF 7,7,0,Marshawn Lynch up the middle for 11 yards (tackle by Patrick Willis and Ray McDonald),-0.380,0.040
2,3:38,1,10,BUF 18,7,0,Trent Edwards up the middle for no gain (tackle by Takeo Spikes),0.040,-0.490
2,3:00,2,10,BUF 18,7,0,Trent Edwards pass incomplete short right intended for Marshawn Lynch,-0.490,-1.170
2,2:55,3,10,BUF 18,7,0,Trent Edwards pass incomplete short middle intended for Marshawn Lynch,-1.170,-2.240
2,2:49,4,10,BUF 18,7,0,Brian Moorman punts 29 yards,-2.240,-2.460
2,2:39,1,10,BUF 47,7,0,Shaun Hill pass complete short right to Frank Gore for 5 yards (tackle by Chris Kelsay),2.460,2.590
2,2:07,2,5,BUF 42,7,0,Shaun Hill pass incomplete short middle intended for Frank Gore,2.590,1.880
2,2:00,3,5,BUF 42,7,0,Shaun Hill pass incomplete deep right intended for Dominique Zeigler,1.880,0.460
2,1:55,,,,7,0,Timeout #2 by Buffalo Bills,0.000,0.460
2,1:55,4,5,BUF 42,7,0,"Andy Lee punts 21 yards, fair catch by Roscoe Parrish",0.460,-0.340
2,1:48,1,10,BUF 21,7,0,Trent Edwards right tackle for 2 yards (tackle by Roderick Green and Patrick Willis),0.340,0.070
2,1:19,2,8,BUF 23,7,0,Trent Edwards pass complete short right to Lee Evans for 12 yards (tackle by Patrick Willis),0.070,1.270
2,0:58,1,10,BUF 35,7,0,"Penalty on Duke Preston: False Start, 5 yards (no play)",1.270,0.940
2,0:48,1,15,BUF 30,7,0,Trent Edwards pass incomplete short left intended for Derek Schouman,0.940,0.050
2,0:42,2,15,BUF 30,7,0,"Marshawn Lynch left guard for 9 yards (tackle by Patrick Willis). Marshawn Lynch fumbles (forced by Patrick Willis), recovered by Mark Roman at BUF-41",0.050,-2.850
2,0:34,1,10,BUF 41,7,0,Shaun Hill pass complete short right to Jason Hill for 7 yards (tackle by Dustin Fox),2.850,3.250
2,0:26,2,3,BUF 34,7,0,Shaun Hill pass incomplete deep right intended for Dominique Zeigler (defended by Terrence McGee),3.250,2.540
2,0:22,3,3,BUF 34,7,0,Shaun Hill up the middle for 2 yards (tackle by Kyle Williams),2.540,1.310
2,0:16,,,,7,0,Timeout #2 by San Francisco 49ers,0.000,1.310
2,0:16,4,1,BUF 32,10,0,Joe Nedney 50 yard field goal good,1.310,3.000
2,,,,SFO 30,10,0,Joe Nedney kicks off 18 yards,0.000,2.390
2,0:09,1,10,SFO 48,10,0,Trent Edwards pass incomplete short left intended for Marshawn Lynch,2.390,1.850
2,0:04,,,,10,0,Timeout #3 by Buffalo Bills,0.000,1.850
2,0:04,2,10,SFO 48,10,0,Trent Edwards pass complete deep right to Josh Reed for 24 yards (tackle by Nate Clements),1.850,0.810
Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,10,0,"Joe Nedney kicks off 62 yards, returned by Leodis McKelvin for 37 yards (tackle by Joe Nedney)",0.000,1.930
3,14:52,1,10,BUF 45,10,0,Marshawn Lynch right tackle for 19 yards (tackle by Patrick Willis and Mark Roman),1.930,3.180
3,14:10,1,10,SFO 36,10,0,Marshawn Lynch left tackle for -1 yards (tackle by Isaac Sopoaga),3.180,2.500
3,13:35,2,11,SFO 37,10,0,J.P. Losman pass incomplete short left intended for Lee Evans,2.500,1.820
3,13:32,3,11,SFO 37,10,0,"J.P. Losman for 10 yards. J.P. Losman fumbles, recovered by J.P. Losman at SFO-42. Penalty on Langston Walker: Offensive Holding, 10 yards (no play)",1.820,0.500
3,13:09,3,21,SFO 47,10,0,J.P. Losman pass complete short middle to Lee Evans for 10 yards (tackle by Donald Strickland),0.500,0.790
3,12:53,4,11,SFO 37,10,0,"Brian Moorman punts 27 yards, returned by Nate Clements for 3 yards (tackle by John Wendling)",0.790,0.320
3,12:45,1,10,SFO 13,10,0,Frank Gore left tackle for 2 yards (tackle by Marcus Stroud and Chris Kelsay),-0.320,-0.570
3,12:08,2,8,SFO 15,10,0,"Penalty on Billy Bajema: False Start, 5 yards (no play)",-0.570,-1.000
3,11:49,2,13,SFO 10,10,0,"Frank Gore up the middle for 5 yards (tackle by Kyle Williams). Frank Gore fumbles (forced by Kyle Williams), recovered by Frank Gore at SFO-15",-1.000,-1.180
3,11:12,3,8,SFO 15,10,0,Shaun Hill pass incomplete short right intended for Bryant Johnson,-1.180,-2.440
3,11:00,4,8,SFO 15,10,0,"Andy Lee punts 57 yards, returned by Roscoe Parrish for 13 yards (tackle by Marcus Hudson)",-2.440,-1.660
3,10:53,1,10,BUF 41,10,0,Marshawn Lynch left tackle for 50 yards (tackle by Takeo Spikes),1.660,5.140
3,10:23,1,9,SFO 9,10,0,Marshawn Lynch left guard for -3 yards (tackle by Michael Lewis and Mark Roman),5.140,3.860
3,9:44,2,12,SFO 12,10,0,J.P. Losman pass complete short right to Lee Evans for 8 yards (tackle by Nate Clements),3.860,4.490
3,9:02,3,4,SFO 4,10,0,J.P. Losman pass incomplete short middle intended for Roscoe Parrish (defended by Donald Strickland),4.490,3.030
3,8:57,4,4,SFO 4,10,3,Rian Lindell 22 yard field goal good,3.030,3.000
3,,,,BUF 30,10,3,"Rian Lindell kicks off 56 yards, returned by Delanie Walker for 17 yards (tackle by Reggie Corner)",0.000,1.000
3,8:48,1,10,SFO 31,10,3,Shaun Hill pass complete deep right to Isaac Bruce for 19 yards (tackle by Terrence McGee),1.000,2.260
3,8:11,1,10,,10,3,Shaun Hill pass incomplete short left intended for Isaac Bruce (defended by Spencer Johnson),2.260,1.710
3,8:08,2,10,,10,3,Shaun Hill pass complete short left to Isaac Bruce for 7 yards (tackle by Reggie Corner),1.710,1.950
3,7:38,3,3,BUF 43,10,3,Shaun Hill pass complete short right to Jason Hill for 6 yards (tackle by Reggie Corner),1.950,3.120
3,6:57,1,10,BUF 37,10,3,"Shaun Hill pass complete deep right to Vernon Davis for 37 yards. Penalty on Vernon Davis: Offensive Pass Interference, 10 yards (no play)",3.120,2.460
3,6:49,1,20,BUF 47,10,3,Shaun Hill pass complete short left to Frank Gore for 9 yards (tackle by Kawika Mitchell),2.460,2.440
3,6:06,2,11,BUF 38,10,3,Shaun Hill pass incomplete short right intended for Bryant Johnson,2.440,1.750
3,6:03,3,11,BUF 38,10,3,"Shaun Hill pass incomplete short left intended for Dominique Zeigler. Penalty on Leodis McKelvin: Defensive Pass Interference, 3 yards (no play)",1.750,3.250
,,,,,,,"BUF challenged the tipped pass ruling, and the play was upheld.",,
3,5:59,1,10,BUF 35,10,3,Frank Gore up the middle for 2 yards (tackle by Marcus Stroud and Paul Posluszny),3.250,2.970
3,5:16,2,8,BUF 33,10,3,Frank Gore left tackle for 6 yards (tackle by Marcus Stroud and Chris Kelsay),2.970,3.070
3,4:37,3,2,BUF 27,10,3,"Frank Gore left tackle for 3 yards. Frank Gore fumbles, recovered by Bryan Scott at BUF-18",3.070,-0.040
,,,,,,,"BUF challenged the fumble ruling, and the original play was overturned.",,
3,3:47,1,10,BUF 18,10,3,Marshawn Lynch right tackle for 14 yards (tackle by Parys Haralson),0.040,1.070
3,3:05,1,10,BUF 32,10,3,"J.P. Losman pass complete short left to Roscoe Parrish for 3 yards (tackle by Michael Lewis). Penalty on Derrick Dockery: Illegal Block Above the Waist, 10 yards",1.070,0.610
3,2:39,1,17,BUF 25,10,3,J.P. Losman sacked by Parys Haralson for -3 yards,0.610,-0.820
3,2:02,2,20,BUF 22,10,3,J.P. Losman pass complete short right to Fred Jackson for 6 yards (tackle by Justin Smith),-0.820,-0.690
3,1:21,3,14,BUF 28,10,3,J.P. Losman pass complete short middle to Derek Schouman for 17 yards (tackle by Michael Lewis),-0.690,1.930
3,0:44,1,10,BUF 45,10,3,Marshawn Lynch right tackle for 6 yards (tackle by Ronald Fields and Patrick Willis),1.930,2.190
Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,SFO 49,10,3,J.P. Losman pass complete short left to Roscoe Parrish for 6 yards (tackle by Walt Harris),2.190,2.720
4,14:24,1,10,SFO 43,10,3,Fred Jackson up the middle for 1 yard (tackle by Patrick Willis and Ronald Fields),2.720,2.310
4,13:44,2,9,SFO 42,10,3,J.P. Losman pass incomplete short right intended for Corey McIntyre,2.310,1.620
4,13:38,3,9,SFO 42,10,3,J.P. Losman pass complete short left to Josh Reed for 14 yards (tackle by Michael Lewis),1.620,3.710
4,12:51,1,10,SFO 28,10,3,J.P. Losman pass complete short left to Derek Schouman for 13 yards (tackle by Nate Clements),3.710,4.580
4,12:09,1,10,SFO 15,10,3,Marshawn Lynch up the middle for 1 yard (tackle by Aubrayo Franklin and Takeo Spikes),4.580,4.110
4,11:35,2,9,SFO 14,10,3,"J.P. Losman pass complete short middle to Derek Schouman for 8 yards (tackle by Takeo Spikes). Derek Schouman fumbles (forced by Takeo Spikes), recovered by Derrick Dockery at SFO-6",4.110,4.900
4,10:49,3,1,SFO 6,10,3,Fred Jackson left guard for -1 yards (tackle by Justin Smith),4.900,3.000
4,10:05,,,,10,3,Timeout #2 by Buffalo Bills,0.000,3.000
4,10:05,4,2,SFO 7,10,3,J.P. Losman pass incomplete short right intended for Lee Evans (defended by Ray McDonald),3.000,0.380
4,10:00,1,10,SFO 8,10,3,Frank Gore up the middle for 12 yards (tackle by Kawika Mitchell),-0.380,0.280
4,9:14,1,10,SFO 20,10,3,"Shaun Hill for no gain. Shaun Hill fumbles, recovered by Shaun Hill at SFO-18",0.280,-0.630
4,8:35,2,12,SFO 18,10,3,"Shaun Hill sacked by Ryan Denney for -10 yards. Shaun Hill fumbles (forced by Ryan Denney), recovered by Billy Bajema at SFO-8",-0.630,-2.820
4,7:58,3,22,SFO 8,10,3,Frank Gore up the middle for no gain (tackle by Kyle Williams and Kawika Mitchell),-2.820,-2.490
4,7:27,4,22,SFO 8,10,3,"Andy Lee punts 58 yards, returned by Roscoe Parrish for 26 yards (tackle by Tully Banta-Cain). Penalty on Keith Lewis: Unnecessary Roughness, 15 yards",-2.490,-3.910
4,7:13,1,10,SFO 25,10,3,J.P. Losman pass complete short right to Fred Jackson for 7 yards (tackle by Parys Haralson),3.910,4.370
4,6:36,2,3,SFO 18,10,3,Fred Jackson right tackle for -1 yards (tackle by Isaac Sopoaga),4.370,3.490
4,5:56,3,4,SFO 19,10,3,J.P. Losman sacked by Roderick Green for -3 yards,3.490,1.990
4,5:32,4,7,SFO 22,10,3,Rian Lindell 40 yard field goal no good,1.990,-0.940
4,5:26,1,10,SFO 30,10,3,Frank Gore left end for 2 yards (tackle by Paul Posluszny),0.940,0.660
4,4:41,2,8,SFO 32,10,3,Frank Gore left tackle for 4 yards (tackle by Keith Ellison),0.660,0.500
4,4:01,3,4,SFO 36,10,3,Shaun Hill pass complete short right to Isaac Bruce for 11 yards (tackle by Terrence McGee),0.500,2.060
4,3:15,1,10,SFO 47,10,3,Frank Gore right tackle for 2 yards (tackle by Chris Kelsay),2.060,1.790
4,2:34,2,8,SFO 49,10,3,Jason Hill right tackle for -4 yards (tackle by Kawika Mitchell),1.790,0.560
4,2:26,,,,10,3,Timeout #3 by Buffalo Bills,0.000,0.560
4,2:26,3,12,SFO 45,10,3,Shaun Hill sacked by Chris Kelsay for -11 yards,0.560,-1.110
4,2:00,4,23,SFO 34,10,3,"Andy Lee punts 51 yards, returned by Roscoe Parrish for 4 yards (tackle by Tully Banta-Cain)",-1.110,-0.150
4,1:47,1,10,BUF 19,10,3,J.P. Losman pass incomplete short right intended for Marshawn Lynch,0.150,-0.390
4,1:42,2,10,BUF 19,10,3,J.P. Losman sacked by Justin Smith for -5 yards,-0.390,-1.920
4,1:18,3,15,BUF 14,10,3,J.P. Losman pass incomplete short right intended for Josh Reed (defended by Donald Strickland),-1.920,-2.470
4,1:13,4,15,BUF 14,10,3,J.P. Losman pass complete short right to Marshawn Lynch for 1 yard (tackle by Donald Strickland),-2.470,-4.580
4,1:04,1,10,BUF 15,10,3,Shaun Hill kneels for -1 yards,4.580,3.810
4,0:37,2,11,BUF 16,10,3,Shaun Hill kneels for -1 yards,3.810,2.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
