Unnamed: 0,SFO,BUF
First Downs,12,18
Rush-Yds-TDs,29-62-0,25-156-0
Cmp-Att-Yd-TD-INT,14-23-161-1-0,21-38-205-0-0
Sacked-Yards,3-28,3-11
Net Pass Yards,133,194
Total Yards,195,350
Fumbles-Lost,4-1,2-1
Turnovers,1,1
Penalties-Yards,4-35,6-43
Third Down Conv.,7-15,7-15
Fourth Down Conv.,0-0,0-2
Time of Possession,29:30,30:30
