Quarter,Time,Tm,Detail,TAM,MIN
1.0,10:58,Vikings,Dalvin Cook 1 yard rush (Kai Forbath kick),0,7
,6:18,Buccaneers,Nick Folk 40 yard field goal,3,7
2.0,10:25,Vikings,Jarius Wright 2 yard pass from Case Keenum (Kai Forbath kick),3,14
,0:47,Vikings,Stefon Diggs 17 yard pass from Case Keenum (Kai Forbath kick),3,21
3.0,12:25,Vikings,Stefon Diggs 59 yard pass from Case Keenum (Kai Forbath kick),3,28
,8:47,Buccaneers,Cameron Brate 15 yard pass from Jameis Winston (Nick Folk kick),10,28
,2:24,Vikings,Kai Forbath 20 yard field goal,10,31
,0:00,Buccaneers,DeSean Jackson 25 yard pass from Jameis Winston (Nick Folk kick),17,31
4.0,8:40,Vikings,Kai Forbath 37 yard field goal,17,34
