Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA
1,2:56,1,10,TAM 23,3,7,Jameis Winston pass complete short right to DeSean Jackson for 12 yards (tackle by Trae Waynes),0.480,1.270
1,2:26,1,10,TAM 35,3,7,Jacquizz Rodgers right guard for 3 yards (tackle by Eric Kendricks),1.270,1.130
1,1:47,2,7,TAM 38,3,7,Jameis Winston pass incomplete short middle intended for Mike Evans,1.130,0.430
1,1:42,3,7,TAM 38,3,7,Jameis Winston pass incomplete short left intended for Adam Humphries,0.430,-0.850
1,1:38,4,7,TAM 38,3,7,"Bryan Anger punts 50 yards, fair catch by Marcus Sherels. Penalty on Justin Evans: Player Out of Bounds on Punt, 5 yards (no play)",-0.850,-1.180
1,1:30,4,12,TAM 33,3,7,"Bryan Anger punts 43 yards, fair catch by Marcus Sherels",-1.180,-0.540
1,1:22,1,10,MIN 24,3,7,"Penalty on Gerald McCoy: Encroachment, 5 yards (no play)",0.540,1.270
1,1:22,1,5,MIN 29,3,7,Case Keenum pass incomplete short right intended for Stefon Diggs,1.270,0.670
1,1:16,2,5,MIN 29,3,7,Dalvin Cook right end for 3 yards (tackle by Sealver Siliga and Adarius Glanton),0.670,0.370
1,0:36,3,2,MIN 32,3,7,Case Keenum pass complete short right to Stefon Diggs for 4 yards (tackle by Ryan Smith),0.370,1.330
1,0:04,1,10,MIN 36,3,7,Dalvin Cook left guard for 2 yards (tackle by Will Clarke),1.330,1.060
Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,MIN 38,3,7,Case Keenum pass complete deep right to Stefon Diggs for 17 yards (tackle by Robert McClain),1.060,2.590
2,14:23,1,10,TAM 45,3,7,Case Keenum pass complete short right to Adam Thielen for 9 yards (tackle by Clinton McDonald),2.590,3.260
2,13:45,2,1,TAM 36,3,7,Dalvin Cook left guard for 3 yards (tackle by Robert Ayers and William Gholston),3.260,3.380
2,13:07,1,10,TAM 33,3,7,Case Keenum pass incomplete deep middle intended for Kyle Rudolph,3.380,2.840
2,13:02,2,10,TAM 33,3,7,Dalvin Cook middle for 3 yards (tackle by William Gholston and Robert Ayers),2.840,2.540
2,12:34,3,7,TAM 30,3,7,Case Keenum pass complete deep left to Adam Thielen for 19 yards,2.540,4.840
2,11:58,1,10,TAM 11,3,7,Dalvin Cook right end for 1 yard (tackle by Kendell Beckwith and Sealver Siliga),4.840,4.320
2,11:14,2,9,TAM 10,3,7,Case Keenum pass complete short left to Stefon Diggs for 6 yards (tackle by Chris Conte and Robert Ayers),4.320,4.670
2,10:35,3,3,TAM 4,3,7,"Case Keenum pass incomplete short left intended for Adam Thielen. Penalty on T.J. Ward: Defensive Holding, 2 yards, Penalty on Ryan Russell: Defensive Offside (Declined) (no play)",4.670,6.740
2,10:29,1,2,TAM 2,3,13,"Case Keenum pass complete short right to Jarius Wright for 2 yards, touchdown",6.740,7.000
2,10:25,,,TAM 15,3,14,Kai Forbath kicks extra point good,0.000,0.000
2,10:25,,,MIN 35,3,14,"Kai Forbath kicks off 65 yards, returned by Bernard Reedy for 11 yards (tackle by Ben Gedeon)",0.000,0.370
2,10:20,1,10,TAM 11,3,14,Jacquizz Rodgers right end for 4 yards (tackle by Tom Johnson),-0.370,-0.430
2,9:48,2,6,TAM 15,3,14,Jacquizz Rodgers left tackle for 4 yards (tackle by Tom Johnson and Shamar Stephen),-0.430,-0.480
2,9:20,3,2,TAM 19,3,14,Jameis Winston sacked by Everson Griffen for -3 yards,-0.480,-2.390
2,8:44,4,5,TAM 16,3,14,"Bryan Anger punts 41 yards, fair catch by Marcus Sherels",-2.390,-1.800
2,8:35,1,10,MIN 43,3,14,Case Keenum pass incomplete short left intended for Stefon Diggs,1.800,1.250
2,8:29,2,10,MIN 43,3,14,Case Keenum pass complete short left to Adam Thielen for 11 yards,1.250,2.520
2,7:50,1,10,TAM 46,3,14,Latavius Murray middle for 3 yards (tackle by Kendell Beckwith),2.520,2.380
2,7:21,2,7,TAM 43,3,14,"Dalvin Cook middle for 9 yards. Penalty on Nick Easton: Offensive Holding, 10 yards (no play)",2.380,1.030
2,7:01,2,17,MIN 47,3,14,Case Keenum pass complete short left to Jerick McKinnon for -4 yards (tackle by Lavonte David),1.030,-0.160
2,6:19,3,21,MIN 43,3,14,Case Keenum pass complete short middle to Laquon Treadwell for 2 yards (tackle by T.J. Ward),-0.160,-0.390
2,5:44,4,19,MIN 45,3,14,"Ryan Quigley punts 41 yards, fair catch by Bernard Reedy",-0.390,0.280
2,5:37,1,10,TAM 14,3,14,Jameis Winston pass complete deep right to DeSean Jackson for 32 yards (tackle by Andrew Sendejo),-0.280,1.990
2,5:07,1,10,TAM 46,3,14,Jameis Winston pass incomplete deep left intended for Mike Evans,1.990,1.450
2,5:02,2,10,TAM 46,3,14,Jameis Winston pass complete short left to Adam Humphries for 10 yards (tackle by Terence Newman),1.450,2.650
2,4:18,1,10,MIN 44,3,14,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Xavier Rhodes). Penalty on Xavier Rhodes: Defensive Holding (Declined),2.650,3.310
2,4:02,1,10,MIN 34,3,14,"Jameis Winston pass incomplete deep middle intended for DeSean Jackson is intercepted by Trae Waynes at MIN--2 and returned for 18 yards. Penalty on Xavier Rhodes: Taunting, 8 yards",3.310,0.380
2,3:51,1,10,MIN 8,3,14,Case Keenum for 4 yards (tackle by Ryan Smith),-0.380,-0.490
2,3:18,2,6,MIN 12,3,14,Case Keenum pass complete short right to Dalvin Cook for 11 yards (tackle by Gerald McCoy),-0.490,0.480
2,2:45,1,10,MIN 23,3,14,Case Keenum pass complete deep middle to Stefon Diggs for 47 yards (tackle by Ryan Smith),0.480,3.580
2,2:00,1,10,TAM 30,3,14,Dalvin Cook middle for 9 yards (tackle by T.J. Ward),3.580,0.000
2,1:29,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,-4.250
2,1:29,2,1,TAM 21,3,14,Dalvin Cook left tackle for 4 yards (tackle by Adarius Glanton),4.250,4.440
2,0:53,1,10,TAM 17,3,20,"Case Keenum pass complete deep right to Stefon Diggs for 17 yards, touchdown",4.440,7.000
2,0:47,,,TAM 15,3,21,Kai Forbath kicks extra point good,0.000,0.000
2,0:47,,,MIN 35,3,21,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
2,0:47,1,10,TAM 25,3,21,Jameis Winston pass complete short right to Cameron Brate for 1 yard (tackle by Anthony Barr),0.610,0.200
2,0:41,2,9,TAM 26,3,21,Jameis Winston pass complete deep middle to Adam Humphries for 17 yards (tackle by Harrison Smith),0.200,0.000
2,0:36,,,,,,Timeout #2 by Tampa Bay Buccaneers,0.000,-1.800
2,0:36,1,10,TAM 43,3,21,Jameis Winston pass incomplete deep right intended for Adam Humphries,1.800,1.250
2,0:31,2,10,TAM 43,3,21,Jameis Winston pass incomplete deep left intended for DeSean Jackson,1.250,0.560
2,0:23,3,10,TAM 43,3,21,"Jameis Winston pass incomplete short right intended for Adam Humphries. Jameis Winston fumbles, recovered by Jameis Winston at TAM-34",0.560,-0.520
2,0:18,4,10,TAM 43,3,21,Bryan Anger punts 32 yards,-0.520,-0.610
2,0:04,1,10,MIN 25,3,21,Case Keenum kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,3,21,"Kai Forbath kicks off 62 yards, returned by Bernard Reedy for 18 yards (tackle by C.J. Ham). Penalty on Cameron Lynch: Offensive Holding, 10 yards",0.000,0.370
3,14:56,1,10,TAM 11,3,21,Jacquizz Rodgers right guard for 4 yards (tackle by Linval Joseph and Ben Gedeon),-0.370,-0.430
3,14:17,2,6,TAM 15,3,21,Jameis Winston for 4 yards (tackle by Anthony Barr),-0.430,-0.480
3,13:41,3,2,TAM 19,3,21,"Jameis Winston pass incomplete short left intended for Adam Humphries. Jameis Winston fumbles, recovered by Jameis Winston at TAM-12",-0.480,-2.140
3,13:37,4,2,TAM 19,3,21,"Bryan Anger punts 47 yards, fair catch by Marcus Sherels",-2.140,-1.200
3,13:28,1,10,MIN 34,3,21,Dalvin Cook left guard for 1 yard (tackle by Kendell Beckwith),1.200,0.790
3,12:58,2,9,MIN 35,3,21,Case Keenum pass complete short left to Stefon Diggs for 6 yards,0.790,0.890
3,12:36,3,3,MIN 41,3,27,"Case Keenum pass complete deep right to Stefon Diggs for 59 yards, touchdown. Penalty on TAM: Defensive 12 On-field (Declined)",0.890,7.000
3,12:25,,,TAM 15,3,28,Kai Forbath kicks extra point good,0.000,0.000
3,12:25,,,MIN 35,3,28,"Kai Forbath kicks off 61 yards, returned by Bernard Reedy for 50 yards (tackle by Kai Forbath)",0.000,-2.520
3,12:15,1,10,MIN 46,3,28,Jameis Winston sacked by Shamar Stephen for -9 yards,2.520,0.760
3,11:34,2,19,TAM 45,3,28,Jameis Winston pass complete short right to Alan Cross for 5 yards (tackle by Terence Newman and Eric Kendricks),0.760,0.760
3,10:51,3,14,,3,28,"Jameis Winston pass complete short right to Charles Sims for 16 yards (tackle by Anthony Barr). Penalty on Demar Dotson: Offensive Holding (Offsetting), Penalty on Anthony Barr: Horse Collar Tackle (Offsetting) (no play)",0.760,0.760
3,10:29,3,14,,3,28,Jameis Winston pass complete short right to Cameron Brate for 18 yards (tackle by Trae Waynes). Penalty on Mackensie Alexander: Illegal Contact (Declined),0.760,3.450
3,10:06,1,10,MIN 32,3,28,Charles Sims for 2 yards (tackle by Shamar Stephen and Ben Gedeon),3.450,3.170
3,9:29,2,8,MIN 30,3,28,Jameis Winston pass complete short middle to DeSean Jackson for 15 yards (tackle by Harrison Smith),3.170,4.580
3,8:52,1,10,MIN 15,9,28,"Jameis Winston pass complete short right to Cameron Brate for 15 yards, touchdown",4.580,7.000
3,8:47,,,MIN 15,10,28,Nick Folk kicks extra point good,0.000,0.000
3,8:47,,,TAM 35,10,28,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
3,8:47,1,10,MIN 25,10,28,Dalvin Cook middle for 6 yards (tackle by T.J. Ward),0.610,0.870
3,8:14,2,4,MIN 31,10,28,Latavius Murray right guard for 2 yards (tackle by Lavonte David),0.870,0.430
3,7:31,3,2,MIN 33,10,28,Case Keenum pass complete short left to Jerick McKinnon for 3 yards (tackle by Kendell Beckwith),0.430,1.330
3,6:50,1,10,MIN 36,10,28,"Case Keenum sacked by Clinton McDonald for 0 yards. Penalty on William Gholston: Defensive Holding, 5 yards (no play)",1.330,1.660
3,6:29,1,10,MIN 41,10,28,Dalvin Cook middle for no gain (tackle by Lavonte David),1.660,1.120
3,5:46,2,10,MIN 41,10,28,"Dalvin Cook middle for 7 yards (tackle by Chris Conte). Penalty on Adam Thielen: Offensive Holding, 10 yards",1.120,0.720
3,5:33,2,13,MIN 38,10,28,Case Keenum pass complete short left to Adam Thielen for 14 yards,0.720,2.390
3,5:09,1,10,TAM 48,10,28,Case Keenum pass incomplete short right intended for Adam Thielen,2.390,1.850
3,5:03,2,10,TAM 48,10,28,Case Keenum pass complete short right to C.J. Ham for 12 yards (tackle by Chris Conte and Adarius Glanton),1.850,3.180
3,4:20,1,10,TAM 36,10,28,Dalvin Cook middle for 26 yards (tackle by T.J. Ward),3.180,4.910
3,3:31,1,10,TAM 10,10,28,Case Keenum pass complete short left to Kyle Rudolph for 4 yards (tackle by Kendell Beckwith),4.910,4.950
3,3:06,2,6,TAM 6,10,28,Dalvin Cook left guard for 4 yards (tackle by Chris Conte),4.950,4.950
3,2:34,3,2,TAM 2,10,28,Case Keenum pass incomplete short middle intended for Adam Thielen (defended by T.J. Ward),4.950,3.250
3,2:26,4,2,TAM 2,10,31,Kai Forbath 20 yard field goal good,3.250,3.000
3,2:24,,,MIN 35,10,31,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,2:24,1,10,TAM 25,10,31,"Penalty on Demar Dotson: False Start, 5 yards (no play)",0.610,0.280
3,2:24,1,15,TAM 20,10,31,Charles Sims for 2 yards (tackle by Danielle Hunter),0.280,-0.340
3,1:58,2,13,TAM 22,10,31,Jameis Winston pass complete short middle to Mike Evans for 14 yards (tackle by Xavier Rhodes and Andrew Sendejo),-0.340,1.330
3,1:28,1,10,TAM 36,10,31,Jameis Winston pass complete short left to Mike Evans for 6 yards (tackle by Xavier Rhodes and Eric Kendricks),1.330,1.600
3,0:59,2,4,TAM 42,10,31,Jameis Winston pass incomplete short left intended for Mike Evans,1.600,0.890
3,0:59,3,4,TAM 42,10,31,"Jameis Winston pass incomplete deep right intended for DeSean Jackson. Penalty on Tramaine Brock: Defensive Pass Interference, 15 yards (no play)",0.890,2.720
3,0:54,1,10,MIN 43,10,31,Jameis Winston pass complete short right to Bernard Reedy for 6 yards (tackle by Harrison Smith),2.720,2.990
3,0:23,2,4,MIN 37,10,31,Jameis Winston pass complete short left to Adam Humphries for 12 yards (tackle by Andrew Sendejo),2.990,3.910
3,0:01,1,10,MIN 25,16,31,"Jameis Winston pass complete deep right to DeSean Jackson for 25 yards, touchdown",3.910,7.000
3,0:00,,,MIN 15,17,31,Nick Folk kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,TAM 35,17,31,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
4,15:00,1,10,MIN 25,17,31,Case Keenum pass incomplete short right intended for Jarius Wright,0.610,0.060
4,14:56,2,10,MIN 25,17,31,Dalvin Cook left tackle for no gain (tackle by William Gholston),0.060,-0.620
4,14:20,3,10,MIN 25,17,31,Case Keenum pass complete short right to Jarius Wright for 7 yards (tackle by Kendell Beckwith),-0.620,-1.240
4,13:41,4,3,MIN 32,17,31,"Ryan Quigley punts 33 yards, fair catch by Bernard Reedy",-1.240,-1.270
4,13:33,1,10,TAM 35,17,31,Jameis Winston pass complete short right to Adam Humphries for 15 yards (tackle by Andrew Sendejo),1.270,2.260
4,13:06,1,10,,17,31,Jameis Winston pass complete short right to Mike Evans for 6 yards (tackle by Xavier Rhodes),2.260,2.520
4,12:37,2,4,MIN 44,17,31,Jameis Winston pass incomplete short right intended for DeSean Jackson is intercepted by Andrew Sendejo at MIN-29 and returned for 36 yards,2.520,-3.250
4,12:25,1,10,TAM 35,17,31,Dalvin Cook middle for 2 yards (tackle by Lavonte David and William Gholston),3.250,2.970
4,11:43,2,8,TAM 33,17,31,Case Keenum right end for 12 yards (tackle by T.J. Ward and Clinton McDonald),2.970,4.170
4,11:00,1,10,TAM 21,17,31,Dalvin Cook left tackle for 2 yards (tackle by Gerald McCoy and William Gholston),4.170,3.900
4,10:16,2,8,TAM 19,17,31,Dalvin Cook middle for -2 yards (tackle by William Gholston),3.900,2.940
4,9:34,3,10,TAM 21,17,31,Case Keenum pass complete short left to Dalvin Cook for 2 yards (tackle by Lavonte David and Gerald McCoy),2.940,2.180
4,8:44,4,8,TAM 19,17,34,Kai Forbath 37 yard field goal good,2.180,3.000
4,8:40,,,MIN 35,17,34,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,8:40,1,10,TAM 25,17,34,"Penalty on Ali Marpet: False Start, 5 yards (no play)",0.610,0.280
4,8:40,1,15,TAM 20,17,34,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Harrison Smith),0.280,0.740
4,8:15,2,5,TAM 30,17,34,Jameis Winston pass complete short left to Adam Humphries for 8 yards (tackle by Terence Newman),0.740,1.470
4,7:46,1,10,TAM 38,17,34,Jameis Winston pass complete short middle to Charles Sims for 9 yards (tackle by Eric Kendricks),1.470,2.140
4,7:23,2,1,TAM 47,17,34,Jameis Winston pass complete short left to Adam Humphries for 6 yards (tackle by Mackensie Alexander),2.140,2.460
4,6:53,1,10,MIN 47,17,34,Jameis Winston pass complete short middle to Chris Godwin for 11 yards (tackle by Mackensie Alexander and Harrison Smith),2.460,3.180
4,6:27,1,10,MIN 36,17,34,Jameis Winston pass complete short left to Chris Godwin for 15 yards (tackle by Andrew Sendejo),3.180,4.170
4,5:58,1,10,MIN 21,17,34,Jameis Winston pass incomplete short left intended for Mike Evans (defended by Xavier Rhodes),4.170,3.630
4,5:52,2,10,MIN 21,17,34,Jameis Winston pass incomplete deep middle intended for Mike Evans is intercepted by Harrison Smith at MIN--1 and returned for 12 yards,3.630,0.370
4,5:41,1,10,MIN 11,17,34,Dalvin Cook left tackle for 6 yards (tackle by Kendell Beckwith),-0.370,-0.160
4,5:00,2,4,MIN 17,17,34,Dalvin Cook left guard for 2 yards (tackle by William Gholston),-0.160,0.000
4,4:52,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,0.480
4,4:52,3,2,MIN 19,17,34,Case Keenum pass complete short right to Dalvin Cook for 36 yards (tackle by Keith Tandy),-0.480,2.590
4,4:06,1,10,TAM 45,17,34,Jerick McKinnon left end for 1 yard (tackle by Sealver Siliga),2.590,2.180
4,3:24,2,9,TAM 44,17,34,Jerick McKinnon left guard for 4 yards (tackle by Robert Ayers),2.180,0.000
4,2:37,,,,,,Timeout #1 by Minnesota Vikings,0.000,-2.010
4,2:37,3,5,TAM 40,17,34,Case Keenum left end for 5 yards (tackle by Adarius Glanton),2.010,3.250
4,2:00,1,10,TAM 35,17,34,Dalvin Cook right guard for 3 yards (tackle by Adarius Glanton),3.250,3.110
4,1:14,2,7,TAM 32,17,34,Case Keenum kneels for -1 yards,3.110,2.280
4,0:33,3,8,TAM 33,17,34,Case Keenum kneels for -1 yards,2.280,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
