Unnamed: 0,TAM,MIN
First Downs,20,25
Rush-Yds-TDs,9-26-0,37-125-1
Cmp-Att-Yd-TD-INT,28-40-328-2-3,25-33-369-3-0
Sacked-Yards,2-12,0-0
Net Pass Yards,316,369
Total Yards,342,494
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,7-37,5-53
Third Down Conv.,1-6,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,22:14,37:46
