Unnamed: 0,SFO,OAK
First Downs,30,15
Rush-Yds-TDs,48-152-0,21-81-1
Cmp-Att-Yd-TD-INT,25-36-282-2-0,18-28-164-1-0
Sacked-Yards,0-0,1-6
Net Pass Yards,282,158
Total Yards,434,239
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,3-40,6-44
Third Down Conv.,13-20,5-11
Fourth Down Conv.,1-1,1-1
Time of Possession,44:33,24:08
