Unnamed: 0,TAM,PIT
First Downs,20,15
Rush-Yds-TDs,26-75-0,29-77-0
Cmp-Att-Yd-TD-INT,25-40-243-1-0,20-30-211-2-0
Sacked-Yards,2-14,2-18
Net Pass Yards,229,193
Total Yards,304,270
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,6-42,7-45
Third Down Conv.,4-14,7-15
Fourth Down Conv.,2-2,1-1
Time of Possession,30:01,29:59
