Quarter,Time,Tm,Detail,ARI,NYG
1.0,6:30,Cardinals,Mike Nugent 34 yard field goal,3,0
2.0,8:24,Cardinals,Mike Nugent 37 yard field goal,6,0
,6:53,Cardinals,Dan Arnold 7 yard pass from Kyler Murray (Mike Nugent kick),13,0
3.0,8:52,Cardinals,Kenyan Drake 1 yard rush (Mike Nugent kick),20,0
,5:38,Giants,Dion Lewis 1 yard rush (Graham Gano kick),20,7
4.0,12:38,Cardinals,Mike Nugent 34 yard field goal,23,7
,2:41,Cardinals,Mike Nugent 30 yard field goal,26,7
