Unnamed: 0,ARI,NYG
First Downs,22,10
Rush-Yds-TDs,43-159-1,17-78-1
Cmp-Att-Yd-TD-INT,24-35-244-1-0,13-24-145-0-0
Sacked-Yards,1-13,8-64
Net Pass Yards,231,81
Total Yards,390,159
Fumbles-Lost,3-0,5-3
Turnovers,0,3
Penalties-Yards,4-22,2-10
Third Down Conv.,7-18,3-12
Fourth Down Conv.,1-2,1-1
Time of Possession,37:53,22:07
