Unnamed: 0,BUF,TEN
First Downs,13,17
Rush-Yds-TDs,28-127-1,28-97-1
Cmp-Att-Yd-TD-INT,11-18-113-1-0,21-32-187-0-1
Sacked-Yards,4-31,2-8
Net Pass Yards,82,179
Total Yards,209,276
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,7-62,9-74
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:29,35:31
