Quarter,Time,Tm,Detail,BUF,TEN
2.0,14:09,Titans,Ryan Succop 21 yard field goal,0,3
3.0,6:51,Titans,Antonio Andrews 1 yard rush (Ryan Succop kick),0,10
,1:20,Bills,Tyrod Taylor 22 yard rush (Dan Carpenter kick),7,10
4.0,9:36,Titans,Ryan Succop 41 yard field goal,7,13
,5:25,Bills,Chris Hogan 2 yard pass from Tyrod Taylor (Dan Carpenter kick),14,13
