Unnamed: 0,SEA,ARI
First Downs,18,18
Rush-Yds-TDs,33-115-0,20-43-1
Cmp-Att-Yd-TD-INT,18-34-153-1-1,20-36-215-1-1
Sacked-Yards,3-14,1-5
Net Pass Yards,139,210
Total Yards,254,253
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,13-90,10-102
Third Down Conv.,5-16,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,33:34,26:26
