Quarter,Time,Tm,Detail,ATL,NOR
1.0,8:53,Falcons,Matt Bryant 34 yard field goal,3,0
,5:25,Saints,Pierre Thomas 4 yard rush (John Kasay kick),3,7
,1:31,Falcons,Julio Jones 21 yard pass from Matt Ryan (Matt Bryant kick),10,7
2.0,12:32,Saints,Marques Colston 8 yard pass from Drew Brees (John Kasay kick),10,14
,0:24,Saints,Jimmy Graham 9 yard pass from Drew Brees (John Kasay kick),10,21
3.0,8:28,Saints,Robert Meachem 24 yard pass from Drew Brees (John Kasay kick),10,28
,4:41,Falcons,Matt Bryant 51 yard field goal,13,28
,3:04,Saints,John Kasay 29 yard field goal,13,31
4.0,12:43,Falcons,Matt Bryant 30 yard field goal,16,31
,11:09,Saints,Malcolm Jenkins 30 yard defensive fumble return (John Kasay kick),16,38
,2:51,Saints,Darren Sproles 9 yard pass from Drew Brees (John Kasay kick),16,45
