Unnamed: 0,ATL,NOR
First Downs,23,26
Rush-Yds-TDs,14-35-0,23-164-1
Cmp-Att-Yd-TD-INT,40-61-434-1-0,23-39-307-4-2
Sacked-Yards,0-0,1-8
Net Pass Yards,434,299
Total Yards,469,463
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,7-57,4-46
Third Down Conv.,8-17,10-13
Fourth Down Conv.,0-3,0-0
Time of Possession,33:19,26:41
