Quarter,Time,Tm,Detail,KAN,NYJ
1.0,8:50,Jets,Leon Washington 18 yard pass from Brett Favre (Jay Feely kick),0,7
2.0,13:51,Chiefs,Tony Gonzalez 19 yard pass from Tyler Thigpen (Connor Barth kick),7,7
,1:48,Jets,Leon Washington 60 yard rush (Jay Feely kick),7,14
,0:04,Chiefs,Mark Bradley 11 yard pass from Tyler Thigpen (Connor Barth kick),14,14
3.0,9:51,Chiefs,Connor Barth 30 yard field goal,17,14
,0:48,Jets,Thomas Jones 1 yard rush (Jay Feely kick),17,21
4.0,7:48,Chiefs,Brandon Flowers 91 yard interception return (Connor Barth kick),24,21
,1:00,Jets,Laveranues Coles 15 yard pass from Brett Favre (Jay Feely kick),24,28
